event_id,state,district,start_date,flood_area_km2,bbox_minlon,bbox_minlat,bbox_maxlon,bbox_maxlat
E01,Kerala,Thrissur,2018-08-08,101782.62380526324,74.8,8.4,77.6,12.8
E02,Bihar,Darbhanga,2019-07-10,9081.166837621984,84,25,87.5,27.5
E03,Assam,Morigaon,2020-05-25,1210.909624613522,90.5,25.5,93,27.5
E04,Telangana,Hyderabad,2020-10-13,14.730211827284094,78,17,79.2,17.8
E05,Maharashtra,Raigad,2021-07-22,13405.427891672125,72.8,17.8,74,19
E06,Uttarakhand,Chamoli,2021-02-07,9542.569350165464,79,30,80.5,31
E07,Uttar Pradesh,Bahraich,2021-08-10,20578.38902627073,80.5,26.5,83,28.5
E08,Assam,Cachar,2022-06-15,1636.2176683775463,92,24,93.5,25.5
E09,Karnataka,Bengaluru,2022-09-05,2399.578249509629,77.3,12.7,78,13.3
E10,Odisha,Balasore,2022-09-16,5082.179867008678,85.5,20.5,87.5,22
E11,Himachal Pradesh,Mandi,2023-07-08,11603.26112214843,76,31,77.8,32.5
E12,Delhi,North West Delhi,2023-07-10,173.87187655715005,76.8,28.4,77.6,28.9
E13,Andhra Pradesh,Krishna,2016-07-09,127605.0894578861,77,12.5,84.8,19.9
E14,Andhra Pradesh,Krishna,2017-08-16,173493.51575330473,77,12.5,84.8,19.9
E15,Andhra Pradesh,Krishna,2020-10-01,101293.13048368884,77,12.5,84.8,19.9
E16,Andhra Pradesh,Krishna,2021-10-11,292011.42080441274,77,12.5,84.8,19.9
E17,Andhra Pradesh,Krishna,2024-07-09,168926.42055980896,77,12.5,84.8,19.9
E18,Arunachal Pradesh,Upper Subansiri,2015-07-07,8133.088709613549,91.5,26.5,97.4,29.5
E19,Arunachal Pradesh,Upper Subansiri,2016-04-22,25917.157605691857,91.5,26.5,97.4,29.5
E20,Arunachal Pradesh,Upper Subansiri,2016-06-25,12091.543893125208,91.5,26.5,97.4,29.5
E21,Arunachal Pradesh,Upper Subansiri,2020-06-01,35830.53525207083,91.5,26.5,97.4,29.5
E22,Arunachal Pradesh,Upper Subansiri,2025-05-31,43472.18553599837,91.5,26.5,97.4,29.5
