event_id,state,population_exposed,population_2026,PI,income_group
E22,Arunachal Pradesh,4995056.0,1608000.0,3.1063781094527365,Low
E110,Nagaland,5824778.0,2299000.0,2.533613745106568,Low
E109,Nagaland,5683405.0,2299000.0,2.472120487168334,Low
E61,Himachal Pradesh,18541911.0,7588000.0,2.443583421191355,Low
E57,Haryana,73231321.0,31409000.0,2.331539399535165,High
E63,Himachal Pradesh,16663940.0,7588000.0,2.196091196626252,Low
E58,Haryana,67840019.0,31409000.0,2.1598910821738992,High
E16,Andhra Pradesh,113827448.0,53740000.0,2.1181140305173054,Middle
E104,Meghalaya,6004369.0,3447000.0,1.7419115172613868,Low
E87,Madhya Pradesh,155463749.0,89965000.0,1.7280470071694547,Low
E123,Rajasthan,143098217.0,83879000.0,1.7060076658043133,Low
E39,Chhattisgarh,52639306.0,31311000.0,1.6811761361821724,Low
E160,Uttarakhand,19809931.0,12028000.0,1.6469846192218158,Low
E122,Rajasthan,137577680.0,83879000.0,1.6401921815949165,Low
E161,Uttarakhand,19139284.0,12028000.0,1.5912274692384436,Low
E157,Uttarakhand,19135169.0,12028000.0,1.5908853508480212,Low
E158,Uttarakhand,19134322.0,12028000.0,1.5908149318257399,Low
E155,Uttarakhand,18781969.0,12028000.0,1.5615205354173596,Low
E84,Madhya Pradesh,140242336.0,89965000.0,1.5588543989329184,Low
E154,Uttarakhand,18063019.0,12028000.0,1.5017475058197538,Low
E132,Tamil Nadu,114229472.0,77582000.0,1.472370807661571,Middle
E124,Rajasthan,122810587.0,83879000.0,1.4641398562214618,Low
E13,Andhra Pradesh,78138363.0,53740000.0,1.4540074990695944,Middle
E17,Andhra Pradesh,77726862.0,53740000.0,1.4463502419054708,Middle
E66,Himachal Pradesh,10958069.0,7588000.0,1.4441313916710596,Low
E62,Himachal Pradesh,10829171.0,7588000.0,1.4271443068002108,Low
E72,Karnataka,98222973.0,69074000.0,1.421996308307033,High
E71,Jharkhand,58234252.0,41108000.0,1.4166160358081152,Low
E129,Tamil Nadu,109306575.0,77582000.0,1.408916694594107,Middle
E14,Andhra Pradesh,74933071.0,53740000.0,1.3943630628954224,Middle
