event_id,state,rain_total_mm,rain_max_mm
E01,Kerala,254.5,210.1
E02,Bihar,323.9,195.3
E03,Assam,213.4,137.0
E04,Telangana,93.5,108.3
E05,Maharashtra,172.1,305.9
E06,Uttarakhand,0.0,0.0
E07,Uttar Pradesh,334.6,154.2
E08,Assam,524.1,152.3
E09,Karnataka,51.6,41.8
E10,Odisha,33.3,44.0
E11,Himachal Pradesh,226.0,276.8
E12,Delhi,29.9,40.7
E13,Andhra Pradesh,573.3,185.4
E14,Andhra Pradesh,60.3,70.3
E15,Andhra Pradesh,219.3,127.2
E16,Andhra Pradesh,206.0,216.6
E17,Andhra Pradesh,44.1,50.5
E18,Arunachal Pradesh,79.2,316.4
E19,Arunachal Pradesh,11.9,82.2
E20,Arunachal Pradesh,109.4,366.1
E21,Arunachal Pradesh,704.9,441.0
E22,Arunachal Pradesh,19.3,188.6
E23,Assam,300.7,209.1
E24,Assam,18.3,82.2
E25,Assam,506.0,231.2
E26,Assam,844.2,291.5
E27,Assam,725.1,295.7
E28,Assam,2.8,114.1
E29,Assam,1638.4,259.8
E30,Assam,1034.3,284.7
E31,Assam,1055.0,329.1
E32,Assam,102.6,316.1
E33,Bihar,752.2,195.8
E34,Bihar,966.1,225.2
E35,Bihar,402.4,160.7
E36,Bihar,1194.6,329.3
E37,Bihar,756.7,209.5
E38,Bihar,85.9,221.2
E39,Chhattisgarh,831.6,114.7
E40,Chhattisgarh,210.5,66.5
E41,Chhattisgarh,802.9,175.6
E42,Delhi,492.3,67.9
E43,Goa,9.1,120.9
E44,Goa,17.6,59.6
E45,Goa,810.3,399.4
E46,Goa,2367.8,393.5
E47,Gujarat,63.2,192.0
E48,Gujarat,708.4,251.2
E49,Gujarat,66.6,178.9
E50,Gujarat,552.2,255.2
E51,Gujarat,81.5,149.5
E52,Gujarat,51.1,171.9
E53,Gujarat,964.4,307.3
E54,Gujarat,522.5,303.9
E55,Gujarat,112.2,227.5
E56,Haryana,73.9,183.5
E57,Haryana,43.4,222.7
E58,Haryana,138.2,155.0
E59,Himachal Pradesh,79.5,187.5
E60,Himachal Pradesh,45.7,131.1
E61,Himachal Pradesh,147.4,157.4
E62,Himachal Pradesh,565.7,251.5
E63,Himachal Pradesh,713.3,209.0
E64,Himachal Pradesh,760.1,234.5
E65,Himachal Pradesh,230.0,191.6
E66,Himachal Pradesh,202.3,245.4
E67,Jammu and Kashmir,33.3,169.0
E68,Jammu and Kashmir,10.0,178.8
E69,Jharkhand,15.0,41.9
E70,Jharkhand,1333.5,110.9
E71,Jharkhand,219.5,100.5
E72,Karnataka,600.4,532.0
E73,Karnataka,629.8,297.1
E74,Karnataka,164.2,108.3
E75,Karnataka,742.7,422.5
E76,Karnataka,415.6,372.5
E77,Kerala,1251.0,394.0
E78,Kerala,1095.0,273.1
E79,Kerala,262.1,286.2
E80,Kerala,148.0,90.5
E81,Madhya Pradesh,588.6,188.7
E82,Madhya Pradesh,644.6,162.8
E83,Madhya Pradesh,526.8,155.3
E84,Madhya Pradesh,35.2,71.1
E85,Madhya Pradesh,609.6,104.8
E86,Madhya Pradesh,1251.8,285.2
E87,Madhya Pradesh,27.4,61.9
E88,Madhya Pradesh,33.3,73.9
E89,Maharashtra,33.3,232.6
E90,Maharashtra,49.7,512.5
E91,Maharashtra,21.8,224.9
E92,Maharashtra,98.4,256.4
E93,Maharashtra,171.8,166.0
E94,Maharashtra,950.7,520.9
E95,Maharashtra,739.0,319.1
E96,Maharashtra,185.6,253.9
E97,Maharashtra,651.2,512.9
E98,Maharashtra,15.3,170.4
E99,Manipur,457.2,124.7
E100,Manipur,733.2,142.6
E101,Manipur,120.2,237.3
E102,Meghalaya,2208.6,193.7
E103,Meghalaya,1399.2,282.4
E104,Meghalaya,139.5,150.7
E105,Meghalaya,232.9,280.0
E106,Mizoram,148.7,216.6
E107,Nagaland,26.5,77.1
E108,Nagaland,0.0,0.0
E109,Nagaland,134.8,65.5
E110,Nagaland,1480.6,211.9
E111,Nagaland,53.3,201.6
E112,Odisha,400.4,120.6
E113,Odisha,517.5,132.0
E114,Odisha,890.6,128.3
E115,Odisha,780.1,114.7
E116,Punjab,60.9,144.1
E117,Punjab,20.7,222.7
E118,Punjab,516.0,251.5
E119,Punjab,605.1,276.8
E120,Punjab,425.3,376.7
E121,Rajasthan,347.1,174.5
E122,Rajasthan,428.7,191.1
E123,Rajasthan,16.8,117.1
E124,Rajasthan,558.8,194.7
E125,Sikkim,8.9,10.0
E126,Sikkim,79.5,109.1
E127,Sikkim,34.8,106.6
E128,Tamil Nadu,34.2,102.9
E129,Tamil Nadu,136.2,130.8
E130,Tamil Nadu,93.8,120.1
E131,Tamil Nadu,11.6,74.3
E132,Tamil Nadu,94.6,125.2
E133,Tamil Nadu,46.4,84.0
E134,Tamil Nadu,4.2,116.5
E135,Telangana,43.0,123.2
E136,Tripura,6.3,32.8
E137,Tripura,458.6,147.8
E138,Tripura,470.6,272.7
E139,Tripura,175.3,168.6
E140,Uttar Pradesh,4.1,53.3
E141,Uttar Pradesh,90.5,273.5
E142,Uttar Pradesh,12.5,71.3
E143,Uttar Pradesh,610.2,206.9
E144,Uttar Pradesh,657.4,176.3
E145,Uttar Pradesh,3.0,57.2
E146,Uttar Pradesh,697.8,188.3
E147,Uttar Pradesh,672.1,246.7
E148,Uttar Pradesh,666.9,177.0
E149,Uttar Pradesh,194.3,213.2
E150,Uttar Pradesh,77.8,215.5
E151,Uttar Pradesh,72.3,199.3
E152,Uttarakhand,88.9,273.5
E153,Uttarakhand,5.8,71.3
E154,Uttarakhand,42.9,115.7
E155,Uttarakhand,601.4,206.1
E156,Uttarakhand,975.5,222.5
E157,Uttarakhand,154.4,198.5
E158,Uttarakhand,738.3,322.0
E159,Uttarakhand,2.0,10.1
E160,Uttarakhand,186.0,245.4
E161,Uttarakhand,61.2,341.5
E162,West Bengal,127.9,171.9
E163,West Bengal,1275.2,205.6
E164,West Bengal,154.0,112.7
E165,West Bengal,862.8,226.6
E166,West Bengal,970.4,189.8
E167,West Bengal,1475.2,265.8
E168,West Bengal,89.9,186.0
