event_id,h5_path,status
E01,,SKIPPED_CLOUDY
E02,data/sits_patches\E02.h5,OK
E03,data/sits_patches\E03.h5,OK
E04,data/sits_patches\E04.h5,OK
E05,data/sits_patches\E05.h5,OK
E06,data/sits_patches\E06.h5,OK
E07,data/sits_patches\E07.h5,OK
E08,data/sits_patches\E08.h5,OK
E09,data/sits_patches\E09.h5,OK
E10,data/sits_patches\E10.h5,OK
E11,data/sits_patches\E11.h5,OK
E12,data/sits_patches\E12.h5,OK
E13,,SKIPPED_CLOUDY
E14,,SKIPPED_CLOUDY
E15,data/sits_patches\E15.h5,OK
E16,data/sits_patches\E16.h5,OK
E17,data/sits_patches\E17.h5,OK
E18,,SKIPPED_CLOUDY
E19,,SKIPPED_CLOUDY
E20,,SKIPPED_CLOUDY
E21,data/sits_patches\E21.h5,OK
E54,data/sits_patches\E54.h5,OK
E97,data/sits_patches\E97.h5,OK
