state,state,population_2026,total_population_exposed,event_count,PI_state
Himachal Pradesh,Himachal Pradesh,7588000.0,79877592.0,9,10.526830785450711
Uttarakhand,Uttarakhand,12028000.0,122855570.0,11,10.214131193880945
Madhya Pradesh,Madhya Pradesh,89965000.0,764940442.0,7,8.502644828544433
Maharashtra,Maharashtra,129584000.0,1022120793.0,10,7.887708305037659
Andhra Pradesh,Andhra Pradesh,53740000.0,408437757.0,5,7.60025599181243
Uttar Pradesh,Uttar Pradesh,243466000.0,1794012182.0,12,7.368635382353183
Nagaland,Nagaland,2299000.0,13682977.0,4,5.951708133971292
West Bengal,West Bengal,100631000.0,562733736.0,7,5.592051514940724
Gujarat,Gujarat,74343000.0,406002042.0,8,5.461200677938743
Karnataka,Karnataka,69074000.0,352102811.0,6,5.09747243535918
Arunachal Pradesh,Arunachal Pradesh,1608000.0,8072881.0,5,5.020448383084577
Rajasthan,Rajasthan,83879000.0,403486484.0,3,4.810339703620691
Assam,Assam,36815000.0,167842821.0,12,4.559087898954231
Meghalaya,Meghalaya,3447000.0,15714643.0,4,4.558933275311865
Tamil Nadu,Tamil Nadu,77582000.0,348920790.0,6,4.497445154803949
Haryana,Haryana,31409000.0,141071340.0,2,4.491430481709064
Bihar,Bihar,132850000.0,544963968.0,7,4.102099872036131
Jharkhand,Jharkhand,41108000.0,167913869.0,3,4.084700520579935
Kerala,Kerala,36239000.0,142415748.0,5,3.9299028118877453
Chhattisgarh,Chhattisgarh,31311000.0,114595763.0,3,3.659920251668743
Punjab,Punjab,31370000.0,103548573.0,4,3.3008789607905644
Odisha,Odisha,47221000.0,151125614.0,5,3.200389953622329
Goa,Goa,1601000.0,3025367.0,2,1.8896733291692691
Tripura,Tripura,4268000.0,7068875.0,4,1.65625
Delhi,Delhi,22674000.0,33252557.0,2,1.4665501014377702
Jammu & Kashmir,Jammu and Kashmir,13927000.0,17637615.0,2,1.2664331873339556
Mizoram,Mizoram,1275000.0,1392044.0,1,1.0917992156862746
Sikkim,Sikkim,709000.0,747512.0,3,1.0543187588152327
Telangana,Telangana,38665000.0,25039163.0,2,0.6475924738135265
Manipur,Manipur,3318000.0,1161626.0,2,0.35009825195901145

