event_id,state,affected_area_km2,area_s1_km2,area_s2_km2,ndwi_flood_area_km2,ndwi_pre_water_km2,ndwi_during_water_km2,pre_images,post_images,s2_post_images,otsu_threshold_db,baseline_status
E01,Kerala,28.86,28.86,,,,,5,2,0,-16.0,OK
E02,Bihar,,,,,,,3,0,0,,SKIPPED_NO_S1_IMAGERY
E03,Assam,1.62,,1.62,1.62,37.85,2.14,2,0,3,,SKIPPED_NO_S1_IMAGERY
E04,Telangana,0.59,,0.59,0.59,13.34,4.93,3,0,2,,SKIPPED_NO_S1_IMAGERY
E05,Maharashtra,0.31,8.83,0.31,0.31,60.63,0.49,4,2,5,-16.0,OK
E06,Uttarakhand,25.65,1.65,25.65,25.65,955.47,237.47,10,2,4,-16.0,OK
E07,Uttar Pradesh,55.43,10.83,55.43,55.43,31.11,82.32,5,1,4,-16.0,OK
E08,Assam,107.18,107.18,,,,,5,1,0,-16.0,OK
E09,Karnataka,16.93,6.11,16.93,16.93,18.44,50.41,1,1,3,-16.0,OK
E10,Odisha,4.72,9.08,4.72,4.72,462.22,31.98,5,2,4,-16.0,OK
E100,Manipur,,,,,,,2,0,0,,SKIPPED_NO_S1_IMAGERY
E101,Manipur,,,,,,,2,0,0,,SKIPPED_NO_S1_IMAGERY
E102,Meghalaya,1.56,1.56,,,,,7,1,0,-16.0,OK
E103,Meghalaya,1.91,1.91,,,,,3,2,0,-16.0,OK
E104,Meghalaya,2.12,0.48,2.12,2.12,8.6,5.33,7,3,6,-16.0,OK
E105,Meghalaya,1.32,1.32,,,,,7,2,0,-16.0,OK
E106,Mizoram,0.43,0.03,0.43,0.43,0.18,0.53,4,1,4,-16.0,OK
E107,Nagaland,,,,,,,2,0,0,,SKIPPED_NO_S1_IMAGERY
E108,Nagaland,,,,,,,2,0,0,,SKIPPED_NO_S1_IMAGERY
E109,Nagaland,0.42,0.42,,,,,2,1,0,-16.0,OK
E11,Himachal Pradesh,3.77,0.69,3.77,3.77,17.49,5.36,2,1,4,-16.0,OK
