state,district,event_rows,status,gaul_name,gaul_code,candidates,source,note
Andhra Pradesh,Visakhapatnam,2,boundary_review_required,,,Vishakhapatnam | Krishna | Vizianagaram,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Andhra Pradesh,YSR Kadapa,2,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Arunachal Pradesh,East Kameng,1,boundary_review_required,,,East Siang | West Siang,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Arunachal Pradesh,Itanagar Capital Region,1,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Arunachal Pradesh,Namsai,3,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Arunachal Pradesh,Pakke Kessang,1,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Arunachal Pradesh,Tawang,1,boundary_review_required,,,East Siang,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Assam,Bajali,2,boundary_review_required,,,Nalbari | Dhemaji | Barpeta,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Assam,Baksa,6,boundary_review_required,,,Barpeta,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Assam,Biswanath,8,boundary_review_required,,,Sibsagar,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Assam,Charaideo,5,boundary_review_required,,,Cachar | Marigaon,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Assam,Chirang,8,boundary_review_required,,,Darrang,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Assam,Dhubri,10,boundary_review_required,,,Dhuburi | Nalbari | Dhemaji,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Assam,Dima Hasao,3,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Assam,East Karbi Anglong,2,boundary_review_required,,,Karbi Anglong | Marigaon,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Assam,Hojai,6,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Assam,Kamrup Metropolitan,5,boundary_review_required,,,Kamrup | Barpeta,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Assam,Majuli,8,boundary_review_required,,,Nalbari | Dhemaji,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Assam,Morigaon,12,boundary_review_required,,,Marigaon | Bongaigaon | Karimganj,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Assam,Sivasagar,10,boundary_review_required,,,Sibsagar,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Assam,South Salmara,6,boundary_review_required,,,Goalpara | North Cachar Hills,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Assam,Sribhumi (Karimganj),1,boundary_review_required,,,Karimganj,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Assam,Tamulpur,2,boundary_review_required,,,Lakhimpur | Goalpara,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Assam,Udalguri,10,boundary_review_required,,,Nalbari,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Assam,West Karbi Anglong,5,boundary_review_required,,,Karbi Anglong | Marigaon,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
