event_district_id,event_id,source_record_id,start_date,state,district,flood_area_km2,flood_ratio,aoi_area_km2,satellite_source,satellite_status,district_match_status,geometry_id,aoi_match_status,analysis_observation_status,route_reason,cloud_pct,otsu_fallback_used,s1_orbit,eligible_km2,flood_ratio_eligible,sits_status,converter_decision,legacy_flood_area_km2,legacy_satellite_source,spec_version
E001::anantnag,E001,2015-0107-IND,2015-03-20,Jammu and Kashmir,Anantnag,1.8372,0.0007,2744.7027110021554,S1,observed,matched,76128533B6393836306469,matched,observed,interim_s1_only,100.0,True,DESCENDING,460.8518,0.004,unavailable,,1.8372,S1,fs1-3016a20fd3ad
E001::budgam,E001,2015-0107-IND,2015-03-20,Jammu and Kashmir,Budgam,14.5393,0.0129,1130.5904895316958,S1,observed,matched,76128533B88214376170788,matched,observed,interim_s1_only,100.0,True,DESCENDING,414.6076,0.0351,unavailable,,14.5393,S1,fs1-3016a20fd3ad
E001::shopian,E001,2015-0107-IND,2015-03-20,Jammu and Kashmir,Shopian,2.9652,0.0065,453.0644785617448,S1,observed,matched,76128533B37825396764028,matched,observed,interim_s1_only,100.0,True,DESCENDING,204.64,0.0145,unavailable,,2.9652,S1,fs1-3016a20fd3ad
E001::srinagar,E001,2015-0107-IND,2015-03-20,Jammu and Kashmir,Srinagar,5.664,0.011,512.8831127978173,S1,observed,matched,76128533B32249045995424,matched,observed,interim_s1_only,100.0,True,DESCENDING,211.5697,0.0268,unavailable,,5.664,S1,fs1-3016a20fd3ad
E002::virudhunagar,E002,2015-0207-IND,2015-05-17,Tamil Nadu,Virudhunagar,,,4306.978436820998,NONE,missing,matched,17869.0,matched,missing,no_s1,100.0,,DESCENDING,3913.8888,,unavailable,,,NONE,fs1-3016a20fd3ad
E003::amreli,E003,2015-0249-IND,2015-06-19,Gujarat,Amreli,,,7335.055339616136,NONE,missing,matched,17636.0,matched,missing,no_s1,100.0,,,6520.1448,,unavailable,,,NONE,fs1-3016a20fd3ad
E003::morbi,E003,2015-0249-IND,2015-06-19,Gujarat,Morbi,0.0028,0.0,4845.388822156085,S1,observed,matched,76128533B2080752988715,matched,observed,interim_s1_only,100.0,True,DESCENDING,4598.5249,0.0,unavailable,,0.0028,S1,fs1-3016a20fd3ad
E003::rajkot,E003,2015-0249-IND,2015-06-19,Gujarat,Rajkot,,,11175.751593133718,NONE,missing,matched,17647.0,matched,missing,no_s1,100.0,,,10594.8875,,unavailable,,,NONE,fs1-3016a20fd3ad
E003::surat,E003,2015-0249-IND,2015-06-19,Gujarat,Surat,,,7486.82173633887,NONE,missing,matched,17649.0,matched,missing,no_s1,100.0,,,5860.6038,,unavailable,,,NONE,fs1-3016a20fd3ad
E003::tapi,E003,2015-0249-IND,2015-06-19,Gujarat,Tapi,,,3222.2181213994645,NONE,missing,matched,76128533B12519626815499,matched,missing,no_s1,100.0,,,2093.7467,,unavailable,,,NONE,fs1-3016a20fd3ad
E005::darjeeling,E005,2015-0253-IND,2015-06-23,West Bengal,Darjeeling,2.4859,0.0012,2082.4452472301264,S1,observed,matched,76128533B17109302371020,matched,observed,interim_s1_only,100.0,True,BOTH,826.6807,0.003,unavailable,,2.4859,S1,fs1-3016a20fd3ad
E009::anantnag,E009,2015-0333-IND,2015-07-07,Jammu and Kashmir,Anantnag,1.7994,0.0007,2744.702711002116,S1,observed,matched,76128533B6393836306469,matched,observed,interim_s1_only,100.0,True,ASCENDING,460.8518,0.0039,unavailable,,1.7994,S1,fs1-3016a20fd3ad
E012::barabanki,E012,2015-0333-IND,2015-07-07,Uttar Pradesh,Barabanki,783.3031,0.1764,4440.0005417469865,S1,observed,matched,17896.0,matched,observed,interim_s1_only,100.0,False,BOTH,4261.6796,0.1838,unavailable,,783.3031,S1,fs1-3016a20fd3ad
E015::dhemaji,E015,2015-0413-IND,2015-07-14,Assam,Dhemaji,12.8685,0.0051,2503.3476339074205,S1,observed,matched,70087.0,matched,observed,interim_s1_only,100.0,True,ASCENDING,2240.4877,0.0057,unavailable,,12.8685,S1,fs1-3016a20fd3ad
E015::kokrajhar,E015,2015-0413-IND,2015-07-14,Assam,Kokrajhar,42.6868,0.0128,3329.2233881813268,S1,observed,matched,70090.0,matched,observed,interim_s1_only,100.0,True,ASCENDING,3061.7037,0.0139,unavailable,,42.6868,S1,fs1-3016a20fd3ad
