event_district_id,event_id,source_record_id,start_date,state,district,flood_area_km2,flood_ratio,aoi_area_km2,satellite_source,satellite_status,district_match_status,geometry_id,aoi_match_status,analysis_observation_status,route_reason,cloud_pct,otsu_fallback_used,s1_orbit,eligible_km2,flood_ratio_eligible,sits_status,converter_decision,legacy_flood_area_km2,legacy_satellite_source,spec_version
E001::anantnag,E001,2015-0107-IND,2015-03-20,Jammu and Kashmir,Anantnag,,,2744.7027110021554,NONE,missing,matched,76128533B6393836306469,matched,missing,,,,,,,,,,NONE,
E001::bandipora,E001,2015-0107-IND,2015-03-20,Jammu and Kashmir,Bandipora,,,2983.0559101126523,NONE,missing,matched,76128533B41744580856133,matched,missing,,,,,,,,,,NONE,
E001::baramulla,E001,2015-0107-IND,2015-03-20,Jammu and Kashmir,Baramulla,,,1957.959792898658,NONE,missing,matched,76128533B15567489974292,matched,missing,,,,,,,,,,NONE,
E001::budgam,E001,2015-0107-IND,2015-03-20,Jammu and Kashmir,Budgam,,,1130.5904895316958,NONE,missing,matched,76128533B88214376170788,matched,missing,,,,,,,,,,NONE,
E001::ganderbal,E001,2015-0107-IND,2015-03-20,Jammu and Kashmir,Ganderbal,,,1447.3294234807574,NONE,missing,matched,76128533B20504715877560,matched,missing,,,,,,,,,,NONE,
E001::pulwama,E001,2015-0107-IND,2015-03-20,Jammu and Kashmir,Pulwama,,,828.2463390233863,NONE,missing,matched,76128533B74958462315105,matched,missing,,,,,,,,,,NONE,
E001::shopian,E001,2015-0107-IND,2015-03-20,Jammu and Kashmir,Shopian,,,453.0644785617448,NONE,missing,matched,76128533B37825396764028,matched,missing,,,,,,,,,,NONE,
E001::srinagar,E001,2015-0107-IND,2015-03-20,Jammu and Kashmir,Srinagar,,,512.8831127978173,NONE,missing,matched,76128533B32249045995424,matched,missing,,,,,,,,,,NONE,
E002::virudhunagar,E002,2015-0207-IND,2015-05-17,Tamil Nadu,Virudhunagar,,,4306.978436820998,NONE,missing,matched,17869.0,matched,missing,,,,,,,,,,NONE,
E003::amreli,E003,2015-0249-IND,2015-06-19,Gujarat,Amreli,,,7335.055339616136,NONE,missing,matched,17636.0,matched,missing,,,,,,,,,,NONE,
E003::morbi,E003,2015-0249-IND,2015-06-19,Gujarat,Morbi,,,4845.388822156085,NONE,missing,matched,76128533B2080752988715,matched,missing,,,,,,,,,,NONE,
E003::rajkot,E003,2015-0249-IND,2015-06-19,Gujarat,Rajkot,,,11175.751593133718,NONE,missing,matched,17647.0,matched,missing,,,,,,,,,,NONE,
E003::surat,E003,2015-0249-IND,2015-06-19,Gujarat,Surat,,,7486.82173633887,NONE,missing,matched,17649.0,matched,missing,,,,,,,,,,NONE,
E003::tapi,E003,2015-0249-IND,2015-06-19,Gujarat,Tapi,,,3222.2181213994645,NONE,missing,matched,76128533B12519626815499,matched,missing,,,,,,,,,,NONE,
E004::mumbai%20city,E004,2015-0249-IND,2015-06-19,Maharashtra,Mumbai City,,,77.22400864672608,NONE,missing,matched,70184.0,matched,missing,,,,,,,,,,NONE,
E004::mumbai%20suburban,E004,2015-0249-IND,2015-06-19,Maharashtra,Mumbai Suburban,,,409.3994670782586,NONE,missing,matched,70183.0,matched,missing,,,,,,,,,,NONE,
E004::palghar,E004,2015-0249-IND,2015-06-19,Maharashtra,Palghar,,,5355.281971403595,NONE,missing,matched,76128533B37148244536449,matched,missing,,,,,,,,,,NONE,
E004::thane,E004,2015-0249-IND,2015-06-19,Maharashtra,Thane,,,9454.897228160951,NONE,missing,matched,17783.0,matched,missing,,,,,,,,,,NONE,
E005::darjeeling,E005,2015-0253-IND,2015-06-23,West Bengal,Darjeeling,,,2082.4452472301264,NONE,missing,matched,76128533B17109302371020,matched,missing,,,,,,,,,,NONE,
E008::kullu,E008,2015-0333-IND,2015-07-07,Himachal Pradesh,Kullu,,,5505.982355912866,NONE,missing,matched,17671.0,matched,missing,,,,,,,,,,NONE,
E008::mandi,E008,2015-0333-IND,2015-07-07,Himachal Pradesh,Mandi,,,3951.2717684747336,NONE,missing,matched,17673.0,matched,missing,,,,,,,,,,NONE,
E009::anantnag,E009,2015-0333-IND,2015-07-07,Jammu and Kashmir,Anantnag,,,2744.702711002116,NONE,missing,matched,76128533B6393836306469,matched,missing,,,,,,,,,,NONE,
E010::barnala,E010,2015-0333-IND,2015-07-07,Punjab,Barnala,,,1406.539382498226,NONE,missing,matched,76128533B39051871473194,matched,missing,,,,,,,,,,NONE,
E012::barabanki,E012,2015-0333-IND,2015-07-07,Uttar Pradesh,Barabanki,,,4440.0005417469865,NONE,missing,matched,17896.0,matched,missing,,,,,,,,,,NONE,
E013::nainital,E013,2015-0333-IND,2015-07-07,Uttarakhand,Nainital,,,4068.963433579816,NONE,missing,matched,70285.0,matched,missing,,,,,,,,,,NONE,
E014::east%20kameng,E014,2015-0413-IND,2015-07-14,Arunachal Pradesh,East Kameng,,,4466.180297949177,NONE,missing,matched,76128533B76129461078086,matched,missing,,,,,,,,,,NONE,
E015::dhemaji,E015,2015-0413-IND,2015-07-14,Assam,Dhemaji,,,2503.3476339074205,NONE,missing,matched,70087.0,matched,missing,,,,,,,,,,NONE,
E015::kokrajhar,E015,2015-0413-IND,2015-07-14,Assam,Kokrajhar,,,3329.2233881813268,NONE,missing,matched,70090.0,matched,missing,,,,,,,,,,NONE,
E015::lakhimpur,E015,2015-0413-IND,2015-07-14,Assam,Lakhimpur,,,2886.5239581816727,NONE,missing,matched,70091.0,matched,missing,,,,,,,,,,NONE,
E015::sonitpur,E015,2015-0413-IND,2015-07-14,Assam,Sonitpur,,,4676.158375740257,NONE,missing,matched,17593.0,matched,missing,,,,,,,,,,NONE,
E016::baksa,E016,2015-0317-IND,2015-07-15,Assam,Baksa,,,2398.6209171216783,NONE,missing,matched,76128533B8221925175605,matched,missing,,,,,,,,,,NONE,
E016::barpeta,E016,2015-0317-IND,2015-07-15,Assam,Barpeta,,,3253.622989828742,NONE,missing,matched,17576.0,matched,missing,,,,,,,,,,NONE,
E016::bongaigaon,E016,2015-0317-IND,2015-07-15,Assam,Bongaigaon,,,2332.582799042809,NONE,missing,matched,70086.0,matched,missing,,,,,,,,,,NONE,
E016::cachar,E016,2015-0317-IND,2015-07-15,Assam,Cachar,,,3806.329961738336,NONE,missing,matched,17577.0,matched,missing,,,,,,,,,,NONE,
