event_district_id,event_id,source_record_id,start_date,state,district,aoi_level,aoi_source,aoi_match_status,geometry_id,combined_km2,satellite_source,route_reason,routing_mode,optical_footprint,sits_status,sits_reason,converter_decision,s1_flood_km2,ndwi_flood_km2,sits_ndwi_full_km2,sits_ndwi_gated_km2,sits_detect_km2,sits_footprint_km2,sits_usable_km2,sits_usable_frac,sits_s1_usable_km2,sits_threshold,sits_method,optical_available,cloud_pct,optical_observed_frac,otsu_threshold_db,otsu_fallback_used,s1_orbit,s1_post_images,s2_post_images,eligible_km2,builtup_km2,cropland_km2,aoi_area_km2,legacy_combined_km2,legacy_satellite_source,legacy_route_reason,spec_version
E001::anantnag,E001,2015-0107-IND,2015-03-20,Jammu and Kashmir,Anantnag,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B6393836306469,1.8372,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,1.8372,,,,,,,,,,no-sits,False,100.0,,-16.0,True,DESCENDING,2.0,0.0,460.8518,33.1089,180.894,2744.7027110021554,1.8372,S1,no_optical_s1,fs1-3016a20fd3ad
E001::budgam,E001,2015-0107-IND,2015-03-20,Jammu and Kashmir,Budgam,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B88214376170788,14.5393,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,14.5393,,,,,,,,,,no-sits,False,100.0,,-16.0,True,DESCENDING,4.0,0.0,414.6076,31.7914,183.4028,1130.5904895316958,14.5393,S1,no_optical_s1,fs1-3016a20fd3ad
E001::shopian,E001,2015-0107-IND,2015-03-20,Jammu and Kashmir,Shopian,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B37825396764028,2.9652,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,2.9652,,,,,,,,,,no-sits,False,100.0,,-16.0,True,DESCENDING,2.0,0.0,204.64,13.0833,17.0682,453.0644785617448,2.9652,S1,no_optical_s1,fs1-3016a20fd3ad
E001::srinagar,E001,2015-0107-IND,2015-03-20,Jammu and Kashmir,Srinagar,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B32249045995424,5.664,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,5.664,,,,,,,,,,no-sits,False,100.0,,-16.0,True,DESCENDING,3.0,0.0,211.5697,69.5938,52.0322,512.8831127978173,5.664,S1,no_optical_s1,fs1-3016a20fd3ad
E002::virudhunagar,E002,2015-0207-IND,2015-05-17,Tamil Nadu,Virudhunagar,district,FAO/GAUL/2015/level2,matched,17869,,NONE,no_s1,s1_interim,,unavailable,no_post_imagery,,,,,,,,,,,,no-sits,False,100.0,,,,DESCENDING,1.0,0.0,3913.8888,195.3006,1793.7543,4306.978436820998,,NONE,no_measurement,fs1-3016a20fd3ad
E003::amreli,E003,2015-0249-IND,2015-06-19,Gujarat,Amreli,district,FAO/GAUL/2015/level2,matched,17636,,NONE,no_s1,s1_interim,,unavailable,no_post_imagery,,,,,,,,,,,,no-sits,False,100.0,,,,,0.0,0.0,6520.1448,143.129,5306.5211,7335.055339616136,,NONE,no_measurement,fs1-3016a20fd3ad
E003::morbi,E003,2015-0249-IND,2015-06-19,Gujarat,Morbi,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B2080752988715,0.0028,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,0.0028,,,,,,,,,,no-sits,False,100.0,,-16.0,True,DESCENDING,1.0,0.0,4598.5249,124.0588,3448.1215,4845.388822156085,0.0028,S1,no_optical_s1,fs1-3016a20fd3ad
E003::rajkot,E003,2015-0249-IND,2015-06-19,Gujarat,Rajkot,district,FAO/GAUL/2015/level2,matched,17647,,NONE,no_s1,s1_interim,,unavailable,no_post_imagery,,,,,,,,,,,,no-sits,False,100.0,,,,,0.0,0.0,10594.8875,362.83,8303.7985,11175.751593133718,,NONE,no_measurement,fs1-3016a20fd3ad
E003::surat,E003,2015-0249-IND,2015-06-19,Gujarat,Surat,district,FAO/GAUL/2015/level2,matched,17649,,NONE,no_s1,s1_interim,,unavailable,no_post_imagery,,,,,,,,,,,,no-sits,False,100.0,,,,,0.0,0.0,5860.6038,320.505,3100.9497,7486.82173633887,,NONE,no_measurement,fs1-3016a20fd3ad
E003::tapi,E003,2015-0249-IND,2015-06-19,Gujarat,Tapi,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B12519626815499,,NONE,no_s1,s1_interim,,unavailable,no_post_imagery,,,,,,,,,,,,no-sits,False,100.0,,,,,0.0,0.0,2093.7467,37.5106,1269.4798,3222.2181213994645,,NONE,no_measurement,fs1-3016a20fd3ad
E005::darjeeling,E005,2015-0253-IND,2015-06-23,West Bengal,Darjeeling,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B17109302371020,2.4859,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,2.4859,,,,,,,,,,no-sits,False,100.0,,-16.0,True,BOTH,4.0,0.0,826.6807,47.8383,280.9187,2082.4452472301264,2.4859,S1,no_optical_s1,fs1-3016a20fd3ad
E009::anantnag,E009,2015-0333-IND,2015-07-07,Jammu and Kashmir,Anantnag,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B6393836306469,1.7994,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,1.7994,,,,,,,,,,no-sits,False,100.0,,-16.0,True,ASCENDING,4.0,0.0,460.8518,33.1089,180.894,2744.702711002116,1.7994,S1,no_optical_s1,fs1-3016a20fd3ad
E012::barabanki,E012,2015-0333-IND,2015-07-07,Uttar Pradesh,Barabanki,district,FAO/GAUL/2015/level2,matched,17896,783.3031,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,783.3031,,,,,,,,,,no-sits,False,100.0,,-13.25,False,BOTH,5.0,0.0,4261.6796,180.5234,2989.9903,4440.0005417469865,783.3031,S1,no_optical_s1,fs1-3016a20fd3ad
E015::dhemaji,E015,2015-0413-IND,2015-07-14,Assam,Dhemaji,district,FAO/GAUL/2015/level2,matched,70087,12.8685,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,12.8685,,,,,,,,,,no-sits,False,100.0,,-16.0,True,ASCENDING,1.0,0.0,2240.4877,21.9993,1222.1808,2503.3476339074205,12.8685,S1,no_optical_s1,fs1-3016a20fd3ad
E015::kokrajhar,E015,2015-0413-IND,2015-07-14,Assam,Kokrajhar,district,FAO/GAUL/2015/level2,matched,70090,42.6868,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,42.6868,,,,,,,,,,no-sits,False,100.0,,-16.0,True,ASCENDING,2.0,0.0,3061.7037,20.8028,1277.9815,3329.2233881813268,42.6868,S1,no_optical_s1,fs1-3016a20fd3ad
E015::lakhimpur,E015,2015-0413-IND,2015-07-14,Assam,Lakhimpur,district,FAO/GAUL/2015/level2,matched,70091,51.7313,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,51.7313,,,,,,,,,,no-sits,False,100.0,,-13.75,False,ASCENDING,1.0,0.0,2563.3875,26.0117,1480.1181,2886.5239581816727,51.7313,S1,no_optical_s1,fs1-3016a20fd3ad
E015::sonitpur,E015,2015-0413-IND,2015-07-14,Assam,Sonitpur,district,FAO/GAUL/2015/level2,matched,17593,68.551,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,68.551,,,,,,,,,,no-sits,False,100.0,,-14.75,False,ASCENDING,1.0,0.0,4081.5881,70.4035,1950.1255,4676.158375740257,68.551,S1,no_optical_s1,fs1-3016a20fd3ad
E016::baksa,E016,2015-0317-IND,2015-07-15,Assam,Baksa,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B8221925175605,70.022,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,70.022,,,,,,,,,,no-sits,False,100.0,,-16.0,True,ASCENDING,2.0,0.0,2223.2273,18.4823,1034.5191,2398.6209171216783,70.022,S1,no_optical_s1,fs1-3016a20fd3ad
E016::barpeta,E016,2015-0317-IND,2015-07-15,Assam,Barpeta,district,FAO/GAUL/2015/level2,matched,17576,158.5279,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,158.5279,,,,,,,,,,no-sits,False,100.0,,-15.75,False,ASCENDING,2.0,0.0,2781.8165,53.1895,1401.2032,3253.622989828742,158.5279,S1,no_optical_s1,fs1-3016a20fd3ad
E016::bongaigaon,E016,2015-0317-IND,2015-07-15,Assam,Bongaigaon,district,FAO/GAUL/2015/level2,matched,70086,68.1776,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,68.1776,,,,,,,,,,no-sits,False,100.0,,-14.25,False,ASCENDING,2.0,0.0,1849.5033,30.7452,701.4281,2332.582799042809,68.1776,S1,no_optical_s1,fs1-3016a20fd3ad
E016::cachar,E016,2015-0317-IND,2015-07-15,Assam,Cachar,district,FAO/GAUL/2015/level2,matched,17577,1.4569,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,1.4569,,,,,,,,,,no-sits,False,100.0,,-16.0,True,ASCENDING,2.0,0.0,1742.352,28.6315,777.3899,3806.329961738336,1.4569,S1,no_optical_s1,fs1-3016a20fd3ad
E016::darrang,E016,2015-0317-IND,2015-07-15,Assam,Darrang,district,FAO/GAUL/2015/level2,matched,17578,,NONE,no_s1,s1_interim,,unavailable,no_post_imagery,,,,,,,,,,,,no-sits,False,100.0,,,,,0.0,0.0,3074.5271,59.1961,1652.486,3426.9679336953163,,NONE,no_measurement,fs1-3016a20fd3ad
E016::dhemaji,E016,2015-0317-IND,2015-07-15,Assam,Dhemaji,district,FAO/GAUL/2015/level2,matched,70087,12.8685,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,12.8685,,,,,,,,,,no-sits,False,100.0,,-16.0,True,ASCENDING,1.0,0.0,2240.4877,21.9993,1222.1808,2503.3476339074205,12.8685,S1,no_optical_s1,fs1-3016a20fd3ad
E016::dhubri,E016,2015-0317-IND,2015-07-15,Assam,Dhubri,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B25835998628545,94.5726,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,94.5726,,,,,,,,,,no-sits,False,100.0,,-14.25,False,ASCENDING,2.0,0.0,1545.8668,29.1865,884.5081,1790.280077462252,94.5726,S1,no_optical_s1,fs1-3016a20fd3ad
