event_id,left_id,right_id,left_source,right_source,overlap_fraction_of_smaller,overlap_km2,warning
E004,E004::thane,E004::palghar,GAUL_reference,GB2021_reference,0.96921,5175.062,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E003,E003::rajkot,E003::morbi,GAUL_reference,GB2021_reference,0.718274,3473.294,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E003,E003::surat,E003::tapi,GAUL_reference,GB2021_reference,0.974441,3131.258,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E016,E016::darrang,E016::udalguri,GAUL_reference,GB2021_reference,0.899211,1845.907,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E016,E016::barpeta,E016::baksa,GAUL_reference,GB2021_reference,0.368313,881.69,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E016,E016::goalpara,E016::dhubri,GAUL_reference,GB2021_reference,0.013315,23.8,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E016,E016::kamrup,E016::baksa,GAUL_reference,GB2021_reference,0.11719,280.811,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E016,E016::kokrajhar,E016::dhubri,GAUL_reference,GB2021_reference,0.057986,103.472,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E016,E016::nalbari,E016::baksa,GAUL_reference,GB2021_reference,0.516814,1205.822,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E016,E016::nagaon,E016::morigaon,GAUL_reference,GB2021_reference,0.029263,44.046,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E016,E016::sonitpur,E016::udalguri,GAUL_reference,GB2021_reference,0.032417,66.585,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E019,E019::churachandpur,E019::jiribam,GAUL_reference,GB2021_reference,0.071308,10.416,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E017,E017::patan,E017::kutch,GAUL_reference,GB2021_reference,0.020878,125.423,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E020,E020::mayurbhanj,E020::balasore,GAUL_reference,GB2021_reference,0.012959,47.493,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E021,E021::barmer,E021::jalore,GAUL_reference,GB2021_reference,0.011027,118.388,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E023,E023::barpeta,E023::baksa,GAUL_reference,GB2021_reference,0.368313,881.69,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E023,E023::darrang,E023::udalguri,GAUL_reference,GB2021_reference,0.899211,1845.907,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E023,E023::kamrup,E023::baksa,GAUL_reference,GB2021_reference,0.11719,280.811,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E023,E023::nalbari,E023::baksa,GAUL_reference,GB2021_reference,0.516814,1205.822,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E023,E023::nagaon,E023::morigaon,GAUL_reference,GB2021_reference,0.029263,44.046,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
E023,E023::sonitpur,E023::udalguri,GAUL_reference,GB2021_reference,0.032417,66.585,Do not sum district flood areas; reference geometries overlap. Recompute on common boundaries or union pixel masks.
