event_district_id,event_id,source_record_id,state,district,start_date,end_date,date_precision,district_source,district_resolution_evidence,state_resolution_source,state_resolution_evidence,aoi_level,aoi_match_status
E001::anantnag,E001,2015-0107-IND,Jammu and Kashmir,Anantnag,2015-03-20,2015-03-31,start:day|end:day,external_recovery,"[""{\""canonical_district\"": \""Anantnag\"", \""circularity_risk\"": \""none\"", \""end_date\"": \""2015-03-31\"", \""event_id\"": \""E001\"", \""evidence_note\"": \""Same late-March 2015 Kashmir flood/landslide episode; district-level inundation/evacuation or severe rain impacts reported.\"", \""evidence_scope\"": \""same_event_period\"", \""evidence_type\"": \""direct_disaster_impact\"", \""mapping_row\"": 2, \""merge_rule\"": \""dedupe on event_id + canonical(state,district); retain all source provenance\"", \""origin\"": \""exhaustive_followup\"", \""source_class\"": \""humanitarian\"", \""source_record_id\"": \""2015-0107-IND\"", \""source_title\"": \""ACT Alliance / ReliefWeb Kashmir Floods and Landslides Alert (2015)\"", \""source_url\"": \""https://reliefweb.int/attachments/26a2fda2-b1c4-3df7-8dd0-a1c05e31ec13/Alert_09_2015_Kashmir_Floods_Landslides.pdf\"", \""source_verification\"": \""supplied_not_independently_verified\"", \""start_date\"": \""2015-03-20\"", \""state\"": \""Jammu and Kashmir\"", \""year\"": \""2015\""}""]",location,"[""location:(?<![A-Za-z])Jammu\\ and\\ Kashmir(?![A-Za-z])""]",district,pending
E001::bandipora,E001,2015-0107-IND,Jammu and Kashmir,Bandipora,2015-03-20,2015-03-31,start:day|end:day,external_recovery,"[""{\""canonical_district\"": \""Bandipora\"", \""circularity_risk\"": \""news_used_for_geography_only; do not use article itself in coverage outcome validation\"", \""end_date\"": \""2015-03-31\"", \""event_id\"": \""E001\"", \""evidence_note\"": \""Contemporaneous reporting places flood response/river threat in or around this district, but evidence is less explicit than primary tier.\"", \""evidence_scope\"": \""same_event_period_broad\"", \""evidence_type\"": \""secondary_geographic_proxy\"", \""mapping_row\"": 3, \""merge_rule\"": \""dedupe on event_id + canonical(state,district); retain all source provenance\"", \""origin\"": \""exhaustive_followup\"", \""source_class\"": \""official_quoted_media\"", \""source_record_id\"": \""2015-0107-IND\"", \""source_title\"": \""Contemporaneous Kashmir flood reporting\"", \""source_url\"": \""https://indianexpress.com/article/india/india-others/flood-alert-sounded-in-kashmir-valley/\"", \""source_verification\"": \""supplied_not_independently_verified\"", \""start_date\"": \""2015-03-20\"", \""state\"": \""Jammu and Kashmir\"", \""year\"": \""2015\""}""]",location,"[""location:(?<![A-Za-z])Jammu\\ and\\ Kashmir(?![A-Za-z])""]",district,pending
E001::baramulla,E001,2015-0107-IND,Jammu and Kashmir,Baramulla,2015-03-20,2015-03-31,start:day|end:day,external_recovery,"[""{\""canonical_district\"": \""Baramulla\"", \""circularity_risk\"": \""news_used_for_geography_only; do not use article itself in coverage outcome validation\"", \""end_date\"": \""2015-03-31\"", \""event_id\"": \""E001\"", \""evidence_note\"": \""Contemporaneous reporting places flood response/river threat in or around this district, but evidence is less explicit than primary tier.\"", \""evidence_scope\"": \""same_event_period_broad\"", \""evidence_type\"": \""secondary_geographic_proxy\"", \""mapping_row\"": 4, \""merge_rule\"": \""dedupe on event_id + canonical(state,district); retain all source provenance\"", \""origin\"": \""exhaustive_followup\"", \""source_class\"": \""official_quoted_media\"", \""source_record_id\"": \""2015-0107-IND\"", \""source_title\"": \""Contemporaneous Kashmir flood reporting\"", \""source_url\"": \""https://indianexpress.com/article/india/india-others/flood-alert-sounded-in-kashmir-valley/\"", \""source_verification\"": \""supplied_not_independently_verified\"", \""start_date\"": \""2015-03-20\"", \""state\"": \""Jammu and Kashmir\"", \""year\"": \""2015\""}""]",location,"[""location:(?<![A-Za-z])Jammu\\ and\\ Kashmir(?![A-Za-z])""]",district,pending
E001::budgam,E001,2015-0107-IND,Jammu and Kashmir,Budgam,2015-03-20,2015-03-31,start:day|end:day,external_recovery,"[""{\""canonical_district\"": \""Budgam\"", \""circularity_risk\"": \""none\"", \""end_date\"": \""2015-03-31\"", \""event_id\"": \""E001\"", \""evidence_note\"": \""Same late-March 2015 Kashmir flood/landslide episode; district-level inundation/evacuation or severe rain impacts reported.\"", \""evidence_scope\"": \""same_event_period\"", \""evidence_type\"": \""direct_disaster_impact\"", \""mapping_row\"": 5, \""merge_rule\"": \""dedupe on event_id + canonical(state,district); retain all source provenance\"", \""origin\"": \""exhaustive_followup\"", \""source_class\"": \""humanitarian\"", \""source_record_id\"": \""2015-0107-IND\"", \""source_title\"": \""ACT Alliance / ReliefWeb Kashmir Floods and Landslides Alert (2015)\"", \""source_url\"": \""https://reliefweb.int/attachments/26a2fda2-b1c4-3df7-8dd0-a1c05e31ec13/Alert_09_2015_Kashmir_Floods_Landslides.pdf\"", \""source_verification\"": \""supplied_not_independently_verified\"", \""start_date\"": \""2015-03-20\"", \""state\"": \""Jammu and Kashmir\"", \""year\"": \""2015\""}""]",location,"[""location:(?<![A-Za-z])Jammu\\ and\\ Kashmir(?![A-Za-z])""]",district,pending
E001::ganderbal,E001,2015-0107-IND,Jammu and Kashmir,Ganderbal,2015-03-20,2015-03-31,start:day|end:day,external_recovery,"[""{\""canonical_district\"": \""Ganderbal\"", \""circularity_risk\"": \""news_used_for_geography_only; do not use article itself in coverage outcome validation\"", \""end_date\"": \""2015-03-31\"", \""event_id\"": \""E001\"", \""evidence_note\"": \""Contemporaneous reporting places flood response/river threat in or around this district, but evidence is less explicit than primary tier.\"", \""evidence_scope\"": \""same_event_period_broad\"", \""evidence_type\"": \""secondary_geographic_proxy\"", \""mapping_row\"": 6, \""merge_rule\"": \""dedupe on event_id + canonical(state,district); retain all source provenance\"", \""origin\"": \""exhaustive_followup\"", \""source_class\"": \""official_quoted_media\"", \""source_record_id\"": \""2015-0107-IND\"", \""source_title\"": \""Contemporaneous Kashmir flood reporting\"", \""source_url\"": \""https://indianexpress.com/article/india/india-others/flood-alert-sounded-in-kashmir-valley/\"", \""source_verification\"": \""supplied_not_independently_verified\"", \""start_date\"": \""2015-03-20\"", \""state\"": \""Jammu and Kashmir\"", \""year\"": \""2015\""}""]",location,"[""location:(?<![A-Za-z])Jammu\\ and\\ Kashmir(?![A-Za-z])""]",district,pending
E001::pulwama,E001,2015-0107-IND,Jammu and Kashmir,Pulwama,2015-03-20,2015-03-31,start:day|end:day,external_recovery,"[""{\""canonical_district\"": \""Pulwama\"", \""circularity_risk\"": \""news_used_for_geography_only; do not use article itself in coverage outcome validation\"", \""end_date\"": \""2015-03-31\"", \""event_id\"": \""E001\"", \""evidence_note\"": \""Contemporaneous reporting places flood response/river threat in or around this district, but evidence is less explicit than primary tier.\"", \""evidence_scope\"": \""same_event_period_broad\"", \""evidence_type\"": \""secondary_geographic_proxy\"", \""mapping_row\"": 7, \""merge_rule\"": \""dedupe on event_id + canonical(state,district); retain all source provenance\"", \""origin\"": \""exhaustive_followup\"", \""source_class\"": \""official_quoted_media\"", \""source_record_id\"": \""2015-0107-IND\"", \""source_title\"": \""Contemporaneous Kashmir flood reporting\"", \""source_url\"": \""https://indianexpress.com/article/india/india-others/flood-alert-sounded-in-kashmir-valley/\"", \""source_verification\"": \""supplied_not_independently_verified\"", \""start_date\"": \""2015-03-20\"", \""state\"": \""Jammu and Kashmir\"", \""year\"": \""2015\""}""]",location,"[""location:(?<![A-Za-z])Jammu\\ and\\ Kashmir(?![A-Za-z])""]",district,pending
E001::shopian,E001,2015-0107-IND,Jammu and Kashmir,Shopian,2015-03-20,2015-03-31,start:day|end:day,external_recovery,"[""{\""canonical_district\"": \""Shopian\"", \""circularity_risk\"": \""none\"", \""end_date\"": \""2015-03-31\"", \""event_id\"": \""E001\"", \""evidence_note\"": \""Same late-March 2015 Kashmir flood/landslide episode; district-level inundation/evacuation or severe rain impacts reported.\"", \""evidence_scope\"": \""same_event_period\"", \""evidence_type\"": \""direct_disaster_impact\"", \""mapping_row\"": 8, \""merge_rule\"": \""dedupe on event_id + canonical(state,district); retain all source provenance\"", \""origin\"": \""exhaustive_followup\"", \""source_class\"": \""humanitarian\"", \""source_record_id\"": \""2015-0107-IND\"", \""source_title\"": \""ACT Alliance / ReliefWeb Kashmir Floods and Landslides Alert (2015)\"", \""source_url\"": \""https://reliefweb.int/attachments/26a2fda2-b1c4-3df7-8dd0-a1c05e31ec13/Alert_09_2015_Kashmir_Floods_Landslides.pdf\"", \""source_verification\"": \""supplied_not_independently_verified\"", \""start_date\"": \""2015-03-20\"", \""state\"": \""Jammu and Kashmir\"", \""year\"": \""2015\""}""]",location,"[""location:(?<![A-Za-z])Jammu\\ and\\ Kashmir(?![A-Za-z])""]",district,pending
E001::srinagar,E001,2015-0107-IND,Jammu and Kashmir,Srinagar,2015-03-20,2015-03-31,start:day|end:day,external_recovery,"[""{\""canonical_district\"": \""Srinagar\"", \""circularity_risk\"": \""none\"", \""end_date\"": \""2015-03-31\"", \""event_id\"": \""E001\"", \""evidence_note\"": \""Same late-March 2015 Kashmir flood/landslide episode; district-level inundation/evacuation or severe rain impacts reported.\"", \""evidence_scope\"": \""same_event_period\"", \""evidence_type\"": \""direct_disaster_impact\"", \""mapping_row\"": 9, \""merge_rule\"": \""dedupe on event_id + canonical(state,district); retain all source provenance\"", \""origin\"": \""exhaustive_followup\"", \""source_class\"": \""humanitarian\"", \""source_record_id\"": \""2015-0107-IND\"", \""source_title\"": \""ACT Alliance / ReliefWeb Kashmir Floods and Landslides Alert (2015)\"", \""source_url\"": \""https://reliefweb.int/attachments/26a2fda2-b1c4-3df7-8dd0-a1c05e31ec13/Alert_09_2015_Kashmir_Floods_Landslides.pdf\"", \""source_verification\"": \""supplied_not_independently_verified\"", \""start_date\"": \""2015-03-20\"", \""state\"": \""Jammu and Kashmir\"", \""year\"": \""2015\""}""]",location,"[""location:(?<![A-Za-z])Jammu\\ and\\ Kashmir(?![A-Za-z])""]",district,pending
E002::virudhunagar,E002,2015-0207-IND,Tamil Nadu,Virudhunagar,2015-05-17,2015-05-21,start:day|end:day,admin_units|gadm,"[""admin_units:Virudhunagar"", ""gadm:IND.31.32_1"", ""recovery_alias:Virudunagar->Virudhunagar""]",gadm|location,"[""gadm:IND.31.32_1"", ""location:(?<![A-Za-z])Tamil\\ Nadu(?![A-Za-z])""]",district,pending
E003::amreli,E003,2015-0249-IND,Gujarat,Amreli,2015-06-19,2015-06-20,start:day|end:day,gadm,"[""gadm:IND.11.2_1""]",gadm|location,"[""gadm:IND.11.20_1"", ""gadm:IND.11.26_1"", ""gadm:IND.11.28_1"", ""gadm:IND.11.2_1"", ""gadm:IND.11.30_1"", ""location:(?<![A-Za-z])Gujarat(?![A-Za-z])""]",district,pending
