event_id,state,district,disaster_type,start_date,end_date,lat,lon,bbox,income_group,event_source,source_record_id,aoi_level,date_precision,state_resolution_source,exclusion_reason
E004,Maharashtra,Maharashtra,flood,2015-06-19,2015-06-20,18.8,76.75,"72.6,15.6,80.9,22.0",High,emdat_official_state,2015-0249-IND,state,start:day|end:day,Admin Units|GADM|Location,news_informed_district_recovery_excluded_from_primary
E006,Arunachal Pradesh,Arunachal Pradesh,flood,2015-07-07,2015-07-13,28.0,94.45,"91.5,26.5,97.4,29.5",Low,emdat_official_state,2015-0333-IND,state,start:day|end:day,Admin Units|GADM|Location,district_unresolved
E007,Haryana,Haryana,flood,2015-07-07,2015-07-13,29.3,76.05,"74.5,27.7,77.6,30.9",High,emdat_official_state,2015-0333-IND,state,start:day|end:day,Admin Units|GADM|Location,district_unresolved
E008,Himachal Pradesh,Himachal Pradesh,flood,2015-07-07,2015-07-13,31.8,77.3,"75.6,30.4,79.0,33.2",Low,emdat_official_state,2015-0333-IND,state,start:day|end:day,Admin Units|GADM|Location,news_informed_district_recovery_excluded_from_primary
E010,Punjab,Punjab,flood,2015-07-07,2015-07-13,31.0,75.4,"73.9,29.5,76.9,32.5",Middle,emdat_official_state,2015-0333-IND,state,start:day|end:day,Admin Units|GADM|Location,news_informed_district_recovery_excluded_from_primary
E011,Rajasthan,Rajasthan,flood,2015-07-07,2015-07-13,26.6,73.9,"69.5,23.0,78.3,30.2",Low,emdat_official_state,2015-0333-IND,state,start:day|end:day,Admin Units|GADM|Location,district_unresolved
E013,Uttarakhand,Uttarakhand,flood,2015-07-07,2015-07-13,30.1,79.35,"77.6,28.7,81.1,31.5",Low,emdat_official_state,2015-0333-IND,state,start:day|end:day,Admin Units|GADM|Location,news_informed_district_recovery_excluded_from_primary
E014,Arunachal Pradesh,Arunachal Pradesh,flood,2015-07-14,2015-07-16,28.0,94.45,"91.5,26.5,97.4,29.5",Low,emdat_official_state,2015-0413-IND,state,start:day|end:day,Admin Units|GADM|Location,news_informed_district_recovery_excluded_from_primary
E018,Madhya Pradesh,Madhya Pradesh,flood,2015-07-15,2015-08-19,24.4,78.4,"74.0,21.9,82.8,26.9",Low,emdat_official_state,2015-0317-IND,state,start:day|end:day,Admin Units|GADM|Location,district_unresolved
E041,Andhra Pradesh,Andhra Pradesh,flood,2016-09-21,2016-09-29,16.2,80.9,"77.0,12.5,84.8,19.9",Middle,emdat_official_state,2016-0391-IND,state,start:day|end:day,Admin Units|GADM|Location,news_informed_district_recovery_excluded_from_primary
E042,Telangana,Telangana,flood,2016-09-21,2016-09-29,17.85,79.25,"77.2,15.8,81.3,19.9",High,emdat_official_state,2016-0391-IND,state,start:day|end:day,GADM|Location,news_informed_district_recovery_excluded_from_primary
E043,Gujarat,Gujarat,flood,2017-06-01,2017-06-30,22.4,71.35,"68.2,20.1,74.5,24.7",High,emdat_official_state,2017-0257-IND,state,start:day|end:day,Admin Units|GADM|Location,district_unresolved
E062,Gujarat,Gujarat,flood,2018-06-22,2018-07-03,22.4,71.35,"68.2,20.1,74.5,24.7",High,emdat_official_state,2018-0205-IND,state,start:day|end:day,Admin Units|GADM|Location,district_unresolved
E063,Maharashtra,Maharashtra,flood,2018-06-22,2018-07-03,18.8,76.75,"72.6,15.6,80.9,22.0",High,emdat_official_state,2018-0205-IND,state,start:day|end:day,Admin Units|GADM|Location,district_unresolved
E065,Rajasthan,Rajasthan,flood,2018-07-26,2018-07-28,26.6,73.9,"69.5,23.0,78.3,30.2",Low,emdat_official_state,2018-0267-IND,state,start:day|end:day,Admin Units|GADM|Location,news_informed_district_recovery_excluded_from_primary
