event_id,post_images,clear_pct,cloud_pct
E01,0,0.0,100.0
E02,3,38.8,61.2
E03,7,6.7,93.3
E04,5,100.0,0.0
E05,8,3.8,96.2
E06,14,63.8,36.2
E07,4,63.3,36.7
E08,3,25.4,74.6
E09,3,92.8,7.2
E10,10,63.7,36.3
E11,7,31.3,68.7
E12,7,45.3,54.7
E13,0,0.0,100.0
E14,0,0.0,100.0
E15,5,9.3,90.7
E16,13,78.1,21.9
E17,3,15.9,84.1
E18,0,0.0,100.0
E19,0,0.0,100.0
E20,0,0.0,100.0
E21,5,6.1,93.9
E22,5,66.5,33.5
E23,0,0.0,100.0
E24,0,0.0,100.0
E25,0,0.0,100.0
E26,0,0.0,100.0
E27,0,0.0,100.0
E28,1,6.8,93.2
E29,9,95.6,4.4
E30,5,27.5,72.5
E31,8,93.5,6.5
E32,8,96.8,3.2
E33,0,0.0,100.0
E34,4,45.9,54.1
E35,3,99.1,0.9
E36,6,100.0,0.0
E37,1,7.9,92.1
E38,4,100.0,0.0
E39,6,99.4,0.6
E40,4,99.6,0.4
E41,6,73.5,26.5
E42,6,83.3,16.7
E43,0,0.0,100.0
E44,0,0.0,100.0
E45,0,0.0,100.0
E46,6,77.0,23.0
E47,0,0.0,100.0
E48,1,45.2,54.8
E49,0,0.0,100.0
E50,36,99.6,0.4
E51,45,99.9,0.1
E52,25,72.6,27.4
E53,45,100.0,0.0
E54,1,0.0,100.0
E55,11,63.4,36.6
E56,0,0.0,100.0
E57,2,91.1,8.9
E58,8,94.5,5.5
E59,0,0.0,100.0
E60,0,0.0,100.0
E61,0,0.0,100.0
E62,8,69.6,30.4
E63,12,65.5,34.5
E64,11,71.4,28.6
E65,4,19.4,80.6
E66,10,46.0,54.0
E67,0,0.0,100.0
E68,77,92.1,7.9
E69,5,99.9,0.1
E70,12,81.3,18.7
E71,6,46.5,53.5
E72,7,72.1,27.9
E73,10,96.6,3.4
E74,5,89.0,11.0
E75,9,80.4,19.6
E76,5,20.7,79.3
E77,0,0.0,100.0
E78,3,20.0,80.0
E79,9,58.2,41.8
E80,6,59.8,40.2
E81,0,0.0,100.0
E82,0,0.0,100.0
E83,0,0.0,100.0
E84,0,0.0,100.0
E85,22,95.5,4.5
E86,27,99.9,0.1
E87,15,99.9,0.1
E88,28,76.9,23.1
E89,0,0.0,100.0
E90,0,0.0,100.0
E91,0,0.0,100.0
E92,0,0.0,100.0
E93,0,0.0,100.0
E94,0,0.0,100.0
E95,10,97.3,2.7
E96,5,43.9,56.1
E97,1,0.0,100.0
E98,6,25.3,74.7
E99,0,0.0,100.0
E100,0,0.0,100.0
E101,1,15.7,84.3
E102,6,38.1,61.9
E103,3,4.4,95.6
E104,16,89.3,10.7
E105,6,52.6,47.4
E106,8,76.4,23.6
E107,0,0.0,100.0
E108,0,0.0,100.0
E109,0,0.0,100.0
E110,8,76.2,23.8
E111,4,96.0,4.0
E112,0,0.0,100.0
E113,0,0.0,100.0
E114,15,97.5,2.5
E115,23,90.1,9.9
E116,0,0.0,100.0
E117,3,100.0,0.0
E118,6,96.5,3.5
E119,3,81.7,18.3
E120,6,87.0,13.0
E121,0,0.0,100.0
E122,2,43.0,57.0
E123,2,26.9,73.1
E124,20,99.3,0.7
E125,7,17.7,82.3
E126,6,22.3,77.7
E127,9,45.0,55.0
E128,0,0.0,100.0
E129,0,0.0,100.0
E130,0,0.0,100.0
E131,12,99.7,0.3
E132,1,7.1,92.9
E133,6,86.5,13.5
E134,11,64.7,35.3
E135,7,54.8,45.2
E136,0,0.0,100.0
E137,0,0.0,100.0
E138,0,0.0,100.0
E139,2,65.4,34.6
E140,0,0.0,100.0
E141,0,0.0,100.0
E142,1,4.2,95.8
E143,0,0.0,100.0
E144,0,0.0,100.0
E145,5,84.4,15.6
E146,0,0.0,100.0
E147,8,97.6,2.4
E148,16,100.0,0.0
E149,12,100.0,0.0
E150,10,69.9,30.1
E151,14,65.7,34.3
E152,0,0.0,100.0
E153,0,0.0,100.0
E154,0,0.0,100.0
E155,4,23.4,76.6
E156,7,26.6,73.4
E157,6,38.0,62.0
E158,4,2.4,97.6
E159,10,80.9,19.1
E160,0,0.0,100.0
E161,18,85.9,14.1
E162,0,0.0,100.0
E163,2,92.7,7.3
E164,0,0.0,100.0
E165,8,66.7,33.3
E166,14,99.6,0.4
E167,17,98.0,2.0
E168,14,100.0,0.0
