event_id,state,district,canonical_state,start_date,bbox_area_km2,state_area_km2,district_km2,raw_flood_area_km2,adjusted_flood_area_km2,flood_ratio,combined_source,region_total_population,population_exposed,exposure_rate,warnings
E01,Kerala,Thrissur,Kerala,2018-08-08,,38852,2961.8,28.86,28.86,0.0097,S1(cloud),36111000,26824.0,0.0097,
E02,Bihar,Darbhanga,Bihar,2019-07-10,,94163,2293.7,,,,none,131041000,,,NO COMBINED FLOOD: source=none
E03,Assam,Morigaon,Assam,2020-05-25,,78438,1556.5,,,,none,36493000,,,NO COMBINED FLOOD: source=none
E04,Telangana,Hyderabad,Telangana,2020-10-13,,112077,178.6,1.61,1.61,0.009,NDWI,38499000,553.0,0.009,
E05,Maharashtra,Raigad,Maharashtra,2021-07-22,,307713,6912.8,8.83,8.83,0.0013,S1(cloud>60),128659000,3692.0,0.0013,
E06,Uttarakhand,Chamoli,Uttarakhand,2021-02-07,,53483,7838.3,4.08,4.08,0.0005,SITS+NDWI,11913000,909.0,0.0005,
E07,Uttar Pradesh,Bahraich,Uttar Pradesh,2021-08-10,,240928,3157.8,55.21,55.21,0.0175,NDWI,241265000,55287.0,0.0175,
E08,Assam,Cachar,Assam,2022-06-15,,78438,3806.3,107.18,107.18,0.0282,S1(cloud>60),36493000,49865.0,0.0282,
E09,Karnataka,Bengaluru,Karnataka,2022-09-05,,191791,2187.3,14.71,14.71,0.0067,NDWI,68679000,5268.0,0.0067,
E10,Odisha,Balasore,Odisha,2022-09-16,,155707,3697.1,11.47,11.47,0.0031,SITS+NDWI,46953000,3459.0,0.0031,
E100,Manipur,Imphal West,Manipur,2017-06-04,,22327,489.0,,,,none,3289000,,,NO COMBINED FLOOD: source=none
E101,Manipur,Imphal West,Manipur,2025-05-31,,22327,489.0,,,,none,3289000,,,NO COMBINED FLOOD: source=none
E102,Meghalaya,West Khasi Hills,Meghalaya,2022-05-17,,22429,5255.6,1.56,1.56,0.0003,S1(cloud>60),3417000,238.0,0.0003,
E103,Meghalaya,West Khasi Hills,Meghalaya,2024-05-01,,22429,5255.6,1.91,1.91,0.0004,S1(cloud>60),3417000,291.0,0.0004,
E104,Meghalaya,West Khasi Hills,Meghalaya,2024-10-04,,22429,5255.6,1.42,1.42,0.0003,NDWI,3417000,216.0,0.0003,
E105,Meghalaya,West Khasi Hills,Meghalaya,2025-05-31,,22429,5255.6,4.43,4.43,0.0008,NDWI,3417000,675.0,0.0008,
E106,Mizoram,Serchhip,Mizoram,2025-05-31,,21081,1362.0,2.04,2.04,0.0015,NDWI,1264000,122.0,0.0015,
E107,Nagaland,Wokha,Nagaland,2016-04-22,,16579,1629.5,,,,none,2279000,,,NO COMBINED FLOOD: source=none
E108,Nagaland,Wokha,Nagaland,2017-06-04,,16579,1629.5,,,,none,2279000,,,NO COMBINED FLOOD: source=none
E109,Nagaland,Wokha,Nagaland,2018-08-07,,16579,1629.5,0.42,0.42,0.0003,S1(cloud),2279000,58.0,0.0003,
E11,Himachal Pradesh,Mandi,Himachal Pradesh,2023-07-08,,55673,3951.3,0.69,0.69,0.0002,S1(cloud>60),7555000,94.0,0.0002,
E110,Nagaland,Wokha,Nagaland,2022-05-17,,16579,1629.5,1.35,1.35,0.0008,NDWI,2279000,186.0,0.0008,
E111,Nagaland,Wokha,Nagaland,2025-05-31,,16579,1629.5,,,,none,2279000,,,NO COMBINED FLOOD: source=none
E112,Odisha,Ganjam,Odisha,2015-07-15,,155707,8088.5,0.14,0.14,0.0,S1(cloud),46953000,42.0,0.0,
E113,Odisha,Ganjam,Odisha,2018-07-20,,155707,8088.5,0.7,0.7,0.0001,S1(cloud),46953000,211.0,0.0001,
E114,Odisha,Ganjam,Odisha,2019-07-14,,155707,8088.5,0.46,0.46,0.0001,NDWI,46953000,139.0,0.0001,
E115,Odisha,Ganjam,Odisha,2020-06-01,,155707,8088.5,2.97,2.97,0.0004,SITS+NDWI,46953000,896.0,0.0004,
E116,Punjab,Jalandhar,Punjab,2015-07-07,,50362,2605.1,,,,none,31188000,,,NO COMBINED FLOOD: source=none
E117,Punjab,Jalandhar,Punjab,2018-09-23,,50362,2605.1,1.24,1.24,0.0005,NDWI,31188000,768.0,0.0005,
E118,Punjab,Jalandhar,Punjab,2019-07-14,,50362,2605.1,3.69,3.69,0.0014,SITS+NDWI,31188000,2285.0,0.0014,
E119,Punjab,Jalandhar,Punjab,2023-06-25,,50362,2605.1,131.62,131.62,0.0505,SITS+NDWI,31188000,81509.0,0.0505,
E12,Delhi,North West Delhi,Delhi,2023-07-10,,1484,1504.3,22.22,22.22,0.0148,SITS+NDWI,22277000,333555.0,0.0148,
E120,Punjab,Jalandhar,Punjab,2025-08-15,,50362,2605.1,4.24,4.24,0.0016,SITS+NDWI(restored),31188000,2626.0,0.0016,
E121,Rajasthan,Nagaur,Rajasthan,2015-07-07,,342239,17676.9,,,,none,83060000,,,NO COMBINED FLOOD: source=none
E122,Rajasthan,Nagaur,Rajasthan,2017-06-01,,342239,17676.9,0.47,0.47,0.0,NDWI,83060000,114.0,0.0,
E123,Rajasthan,Nagaur,Rajasthan,2018-07-26,,342239,17676.9,233.85,233.85,0.0132,S1(cloud>60),83060000,56754.0,0.0132,
E124,Rajasthan,Nagaur,Rajasthan,2019-07-14,,342239,17676.9,7.41,7.41,0.0004,SITS+NDWI,83060000,1798.0,0.0004,
E125,Sikkim,Mangan,Sikkim,2020-05-24,,7096,4247.0,,,,none,703000,,,NO COMBINED FLOOD: source=none
E126,Sikkim,Mangan,Sikkim,2023-06-14,,7096,4247.0,,,,none,703000,,,NO COMBINED FLOOD: source=none
E127,Sikkim,Mangan,Sikkim,2025-05-31,,7096,4247.0,9.27,9.27,0.0022,SITS+NDWI,703000,918.0,0.0022,
E128,Tamil Nadu,Karur,Tamil Nadu,2015-05-17,,130058,2900.7,,,,none,77394000,,,NO COMBINED FLOOD: source=none
E129,Tamil Nadu,Karur,Tamil Nadu,2016-07-09,,130058,2900.7,67.08,67.08,0.0231,S1(cloud),77394000,39917.0,0.0231,
E13,Andhra Pradesh,Krishna,Andhra Pradesh,2016-07-09,,162975,8431.7,35.52,35.52,0.0042,S1(cloud),53586000,11679.0,0.0042,
E130,Tamil Nadu,Karur,Tamil Nadu,2017-10-30,,130058,2900.7,6.22,6.22,0.0021,S1(cloud),77394000,3701.0,0.0021,
E131,Tamil Nadu,Karur,Tamil Nadu,2019-06-28,,130058,2900.7,1.14,1.14,0.0004,NDWI,77394000,678.0,0.0004,
E132,Tamil Nadu,Karur,Tamil Nadu,2019-10-19,,130058,2900.7,5.58,5.58,0.0019,S1(cloud>60),77394000,3321.0,0.0019,
E133,Tamil Nadu,Karur,Tamil Nadu,2021-11-06,,130058,2900.7,11.68,11.68,0.004,NDWI,77394000,6950.0,0.004,
E134,Tamil Nadu,Karur,Tamil Nadu,2023-12-18,,130058,2900.7,0.25,0.25,0.0001,NDWI,77394000,149.0,0.0001,
E135,Telangana,Jangaon,Telangana,2023-07-27,,112077,12850.1,103.61,103.61,0.0081,NDWI,38499000,35591.0,0.0081,
E136,Tripura,Khowai,Tripura,2018-05-17,,10486,3040.0,2.75,2.75,0.0009,S1(cloud),4232000,1110.0,0.0009,
E137,Tripura,Khowai,Tripura,2021-06-01,,10486,3040.0,0.03,0.03,0.0,S1(cloud),4232000,12.0,0.0,
E138,Tripura,Khowai,Tripura,2024-08-19,,10486,3040.0,0.16,0.16,0.0001,S1(cloud),4232000,65.0,0.0001,
E139,Tripura,Khowai,Tripura,2025-05-31,,10486,3040.0,3.67,3.67,0.0012,SITS+NDWI,4232000,1481.0,0.0012,
E14,Andhra Pradesh,Krishna,Andhra Pradesh,2017-08-16,,162975,8431.7,203.53,203.53,0.0241,S1(cloud),53586000,66920.0,0.0241,
E140,Uttar Pradesh,Sitapur,Uttar Pradesh,2015-05-17,,240928,2544.2,6.82,6.82,0.0027,S1(cloud),241265000,6830.0,0.0027,
E141,Uttar Pradesh,Sitapur,Uttar Pradesh,2015-07-07,,240928,2544.2,3.12,3.12,0.0012,S1(cloud),241265000,3124.0,0.0012,
E142,Uttar Pradesh,Sitapur,Uttar Pradesh,2015-08-28,,240928,2544.2,,,,none,241265000,,,NO COMBINED FLOOD: source=none
E143,Uttar Pradesh,Sitapur,Uttar Pradesh,2016-07-15,,240928,2544.2,,,,none,241265000,,,NO COMBINED FLOOD: source=none
E144,Uttar Pradesh,Sitapur,Uttar Pradesh,2017-07-01,,240928,2544.2,8.45,8.45,0.0033,S1(cloud),241265000,8462.0,0.0033,
E145,Uttar Pradesh,Sitapur,Uttar Pradesh,2018-05-29,,240928,2544.2,1.48,1.48,0.0006,NDWI,241265000,1482.0,0.0006,
E146,Uttar Pradesh,Sitapur,Uttar Pradesh,2018-07-26,,240928,2544.2,49.9,49.9,0.0196,S1(cloud),241265000,49970.0,0.0196,
E147,Uttar Pradesh,Sitapur,Uttar Pradesh,2019-07-14,,240928,2544.2,29.86,29.86,0.0117,SITS+NDWI,241265000,29902.0,0.0117,
E148,Uttar Pradesh,Sitapur,Uttar Pradesh,2020-05-10,,240928,2544.2,4.09,4.09,0.0016,SITS+NDWI(restored),241265000,4096.0,0.0016,
E149,Uttar Pradesh,Sitapur,Uttar Pradesh,2021-06-01,,240928,2544.2,1.29,1.29,0.0005,NDWI,241265000,1292.0,0.0005,
E15,Andhra Pradesh,Krishna,Andhra Pradesh,2020-10-01,,162975,8431.7,210.19,210.19,0.0249,S1(cloud>60),53586000,69110.0,0.0249,
E150,Uttar Pradesh,Sitapur,Uttar Pradesh,2022-09-18,,240928,2544.2,2.31,2.31,0.0009,SITS+NDWI,241265000,2313.0,0.0009,
E151,Uttar Pradesh,Sitapur,Uttar Pradesh,2024-07-09,,240928,2544.2,5.23,5.23,0.0021,SITS+NDWI,241265000,5237.0,0.0021,
E152,Uttarakhand,Chamoli,Uttarakhand,2015-07-07,,53483,7838.3,46.58,46.58,0.0059,S1(cloud),11913000,10375.0,0.0059,
E153,Uttarakhand,Chamoli,Uttarakhand,2015-08-28,,53483,7838.3,4.01,4.01,0.0005,S1(cloud),11913000,893.0,0.0005,
E154,Uttarakhand,Chamoli,Uttarakhand,2017-08-16,,53483,7838.3,4.05,4.05,0.0005,S1(cloud),11913000,902.0,0.0005,
E155,Uttarakhand,Chamoli,Uttarakhand,2019-07-14,,53483,7838.3,35.06,35.06,0.0045,S1(cloud>60),11913000,7809.0,0.0045,
E156,Uttarakhand,Chamoli,Uttarakhand,2021-06-01,,53483,7838.3,11.8,11.8,0.0015,S1(cloud>60),11913000,2628.0,0.0015,
E157,Uttarakhand,Chamoli,Uttarakhand,2022-08-01,,53483,7838.3,14.31,14.31,0.0018,S1(cloud>60),11913000,3187.0,0.0018,
E158,Uttarakhand,Chamoli,Uttarakhand,2023-06-25,,53483,7838.3,29.93,29.93,0.0038,S1(cloud>60),11913000,6667.0,0.0038,
E159,Uttarakhand,Chamoli,Uttarakhand,2023-12-18,,53483,7838.3,40.66,40.66,0.0052,SITS+NDWI,11913000,9057.0,0.0052,
E16,Andhra Pradesh,Krishna,Andhra Pradesh,2021-10-11,,162975,8431.7,76.93,76.93,0.0091,NDWI,53586000,25294.0,0.0091,
E160,Uttarakhand,Chamoli,Uttarakhand,2025-06-20,,53483,7838.3,10.57,10.57,0.0013,S1(cloud),11913000,2354.0,0.0013,
E161,Uttarakhand,Chamoli,Uttarakhand,2025-09-15,,53483,7838.3,8.18,8.18,0.001,SITS+NDWI,11913000,1822.0,0.001,
E162,West Bengal,Birbhum,West Bengal,2015-06-23,,88752,4566.0,,,,none,100202000,,,NO COMBINED FLOOD: source=none
E163,West Bengal,Birbhum,West Bengal,2017-06-01,,88752,4566.0,28.28,28.28,0.0062,NDWI,100202000,31928.0,0.0062,
E164,West Bengal,Birbhum,West Bengal,2018-08-02,,88752,4566.0,0.02,0.02,0.0,S1(cloud),100202000,23.0,0.0,
E165,West Bengal,Birbhum,West Bengal,2019-07-14,,88752,4566.0,51.83,51.83,0.0114,NDWI,100202000,58517.0,0.0114,
E166,West Bengal,Birbhum,West Bengal,2020-06-01,,88752,4566.0,19.73,19.73,0.0043,NDWI,100202000,22275.0,0.0043,
E167,West Bengal,Birbhum,West Bengal,2021-06-01,,88752,4566.0,5.24,5.24,0.0011,SITS+NDWI,100202000,5916.0,0.0011,
E168,West Bengal,Birbhum,West Bengal,2025-10-03,,88752,4566.0,9.95,9.95,0.0022,SITS+NDWI,100202000,11234.0,0.0022,
E17,Andhra Pradesh,Krishna,Andhra Pradesh,2024-07-09,,162975,8431.7,206.41,206.41,0.0245,S1(cloud>60),53586000,67867.0,0.0245,
E18,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,2015-07-07,,83743,6676.5,1.14,1.14,0.0002,S1(cloud),1594000,22.0,0.0002,
E19,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,2016-04-22,,83743,6676.5,5.91,5.91,0.0009,S1(cloud),1594000,112.0,0.0009,
E20,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,2016-06-25,,83743,6676.5,,,,none,1594000,,,NO COMBINED FLOOD: source=none
E21,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,2020-06-01,,83743,6676.5,,,,none,1594000,,,NO COMBINED FLOOD: source=none
E22,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,2025-05-31,,83743,6676.5,1.54,1.54,0.0002,NDWI,1594000,29.0,0.0002,
E23,Assam,Hojai,Assam,2015-08-13,,78438,3997.4,,,,none,36493000,,,NO COMBINED FLOOD: source=none
E24,Assam,Hojai,Assam,2016-04-22,,78438,3997.4,,,,none,36493000,,,NO COMBINED FLOOD: source=none
E25,Assam,Hojai,Assam,2016-06-25,,78438,3997.4,,,,none,36493000,,,NO COMBINED FLOOD: source=none
E26,Assam,Hojai,Assam,2017-06-04,,78438,3997.4,18.93,18.93,0.0047,S1(cloud),36493000,8807.0,0.0047,
E27,Assam,Hojai,Assam,2018-06-22,,78438,3997.4,124.81,124.81,0.0312,S1(cloud),36493000,58067.0,0.0312,
E28,Assam,Hojai,Assam,2021-07-01,,78438,3997.4,65.28,65.28,0.0163,S1(cloud>60),36493000,30371.0,0.0163,
E29,Assam,Hojai,Assam,2022-05-17,,78438,3997.4,175.06,175.06,0.0438,SITS+NDWI,36493000,81446.0,0.0438,
E30,Assam,Hojai,Assam,2023-06-14,,78438,3997.4,0.02,0.02,0.0,S1(cloud>60),36493000,9.0,0.0,
E31,Assam,Hojai,Assam,2024-05-01,,78438,3997.4,29.18,29.18,0.0073,NDWI,36493000,13576.0,0.0073,
E32,Assam,Hojai,Assam,2025-05-31,,78438,3997.4,240.24,240.24,0.0601,SITS+NDWI,36493000,111771.0,0.0601,
E33,Bihar,Samastipur,Bihar,2016-07-15,,94163,2911.5,,,,none,131041000,,,NO COMBINED FLOOD: source=none
E34,Bihar,Samastipur,Bihar,2020-06-01,,94163,2911.5,1.99,1.99,0.0007,SITS+NDWI,131041000,2769.0,0.0007,
E35,Bihar,Samastipur,Bihar,2021-06-01,,94163,2911.5,36.45,36.45,0.0125,NDWI,131041000,50725.0,0.0125,
E36,Bihar,Samastipur,Bihar,2022-05-17,,94163,2911.5,26.39,26.39,0.0091,NDWI,131041000,36725.0,0.0091,
E37,Bihar,Samastipur,Bihar,2023-06-25,,94163,2911.5,4.79,4.79,0.0016,S1(cloud>60),131041000,6666.0,0.0016,
E38,Bihar,Samastipur,Bihar,2025-10-03,,94163,2911.5,71.82,71.82,0.0247,SITS+NDWI,131041000,99948.0,0.0247,
E39,Chhattisgarh,Mahasamund,Chhattisgarh,2020-06-01,,135192,4766.8,12.91,12.91,0.0027,NDWI,30982000,2959.0,0.0027,
E40,Chhattisgarh,Mahasamund,Chhattisgarh,2021-06-01,,135192,4766.8,5.89,5.89,0.0012,NDWI,30982000,1350.0,0.0012,
E41,Chhattisgarh,Mahasamund,Chhattisgarh,2023-06-25,,135192,4766.8,56.79,56.79,0.0119,NDWI,30982000,13015.0,0.0119,
E42,Delhi,Delhi,Delhi,2023-06-25,,1484,1504.3,7.36,7.36,0.0049,SITS+NDWI,22277000,110484.0,0.0049,
E43,Goa,South Goa,Goa,2015-08-28,,3702,1992.4,,,,none,1593000,,,NO COMBINED FLOOD: source=none
E44,Goa,South Goa,Goa,2016-07-28,,3702,1992.4,,,,none,1593000,,,NO COMBINED FLOOD: source=none
E45,Goa,South Goa,Goa,2017-06-25,,3702,1992.4,1.09,1.09,0.0005,S1(cloud),1593000,469.0,0.0005,
E46,Goa,South Goa,Goa,2021-06-01,,3702,1992.4,1.25,1.25,0.0006,NDWI,1593000,538.0,0.0006,
E47,Gujarat,Surendranagar,Gujarat,2016-08-01,,196024,10480.7,,,,none,73513000,,,NO COMBINED FLOOD: source=none
E48,Gujarat,Surendranagar,Gujarat,2017-06-01,,196024,10480.7,19.72,19.72,0.0019,NDWI,73513000,7395.0,0.0019,
E49,Gujarat,Surendranagar,Gujarat,2018-06-22,,196024,10480.7,1.26,1.26,0.0001,S1(cloud),73513000,473.0,0.0001,
E50,Gujarat,Surendranagar,Gujarat,2020-06-01,,196024,10480.7,16.98,16.98,0.0016,SITS+NDWI,73513000,6368.0,0.0016,
E51,Gujarat,Surendranagar,Gujarat,2021-06-01,,196024,10480.7,26.29,26.29,0.0025,SITS+NDWI(restored),73513000,9859.0,0.0025,
E52,Gujarat,Surendranagar,Gujarat,2021-09-13,,196024,10480.7,92.74,92.74,0.0088,SITS+NDWI,73513000,34779.0,0.0088,
E53,Gujarat,Surendranagar,Gujarat,2022-05-17,,196024,10480.7,4.45,4.45,0.0004,SITS+NDWI(restored),73513000,1669.0,0.0004,
E54,Gujarat,Surendranagar,Gujarat,2023-06-25,,196024,10480.7,,,,none,73513000,,,NO COMBINED FLOOD: source=none
E55,Gujarat,Surendranagar,Gujarat,2024-08-26,,196024,10480.7,134.65,134.65,0.0128,SITS+NDWI,73513000,50496.0,0.0128,
E56,Haryana,Hisar,Haryana,2015-07-07,,44212,4174.8,,,,none,31057000,,,NO COMBINED FLOOD: source=none
E57,Haryana,Hisar,Haryana,2018-09-23,,44212,4174.8,2.13,2.13,0.0005,SITS+NDWI,31057000,1496.0,0.0005,
E58,Haryana,Hisar,Haryana,2023-06-26,,44212,4174.8,13.16,13.16,0.0032,SITS+NDWI(restored),31057000,9244.0,0.0032,
E59,Himachal Pradesh,Kullu,Himachal Pradesh,2015-07-07,,55673,5506.0,0.71,0.71,0.0001,S1(cloud),7555000,96.0,0.0001,
E60,Himachal Pradesh,Kullu,Himachal Pradesh,2017-08-16,,55673,5506.0,0.83,0.83,0.0002,S1(cloud),7555000,113.0,0.0002,
E61,Himachal Pradesh,Kullu,Himachal Pradesh,2018-08-07,,55673,5506.0,10.61,10.61,0.0019,S1(cloud),7555000,1440.0,0.0019,
E62,Himachal Pradesh,Kullu,Himachal Pradesh,2019-07-14,,55673,5506.0,2.38,2.38,0.0004,NDWI,7555000,323.0,0.0004,
E63,Himachal Pradesh,Kullu,Himachal Pradesh,2021-06-01,,55673,5506.0,2.03,2.03,0.0004,NDWI,7555000,275.0,0.0004,
E64,Himachal Pradesh,Kullu,Himachal Pradesh,2022-05-17,,55673,5506.0,1.19,1.19,0.0002,NDWI,7555000,161.0,0.0002,
E65,Himachal Pradesh,Kullu,Himachal Pradesh,2024-07-31,,55673,5506.0,0.01,0.01,0.0,S1(cloud>60),7555000,1.0,0.0,
E66,Himachal Pradesh,Kullu,Himachal Pradesh,2025-06-20,,55673,5506.0,4.04,4.04,0.0007,NDWI,7555000,548.0,0.0007,
E67,Jammu and Kashmir,72811,Jammu and Kashmir,2015-03-20,,42241,45603.1,38.5,38.5,0.0008,S1(cloud),13831000,12606.0,0.0008,
E68,Jammu and Kashmir,Kishtwar,Jammu and Kashmir,2025-08-14,,42241,45603.1,232.44,232.44,0.0051,SITS+NDWI(restored),13831000,76108.0,0.0051,
E69,Jharkhand,Ramgarh,Jharkhand,2017-06-04,,79716,6175.1,4.01,4.01,0.0006,SITS+NDWI,40626000,2044.0,0.0006,
