registry_state,registry_district,census_state,census_district,notes
Andhra Pradesh,YSR Kadapa,Andhra Pradesh,Y.S.R.,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Bihar,East Champaran,Bihar,Purba Champaran,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Bihar,West Champaran,Bihar,Pashchim Champaran,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Bihar,Purnea,Bihar,Purnia,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Chhattisgarh,Janjgir-Champa,Chhattisgarh,Janjgir - Champa,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Chhattisgarh,Kabirdham,Chhattisgarh,Kabeerdham,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Gujarat,Banaskantha,Gujarat,Banas Kantha,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Gujarat,Kutch,Gujarat,Kachchh,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Gujarat,Sabarkantha,Gujarat,Sabar Kantha,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Gujarat,Ahmedabad,Gujarat,Ahmadabad,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Gujarat,Mehsana,Gujarat,Mahesana,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Gujarat,Dahod,Gujarat,Dohad,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Himachal Pradesh,Lahaul and Spiti,Himachal Pradesh,Lahul & Spiti,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Jammu and Kashmir,Bandipora,Jammu and Kashmir,Bandipore,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Jammu and Kashmir,Baramulla,Jammu and Kashmir,Baramula,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Jammu and Kashmir,Budgam,Jammu and Kashmir,Badgam,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
