year,event_id,source_record_id,state,start_date,end_date,canonical_district,evidence_scope,evidence_type,source_class,source_title,source_url,evidence_note,boundary_note,circularity_risk,merge_rule,origin
2015,E001,2015-0107-IND,Jammu and Kashmir,2015-03-20,2015-03-31,Anantnag,same_event_period,direct_disaster_impact,humanitarian,ACT Alliance / ReliefWeb Kashmir Floods and Landslides Alert (2015),https://reliefweb.int/attachments/26a2fda2-b1c4-3df7-8dd0-a1c05e31ec13/Alert_09_2015_Kashmir_Floods_Landslides.pdf,Same late-March 2015 Kashmir flood/landslide episode; district-level inundation/evacuation or severe rain impacts reported.,,none,"dedupe on event_id + canonical(state,district); retain all source provenance",exhaustive_followup
2015,E001,2015-0107-IND,Jammu and Kashmir,2015-03-20,2015-03-31,Bandipora,same_event_period_broad,secondary_geographic_proxy,official_quoted_media,Contemporaneous Kashmir flood reporting,https://indianexpress.com/article/india/india-others/flood-alert-sounded-in-kashmir-valley/,"Contemporaneous reporting places flood response/river threat in or around this district, but evidence is less explicit than primary tier.",,news_used_for_geography_only; do not use article itself in coverage outcome validation,"dedupe on event_id + canonical(state,district); retain all source provenance",exhaustive_followup
2015,E001,2015-0107-IND,Jammu and Kashmir,2015-03-20,2015-03-31,Baramulla,same_event_period_broad,secondary_geographic_proxy,official_quoted_media,Contemporaneous Kashmir flood reporting,https://indianexpress.com/article/india/india-others/flood-alert-sounded-in-kashmir-valley/,"Contemporaneous reporting places flood response/river threat in or around this district, but evidence is less explicit than primary tier.",,news_used_for_geography_only; do not use article itself in coverage outcome validation,"dedupe on event_id + canonical(state,district); retain all source provenance",exhaustive_followup
2015,E001,2015-0107-IND,Jammu and Kashmir,2015-03-20,2015-03-31,Budgam,same_event_period,direct_disaster_impact,humanitarian,ACT Alliance / ReliefWeb Kashmir Floods and Landslides Alert (2015),https://reliefweb.int/attachments/26a2fda2-b1c4-3df7-8dd0-a1c05e31ec13/Alert_09_2015_Kashmir_Floods_Landslides.pdf,Same late-March 2015 Kashmir flood/landslide episode; district-level inundation/evacuation or severe rain impacts reported.,,none,"dedupe on event_id + canonical(state,district); retain all source provenance",exhaustive_followup
2015,E001,2015-0107-IND,Jammu and Kashmir,2015-03-20,2015-03-31,Ganderbal,same_event_period_broad,secondary_geographic_proxy,official_quoted_media,Contemporaneous Kashmir flood reporting,https://indianexpress.com/article/india/india-others/flood-alert-sounded-in-kashmir-valley/,"Contemporaneous reporting places flood response/river threat in or around this district, but evidence is less explicit than primary tier.",,news_used_for_geography_only; do not use article itself in coverage outcome validation,"dedupe on event_id + canonical(state,district); retain all source provenance",exhaustive_followup
2015,E001,2015-0107-IND,Jammu and Kashmir,2015-03-20,2015-03-31,Pulwama,same_event_period_broad,secondary_geographic_proxy,official_quoted_media,Contemporaneous Kashmir flood reporting,https://indianexpress.com/article/india/india-others/flood-alert-sounded-in-kashmir-valley/,"Contemporaneous reporting places flood response/river threat in or around this district, but evidence is less explicit than primary tier.",,news_used_for_geography_only; do not use article itself in coverage outcome validation,"dedupe on event_id + canonical(state,district); retain all source provenance",exhaustive_followup
2015,E001,2015-0107-IND,Jammu and Kashmir,2015-03-20,2015-03-31,Shopian,same_event_period,direct_disaster_impact,humanitarian,ACT Alliance / ReliefWeb Kashmir Floods and Landslides Alert (2015),https://reliefweb.int/attachments/26a2fda2-b1c4-3df7-8dd0-a1c05e31ec13/Alert_09_2015_Kashmir_Floods_Landslides.pdf,Same late-March 2015 Kashmir flood/landslide episode; district-level inundation/evacuation or severe rain impacts reported.,,none,"dedupe on event_id + canonical(state,district); retain all source provenance",exhaustive_followup
2015,E001,2015-0107-IND,Jammu and Kashmir,2015-03-20,2015-03-31,Srinagar,same_event_period,direct_disaster_impact,humanitarian,ACT Alliance / ReliefWeb Kashmir Floods and Landslides Alert (2015),https://reliefweb.int/attachments/26a2fda2-b1c4-3df7-8dd0-a1c05e31ec13/Alert_09_2015_Kashmir_Floods_Landslides.pdf,Same late-March 2015 Kashmir flood/landslide episode; district-level inundation/evacuation or severe rain impacts reported.,,none,"dedupe on event_id + canonical(state,district); retain all source provenance",exhaustive_followup
2015,E004,2015-0249-IND,Maharashtra,2015-06-19,2015-06-20,Mumbai City,exact_event_dates,direct_disaster_impact,official_quoted_media,"Mumbai heavy rain and waterlogging, 19 June 2015",https://indianexpress.com/article/cities/mumbai/mumbai-60-mm-rain-lashes-city-commuters-bear-brunt/,Direct waterlogging/flooded streets and transport disruption during the two-day EM-DAT event.,,news_used_for_geography_only; do not use article itself in coverage outcome validation,"dedupe on event_id + canonical(state,district); retain all source provenance",exhaustive_followup
2015,E004,2015-0249-IND,Maharashtra,2015-06-19,2015-06-20,Mumbai Suburban,exact_event_dates,direct_disaster_impact,official_quoted_media,"Mumbai heavy rain and waterlogging, 19 June 2015",https://indianexpress.com/article/cities/mumbai/mumbai-60-mm-rain-lashes-city-commuters-bear-brunt/,Direct waterlogging/flooded streets and transport disruption during the two-day EM-DAT event.,,news_used_for_geography_only; do not use article itself in coverage outcome validation,"dedupe on event_id + canonical(state,district); retain all source provenance",exhaustive_followup
2015,E004,2015-0249-IND,Maharashtra,2015-06-19,2015-06-20,Palghar,same_event_period_broad,rainfall_proxy,secondary_media,Mumbai-Konkan rain episode,https://indianexpress.com/article/cities/mumbai/live-heavy-rain-throws-mumbai-out-of-gear-schools-shut-train-lines-affected/,Coastal Maharashtra same rain episode; district-specific flood impact less explicit.,,news_used_for_geography_only; do not use article itself in coverage outcome validation,"dedupe on event_id + canonical(state,district); retain all source provenance",exhaustive_followup
2015,E004,2015-0249-IND,Maharashtra,2015-06-19,2015-06-20,Thane,exact_event_dates,direct_disaster_impact,official_quoted_media,"Thane reels under heavy rains, 19 June 2015",https://timesofindia.indiatimes.com/city/thane/thane-reels-under-heavy-rains/articleshow/47730846.cms,District/city administration response during same event dates; heavy rain/flooding impacts.,,news_used_for_geography_only; do not use article itself in coverage outcome validation,"dedupe on event_id + canonical(state,district); retain all source provenance",exhaustive_followup
2015,E008,2015-0333-IND,Himachal Pradesh,2015-07-07,2015-07-13,Kullu,exact_event_dates,rain_landslide_proxy,official_quoted_media,"Rain-triggered landslides in Kullu/Manali and Mandi, 7 July 2015",https://timesofindia.indiatimes.com/india/rain-triggers-landslides-in-manali-1-killed/articleshow/47966295.cms,Direct heavy-rain/landslide impact during event window; retained only in maximal tier because flood inundation is not explicitly established.,,news_used_for_geography_only; do not use article itself in coverage outcome validation,"dedupe on event_id + canonical(state,district); retain all source provenance",exhaustive_followup
2015,E008,2015-0333-IND,Himachal Pradesh,2015-07-07,2015-07-13,Mandi,exact_event_dates,rain_landslide_proxy,official_quoted_media,"Rain-triggered landslides in Kullu/Manali and Mandi, 7 July 2015",https://timesofindia.indiatimes.com/india/rain-triggers-landslides-in-manali-1-killed/articleshow/47966295.cms,Direct heavy-rain/landslide impact during event window; retained only in maximal tier because flood inundation is not explicitly established.,,news_used_for_geography_only; do not use article itself in coverage outcome validation,"dedupe on event_id + canonical(state,district); retain all source provenance",exhaustive_followup
2015,E009,2015-0333-IND,Jammu and Kashmir,2015-07-07,2015-07-13,Anantnag,exact_event_dates,direct_disaster_impact,official_government,"MHA Daily Monsoon/Flood Situation Report, 15 July 2015",https://ndmindia.mha.gov.in/ndmi/viewUploadedDocument?uid=NEW874,"MHA records a 12 July cloudburst at Adu/Pahalgam, district Anantnag, with fatalities/missing persons.",,none,"dedupe on event_id + canonical(state,district); retain all source provenance",exhaustive_followup
2015,E010,2015-0333-IND,Punjab,2015-07-07,2015-07-13,Barnala,exact_event_dates,direct_disaster_impact,official_quoted_media,"Overflowing drain inundates 2,000 acres, Barnala, 13 July 2015",https://timesofindia.indiatimes.com/city/chandigarh/overflowing-drain-inundates-2000-acres/articleshow/48046851.cms,Drain overflow directly submerged crops in three villages in Barnala district during event window.,,news_used_for_geography_only; do not use article itself in coverage outcome validation,"dedupe on event_id + canonical(state,district); retain all source provenance",exhaustive_followup
2015,E012,2015-0333-IND,Uttar Pradesh,2015-07-07,2015-07-13,Barabanki,exact_event_dates,direct_disaster_impact,official_government,"MHA/CWC Daily Monsoon-Flood Situation Report, 12 July 2015",https://ndmindia.mha.gov.in/ndmi/viewUploadedDocument?uid=NEW873,"CWC records Ghagra at Elginbridge, Barabanki above danger level in moderate flood situation.",,none,"dedupe on event_id + canonical(state,district); retain all source provenance",exhaustive_followup
2015,E013,2015-0333-IND,Uttarakhand,2015-07-07,2015-07-13,Nainital,exact_event_dates,direct_disaster_impact,official_quoted_media,"Nainital heavy rain and inundation, 7 July 2015",https://timesofindia.indiatimes.com/city/dehradun/nainital-has-british-era-drainage-system-to-thank-for-in-monsoon/articleshow/47977829.cms,Lower Mall Road submerged after extreme rain; direct local inundation during event window.,,news_used_for_geography_only; do not use article itself in coverage outcome validation,"dedupe on event_id + canonical(state,district); retain all source provenance",exhaustive_followup
2015,E014,2015-0413-IND,Arunachal Pradesh,2015-07-14,2015-07-16,East Kameng,exact_event_dates,rain_landslide_proxy,official_quoted_media,"District administration report on Seppa landslide, 15 July 2015",https://timesofindia.indiatimes.com/india/3-killed-in-landslide-in-arunachal-pradesh/articleshow/48086216.cms,"District administration reported rain-triggered landslides and damage in Seppa, East Kameng during the event.",,news_used_for_geography_only; do not use article itself in coverage outcome validation,"dedupe on event_id + canonical(state,district); retain all source provenance",exhaustive_followup
2015,E016,,Assam,,,Baksa,seasonal_or_cumulative,seasonal_cumulative,official_government,"Government of India MHA/NERC Monsoon-Flood Situation Report, 1 Sep 2015",https://ndmindia.mha.gov.in/ndmi/viewUploadedDocument?uid=NEW859,Official cumulative affected-district list close to the event period; may include continuing monsoon impacts.,,none,"dedupe on event_id + canonical(state,district); preserve original source name",prior_research_pass
2015,E016,,Assam,,,Barpeta,seasonal_or_cumulative,seasonal_cumulative,official_government,"Government of India MHA/NERC Monsoon-Flood Situation Report, 1 Sep 2015",https://ndmindia.mha.gov.in/ndmi/viewUploadedDocument?uid=NEW859,Official cumulative affected-district list close to the event period; may include continuing monsoon impacts.,,none,"dedupe on event_id + canonical(state,district); preserve original source name",prior_research_pass
2015,E016,,Assam,,,Bongaigaon,seasonal_or_cumulative,seasonal_cumulative,official_government,"Government of India MHA/NERC Monsoon-Flood Situation Report, 1 Sep 2015",https://ndmindia.mha.gov.in/ndmi/viewUploadedDocument?uid=NEW859,Official cumulative affected-district list close to the event period; may include continuing monsoon impacts.,,none,"dedupe on event_id + canonical(state,district); preserve original source name",prior_research_pass
2015,E016,,Assam,,,Cachar,seasonal_or_cumulative,seasonal_cumulative,official_government,"Government of India MHA/NERC Monsoon-Flood Situation Report, 1 Sep 2015",https://ndmindia.mha.gov.in/ndmi/viewUploadedDocument?uid=NEW859,Official cumulative affected-district list close to the event period; may include continuing monsoon impacts.,,none,"dedupe on event_id + canonical(state,district); preserve original source name",prior_research_pass
2015,E016,,Assam,,,Darrang,seasonal_or_cumulative,seasonal_cumulative,official_government,"Government of India MHA/NERC Monsoon-Flood Situation Report, 1 Sep 2015",https://ndmindia.mha.gov.in/ndmi/viewUploadedDocument?uid=NEW859,Official cumulative affected-district list close to the event period; may include continuing monsoon impacts.,,none,"dedupe on event_id + canonical(state,district); preserve original source name",prior_research_pass
2015,E016,,Assam,,,Dhemaji,seasonal_or_cumulative,seasonal_cumulative,official_government,"Government of India MHA/NERC Monsoon-Flood Situation Report, 1 Sep 2015",https://ndmindia.mha.gov.in/ndmi/viewUploadedDocument?uid=NEW859,Official cumulative affected-district list close to the event period; may include continuing monsoon impacts.,,none,"dedupe on event_id + canonical(state,district); preserve original source name",prior_research_pass
2015,E016,,Assam,,,Dibrugarh,seasonal_or_cumulative,seasonal_cumulative,official_government,"Government of India MHA/NERC Monsoon-Flood Situation Report, 1 Sep 2015",https://ndmindia.mha.gov.in/ndmi/viewUploadedDocument?uid=NEW859,Official cumulative affected-district list close to the event period; may include continuing monsoon impacts.,,none,"dedupe on event_id + canonical(state,district); preserve original source name",prior_research_pass
2015,E016,,Assam,,,Goalpara,seasonal_or_cumulative,seasonal_cumulative,official_government,"Government of India MHA/NERC Monsoon-Flood Situation Report, 1 Sep 2015",https://ndmindia.mha.gov.in/ndmi/viewUploadedDocument?uid=NEW859,Official cumulative affected-district list close to the event period; may include continuing monsoon impacts.,,none,"dedupe on event_id + canonical(state,district); preserve original source name",prior_research_pass
2015,E016,,Assam,,,Jorhat,seasonal_or_cumulative,seasonal_cumulative,official_government,"Government of India MHA/NERC Monsoon-Flood Situation Report, 1 Sep 2015",https://ndmindia.mha.gov.in/ndmi/viewUploadedDocument?uid=NEW859,Official cumulative affected-district list close to the event period; may include continuing monsoon impacts.,,none,"dedupe on event_id + canonical(state,district); preserve original source name",prior_research_pass
2015,E016,,Assam,,,Kamrup,seasonal_or_cumulative,seasonal_cumulative,official_government,"Government of India MHA/NERC Monsoon-Flood Situation Report, 1 Sep 2015",https://ndmindia.mha.gov.in/ndmi/viewUploadedDocument?uid=NEW859,Official cumulative affected-district list close to the event period; may include continuing monsoon impacts.,,none,"dedupe on event_id + canonical(state,district); preserve original source name",prior_research_pass
