Rank,State/UT,Population (2025),Population (2026),Growth (2026) Absolute,Growth (2026) %,Share (%) 2026,Country,W rank
1,Uttar Pradesh,"241,265,000","243,466,000","2,201,000",0.91,17.03,Nigeria,6
2,Bihar,"131,041,000","132,850,000","1,809,000",1.38,9.29,Mexico,12
3,Maharashtra,"128,659,000","129,584,000","925,000",0.72,9.07,Mexico,12
4,West Bengal,"100,202,000","100,631,000","429,000",0.43,7.04,Viet Nam,17
5,Madhya Pradesh,"88,985,000","89,965,000","980,000",1.10,6.29,Türkiye,18
6,Rajasthan,"83,060,000","83,879,000","819,000",0.99,5.87,Germany,19
7,Tamil Nadu,"77,394,000","77,582,000","188,000",0.24,5.43,United Republic of Tanzania,20
8,Gujarat,"73,513,000","74,343,000","830,000",1.13,5.20,United Republic of Tanzania,20
9,Karnataka,"68,679,000","69,074,000","395,000",0.58,4.83,United Kingdom,23
10,Andhra Pradesh,"53,586,000","53,740,000","154,000",0.29,3.76,Colombia,29
11,Odisha,"46,953,000","47,221,000","268,000",0.57,3.30,Spain,35
12,Jharkhand,"40,626,000","41,108,000","482,000",1.19,2.88,Canada,38
13,Telangana,"38,499,000","38,665,000","166,000",0.43,2.70,Morocco,42
14,Assam,"36,493,000","36,815,000","322,000",0.88,2.58,Mozambique,44
15,Kerala,"36,111,000","36,239,000","128,000",0.35,2.54,Malaysia,46
16,Haryana,"31,057,000","31,409,000","352,000",1.13,2.20,Cameroon,51
17,Punjab,"31,188,000","31,370,000","182,000",0.58,2.19,Cameroon,51
18,Chhattisgarh,"30,982,000","31,311,000","329,000",1.06,2.19,Cameroon,51
UT1,Delhi,"22,277,000","22,674,000","397,000",1.78,1.59,Malawi,63
UT2,Jammu & Kashmir,"13,831,000","13,927,000","96,000",0.69,0.97,Burundi,79
19,Uttarakhand,"11,913,000","12,028,000","115,000",0.97,0.84,Haiti,83
20,Himachal Pradesh,"7,555,000","7,588,000","33,000",0.44,0.53,Libya,105
21,Tripura,"4,232,000","4,268,000","36,000",0.85,0.30,Panama,130
22,Meghalaya,"3,417,000","3,447,000","30,000",0.88,0.24,Uruguay,134
23,Manipur,"3,289,000","3,318,000","29,000",0.88,0.23,Uruguay,135
24,Nagaland,"2,279,000","2,299,000","20,000",0.88,0.16,Guinea-Bissau,148
UT3,Puducherry,"1,732,000","1,771,000","39,000",2.25,0.12,North Macedonia,153
25,Arunachal Pradesh,"1,594,000","1,608,000","14,000",0.88,0.11,"Kosovo (under UNSC res. 1244)",155
26,Goa,"1,593,000","1,601,000","8,000",0.50,0.11,"Kosovo (under UNSC res. 1244)",155
UT4,Dadra & Nagar Haveli and Daman & Diu,"1,479,000","1,593,000","114,000",7.71,0.11,"Kosovo (under UNSC res. 1244)",155
27,Mizoram,"1,264,000","1,275,000","11,000",0.87,0.09,Eswatini,159
UT5,Chandigarh,"1,259,000","1,270,000","11,000",0.87,0.09,Eswatini,159
28,Sikkim,"703,000","709,000","6,000",0.85,0.05,"China, Macao SAR",169
UT6,Andaman and Nicobar Islands,"405,000","406,000","1,000",0.25,0.03,Bahamas,178
UT7,Ladakh,"304,000","306,000","2,000",0.66,0.02,New Caledonia,185
UT8,Lakshadweep,"69,000","70,000","1,000",1.45,0.00,Dominica,206
