state,area_km2,source
Rajasthan,342239,Survey of India state area table (see data/README.md)
Madhya Pradesh,308252,Survey of India state area table (see data/README.md)
Maharashtra,307713,Survey of India state area table (see data/README.md)
Uttar Pradesh,240928,Survey of India state area table (see data/README.md)
Gujarat,196024,Survey of India state area table (see data/README.md)
Karnataka,191791,Survey of India state area table (see data/README.md)
Andhra Pradesh,162975,Survey of India state area table (see data/README.md)
Odisha,155707,Survey of India state area table (see data/README.md)
Chhattisgarh,135192,Survey of India state area table (see data/README.md)
Tamil Nadu,130058,Survey of India state area table (see data/README.md)
Telangana,112077,Survey of India state area table (see data/README.md)
Bihar,94163,Survey of India state area table (see data/README.md)
West Bengal,88752,Survey of India state area table (see data/README.md)
Arunachal Pradesh,83743,Survey of India state area table (see data/README.md)
Jharkhand,79716,Survey of India state area table (see data/README.md)
Assam,78438,Survey of India state area table (see data/README.md)
Himachal Pradesh,55673,Survey of India state area table (see data/README.md)
Uttarakhand,53483,Survey of India state area table (see data/README.md)
Punjab,50362,Survey of India state area table (see data/README.md)
Haryana,44212,Survey of India state area table (see data/README.md)
Kerala,38852,Survey of India state area table (see data/README.md)
Meghalaya,22429,Survey of India state area table (see data/README.md)
Manipur,22327,Survey of India state area table (see data/README.md)
Mizoram,21081,Survey of India state area table (see data/README.md)
Nagaland,16579,Survey of India state area table (see data/README.md)
Tripura,10486,Survey of India state area table (see data/README.md)
Sikkim,7096,Survey of India state area table (see data/README.md)
Goa,3702,Survey of India state area table (see data/README.md)
Jammu and Kashmir,42241,Survey of India state area table (see data/README.md)
Ladakh,59146,Survey of India state area table (see data/README.md)
Delhi,1484,Survey of India state area table (see data/README.md)
Puducherry,479,Survey of India state area table (see data/README.md)
Chandigarh,114,Survey of India state area table (see data/README.md)
Dadra & Nagar Haveli and Daman & Diu,603,Survey of India state area table (see data/README.md)
Andaman & Nicobar Islands,8249,Survey of India state area table (see data/README.md)
Lakshadweep,32,Survey of India state area table (see data/README.md)
