model,term,se_type,coefficient,standard_error,p_value,ci_low,ci_high,irr,irr_ci_low,irr_ci_high,irr_10pp,irr_10pp_ci_low,irr_10pp_ci_high,n,alpha
model_1,Intercept,ordinary,3.7121153234130517,0.14256584694307292,1.8445513242870152e-149,3.432691397979179,3.9915392488469243,40.940317007012766,30.95985601335175,54.138157358091696,,,,1069,4.138619889841317
model_1,log_flood_area,ordinary,-0.06901792525114822,0.031050517023826586,0.026231818096715726,-0.12987582031919614,-0.008160030183100284,0.9333099501130031,0.8782044793015448,0.9918731724902101,,,,1069,4.138619889841317
model_1,Intercept,state_clustered,3.7121153234130517,0.520507296259369,9.250552969553527e-08,2.6459044603988264,4.778326186427277,40.940317007012766,14.096188763689602,118.90515831855147,,,,1069,4.138619889841317
model_1,log_flood_area,state_clustered,-0.06901792525114822,0.11330994940986935,0.5473640743443197,-0.30112283485878255,0.1630869843564861,0.9333099501130031,0.7399868709810713,1.1771390779205029,,,,1069,4.138619889841317
model_2,Intercept,ordinary,3.344751506669594,0.1965958756993225,6.540618239116847e-65,2.959430670789809,3.730072342549379,28.353529128299066,19.28698798347272,41.682123446035,,,,1069,4.115153509917125
model_2,log_flood_area,ordinary,-0.02185904384944239,0.035660270764885524,0.5398893587334682,-0.09175189022756462,0.04803380252867985,0.9783781337476698,0.9123314798223969,1.049206120545041,,,,1069,4.115153509917125
model_2,urban_population_share,ordinary,0.7066378944586589,0.28446032091308016,0.012986649401052961,0.14910591043831578,1.2641698784790019,2.0271642483604744,1.1607959231039904,3.540152759015802,1.0732203372001892,1.0150223084734853,1.1347552487908454,1069,4.115153509917125
model_2,Intercept,state_clustered,3.344751506669594,0.674121286842206,3.079989924277144e-05,1.9638766482658179,4.72562636507337,28.353529128299066,7.126902073883109,112.80113093953099,,,,1069,4.115153509917125
model_2,log_flood_area,state_clustered,-0.02185904384944239,0.13274890358669753,0.8703909992931312,-0.29378284602192206,0.2500647583230373,0.9783781337476698,0.7454383487715188,1.284108570712892,,,,1069,4.115153509917125
model_2,urban_population_share,state_clustered,0.7066378944586589,0.40791071474121754,0.09421783761596969,-0.12892932683205427,1.542205115749372,2.0271642483604744,0.879036087615426,4.6748875816674405,1.0732203372001892,0.9871898251279518,1.1667481398836341,1069,4.115153509917125
model_3,Intercept,ordinary,3.1197940066103396,0.325171399137405,8.448347416182661e-22,2.4824697754985268,3.7571182377221524,22.641715119116217,11.970793109739702,42.824836987460316,,,,1069,3.7655166745819533
model_3,C(year)[T.2016],ordinary,0.269781631437226,0.39417909514259797,0.4937138737744752,-0.5027951985008534,1.0423584613753054,1.309678426909298,0.6048376533685875,2.835897488125358,,,,1069,3.7655166745819533
model_3,C(year)[T.2017],ordinary,0.20522937468883537,0.30863039600808984,0.506070882915654,-0.39967508602135515,0.810133835399026,1.2278066604371938,0.6705378777751344,2.248208856471907,,,,1069,3.7655166745819533
model_3,C(year)[T.2018],ordinary,0.5790606023823234,0.3150510643591896,0.0660639272318227,-0.038428137052698874,1.1965493418173456,1.7843614183172158,0.9623008560307847,3.308680077779302,,,,1069,3.7655166745819533
model_3,C(year)[T.2019],ordinary,0.23810178429244566,0.292913673718603,0.4162905480622541,-0.33599846677533274,0.8122020353602241,1.2688383340645852,0.7146242014946709,2.2528634135598855,,,,1069,3.7655166745819533
model_3,C(year)[T.2020],ordinary,-2.017536936170878,0.31042070990370496,8.066071497345961e-11,-2.6259503476374957,-1.4091235247042602,0.13298260667782538,0.07237094678430132,0.24435736251367238,,,,1069,3.7655166745819533
model_3,C(year)[T.2021],ordinary,-0.5667303000598729,0.32181887045710705,0.07823457998655715,-1.1974836957011639,0.06402309558141817,0.5673775634886704,0.30195306255157767,1.0661170210696322,,,,1069,3.7655166745819533
model_3,C(year)[T.2022],ordinary,0.1655857650142208,0.38617362614071343,0.668079117858108,-0.5913006340008131,0.9224721640292546,1.1800841683149255,0.5536067764807399,2.5155014415831993,,,,1069,3.7655166745819533
model_3,C(year)[T.2023],ordinary,-0.259287032763027,0.3254579149535566,0.42563472273672687,-0.8971728245554978,0.37859875902944384,0.7716015163401928,0.40772072987100016,1.4602370112671363,,,,1069,3.7655166745819533
model_3,C(year)[T.2024],ordinary,0.15139236472993886,0.3300704171863777,0.6464734093790194,-0.49553376531747184,0.7983184947773496,1.163453066484913,0.6092456263070328,2.2218018143489817,,,,1069,3.7655166745819533
model_3,C(year)[T.2025],ordinary,0.22946623003096356,0.3499716765983079,0.5120359222208517,-0.4564656517108192,0.9153981117727463,1.2579283863033557,0.6335187693057062,2.497769445413512,,,,1069,3.7655166745819533
model_3,log_flood_area,ordinary,0.008524976844031527,0.03879361993229748,0.8260642786036678,-0.0675091210532067,0.08455907474126975,1.0085614179386824,0.9347191949536356,1.0882371296600377,,,,1069,3.7655166745819533
model_3,urban_population_share,ordinary,0.9327008453376461,0.2805910514103913,0.0008871783776611239,0.38275249018905233,1.48264920048624,2.541363747312988,1.4663150577879085,4.4045989037990845,1.097758182740313,1.0390171819830536,1.1598201152682854,1069,3.7655166745819533
model_3,Intercept,state_clustered,3.1197940066103396,0.5178519036217741,1.7134160489103459e-06,2.0590224688392342,4.1805655443814445,22.641715119116217,7.838303877796836,65.40283096032617,,,,1069,3.7655166745819533
model_3,C(year)[T.2016],state_clustered,0.269781631437226,0.4363402353978999,0.5413861987863157,-0.6240208230044507,1.1635840858789028,1.309678426909298,0.5357858008811811,3.2013867838427443,,,,1069,3.7655166745819533
model_3,C(year)[T.2017],state_clustered,0.20522937468883537,0.3949760291678366,0.6074263086813224,-0.6038423442964882,1.014301093674159,1.2278066604371938,0.5467069588708818,2.7574355346187747,,,,1069,3.7655166745819533
model_3,C(year)[T.2018],state_clustered,0.5790606023823234,0.828328994125566,0.49027452629957813,-1.117694424940558,2.2758156297052046,1.7843614183172158,0.3270329250456652,9.735856628914153,,,,1069,3.7655166745819533
model_3,C(year)[T.2019],state_clustered,0.23810178429244566,0.3689009315807508,0.5238992668706078,-0.5175575185724836,0.9937610871573749,1.2688383340645852,0.5959744281818096,2.7013754984478227,,,,1069,3.7655166745819533
model_3,C(year)[T.2020],state_clustered,-2.017536936170878,0.5228209845936476,0.0006125779003746318,-3.0884871748929275,-0.9465866974488282,0.13298260667782538,0.045570842998724694,0.38806334303107176,,,,1069,3.7655166745819533
model_3,C(year)[T.2021],state_clustered,-0.5667303000598729,0.5377674378407344,0.30095769752804835,-1.668296960357764,0.5348363602380182,0.5673775634886704,0.1885679309997273,1.7071688586900062,,,,1069,3.7655166745819533
model_3,C(year)[T.2022],state_clustered,0.1655857650142208,0.42078852003154754,0.6969211822158199,-0.6963604446038529,1.0275319746322944,1.1800841683149255,0.4983959464819561,2.794161257003615,,,,1069,3.7655166745819533
model_3,C(year)[T.2023],state_clustered,-0.259287032763027,0.5119380913059585,0.6164840466504149,-1.3079446751511787,0.7893706096251247,0.7716015163401928,0.27037519455049275,2.202010066079857,,,,1069,3.7655166745819533
model_3,C(year)[T.2024],state_clustered,0.15139236472993886,0.370848843676322,0.6862084779688845,-0.6082570551831475,0.9110417846430253,1.163453066484913,0.5442987254462063,2.4869120110532528,,,,1069,3.7655166745819533
model_3,C(year)[T.2025],state_clustered,0.22946623003096356,0.466332053574796,0.6265085380156385,-0.7257716789596916,1.1847041390216186,1.2579283863033557,0.48395097004358717,3.2697192959965475,,,,1069,3.7655166745819533
model_3,log_flood_area,state_clustered,0.008524976844031527,0.09333859868277664,0.9278775895774949,-0.18267047530292843,0.1997204289909915,1.0085614179386824,0.8330426186300083,1.221061337086606,,,,1069,3.7655166745819533
model_3,urban_population_share,state_clustered,0.9327008453376461,0.4646188555438324,0.05444069909813731,-0.019027736571073706,1.8844294272463658,2.541363747312988,0.9811521480691048,6.582597519525405,1.097758182740313,0.9980990354690533,1.207368191881875,1069,3.7655166745819533
model_2_by_source_S1,Intercept,ordinary,3.344751506669594,0.1965958756993225,6.540618239116847e-65,2.959430670789809,3.730072342549379,28.353529128299066,19.28698798347272,41.682123446035,,,,1069,4.115153509917125
model_2_by_source_S1,log_flood_area,ordinary,-0.02185904384944239,0.035660270764885524,0.5398893587334682,-0.09175189022756462,0.04803380252867985,0.9783781337476698,0.9123314798223969,1.049206120545041,,,,1069,4.115153509917125
model_2_by_source_S1,urban_population_share,ordinary,0.7066378944586589,0.28446032091308016,0.012986649401052961,0.14910591043831578,1.2641698784790019,2.0271642483604744,1.1607959231039904,3.540152759015802,1.0732203372001892,1.0150223084734853,1.1347552487908454,1069,4.115153509917125
model_2_by_source_S1,Intercept,state_clustered,3.344751506669594,0.674121286842206,3.079989924277144e-05,1.9638766482658179,4.72562636507337,28.353529128299066,7.126902073883109,112.80113093953099,,,,1069,4.115153509917125
model_2_by_source_S1,log_flood_area,state_clustered,-0.02185904384944239,0.13274890358669753,0.8703909992931312,-0.29378284602192206,0.2500647583230373,0.9783781337476698,0.7454383487715188,1.284108570712892,,,,1069,4.115153509917125
model_2_by_source_S1,urban_population_share,state_clustered,0.7066378944586589,0.40791071474121754,0.09421783761596969,-0.12892932683205427,1.542205115749372,2.0271642483604744,0.879036087615426,4.6748875816674405,1.0732203372001892,0.9871898251279518,1.1667481398836341,1069,4.115153509917125
source_event_robustness,Intercept,ordinary,3.725958916072795,0.8169971258301506,5.1019016543239525e-06,2.124673973972961,5.327243858172629,41.511019249379025,8.370168150566123,205.8697851853513,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2015-0317-IND],ordinary,-3.811003156994871,0.8968907751397343,2.1460485833218275e-05,-5.568876774334962,-2.0531295396547797,0.02212597199678895,0.0038147628666297217,0.12833265236095934,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2015-0333-IND],ordinary,-2.7178100868011428,1.4275051888546932,0.05692476427060519,-5.515668844700389,0.08004867109810432,0.06601917249439374,0.004023235518600327,1.0833397937292115,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2015-0374-IND],ordinary,-0.6940937871204478,0.9519324809294142,0.46591491203899826,-2.5598471654559614,1.1716595912150658,0.4995269206650756,0.07731655618096087,3.2273442687373417,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2015-0406-IND],ordinary,-1.0306858013758828,0.9031623805819068,0.2537881357661709,-2.8008515395078777,0.739479936756112,0.356762208639587,0.06075830249544149,2.094845778862002,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2015-0504-IND],ordinary,-0.20804188494346837,1.0040168424588152,0.8358462040369304,-2.175878736034371,1.7597949661474346,0.8121730181785589,0.11350836594229241,5.811245770136651,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2016-0139-IND],ordinary,-1.9147840880659714,1.0422824630239373,0.0661941464174554,-3.9576201773105892,0.12805200117864635,0.14737364888083418,0.019108535148890042,1.1366121063295105,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2016-0239-IND],ordinary,-0.559158000272663,0.9376571009502017,0.5509512736996003,-2.3969321479832963,1.27861614743797,0.5716902242648705,0.09099668988806503,3.5916659487510016,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2016-0267-IND],ordinary,-0.07344221482458659,0.9532587043649506,0.9385890834645738,-1.9417949433292045,1.7949105136800314,0.9291898376379683,0.14344624068746634,6.018936085266912,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2016-0271-IND],ordinary,-2.920725428751681,0.9221906427497657,0.0015393553347644825,-4.728185875421065,-1.1132649820822966,0.05389457644069039,0.008842497890741896,0.328484711629116,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2016-0554-IND],ordinary,0.4935480608203528,1.390883281927542,0.7227056695764601,-2.2325330784565,3.2196292000972058,1.6381180637426542,0.10725639687221454,25.01884147718506,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2017-0180-IND],ordinary,-2.680468049563492,0.86223319590957,0.0018788017657708433,-4.370414059821118,-0.9905220393058658,0.06853107070881143,0.012646003281948487,0.37138276400735487,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2017-0289-IND],ordinary,-1.0744220794828379,0.8761771651657392,0.2201003898332312,-2.791697767284089,0.6428536083184133,0.3414950552826058,0.061317023458067436,1.9019004218660678,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2017-0290-IND],ordinary,-1.8514081376372662,1.1403337607451496,0.10446827665436113,-4.086421239052875,0.3836049637783421,0.15701591055760286,0.016799246596030704,1.4675655855934828,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2017-0294-IND],ordinary,-6.558974154387873,1.4222647104259065,3.995026576321774e-06,-9.346561763304939,-3.7713865454708073,0.0014173389357550463,8.726494140877462e-05,0.023020122701936006,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2017-0342-IND],ordinary,-0.4961888582836294,0.8498563923243824,0.5593210740146716,-2.1618767792705613,1.1694990627033026,0.6088466444819389,0.11510888421938364,3.2203790264391587,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2017-0364-IND],ordinary,0.7185355262771278,1.2331131221957583,0.5600949947755913,-1.6983217820902974,3.135392834644553,2.0514267491707425,0.18299036421491957,22.997668348649178,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2017-0517-IND],ordinary,-1.5429343495414183,0.8711198187788393,0.0765261275198121,-3.2502978205670017,0.16442912148416533,0.21375295439251496,0.03876266179456953,1.1787200206650823,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2018-0205-IND],ordinary,-0.9119387352984014,0.9877761682878864,0.35589044720994434,-2.847944449929634,1.0240669793328314,0.4017445921062089,0.05796334506086072,2.784496255644283,,,,1065,2.5916006204196327
