model,term,se_type,coefficient,standard_error,p_value,ci_low,ci_high,irr,irr_ci_low,irr_ci_high,irr_10pp,irr_10pp_ci_low,irr_10pp_ci_high,n,alpha
model_2,Intercept,ordinary,-0.46820386931171076,0.11524118163652226,4.848397158933844e-05,-0.694072434855133,-0.2423353037682885,0.6261258627962396,0.49953758681029026,0.7847929893836363,,,,1352,2.1244446809734314e-09
model_2,log_flood_area,ordinary,-0.22156624776168166,0.02403490776564622,3.012325889098141e-20,-0.2686738013540903,-0.174458694169273,0.8012628385200479,0.7643925588024375,0.8399115467568796,,,,1352,2.1244446809734314e-09
model_2,urban_population_share,ordinary,1.820496562488699,0.1496447097129347,4.747698232691875e-34,1.5271983209743958,2.1137948040030023,6.174923924312142,4.605256281216234,8.27960120842016,1.1996737636998223,1.1649985380188561,1.2353810690244853,1352,2.1244446809734314e-09
model_2,Intercept,state_clustered,-0.46820386931171076,0.9783457148777773,0.6358352398467939,-2.469145525633251,1.532737787009829,0.6261258627962396,0.0846571654830147,4.6308377303394535,,,,1352,2.1244446809734314e-09
model_2,log_flood_area,state_clustered,-0.22156624776168166,0.1613863489675099,0.1803094449933588,-0.5516383925056054,0.10850589698224211,0.8012628385200479,0.5760053140741621,1.1146114813630736,,,,1352,2.1244446809734314e-09
model_2,urban_population_share,state_clustered,1.820496562488699,1.1063222918543598,0.11065596159339829,-0.442186582564025,4.083179707541423,6.174923924312142,0.6426297207678646,59.3338344598848,1.1996737636998223,0.9567447344642509,1.5042854038968045,1352,2.1244446809734314e-09
model_3,Intercept,ordinary,-1.9848876236524586,0.5526296531366414,0.00032851034562958274,-3.068021840589138,-0.9017534067157791,0.13739605331607585,0.046513074187345085,0.40585740238967155,,,,1352,11.063774178205067
model_3,C(year)[T.2016],ordinary,0.5452636451238501,0.7521793069810983,0.468506149633077,-0.9289807064753998,2.0195079967231,1.7250631269099552,0.39495608144596794,7.5346169653333055,,,,1352,11.063774178205067
model_3,C(year)[T.2017],ordinary,0.49125433614462083,0.606283944972738,0.4177844031018302,-0.6970403604068094,1.6795490326960512,1.6343649778364313,0.49805719437631857,5.363136826330092,,,,1352,11.063774178205067
model_3,C(year)[T.2018],ordinary,1.8763801112792304,0.5730782401525235,0.0010595678434337252,0.7531674002566884,2.9995928223017723,6.529824789331154,2.123716033550763,20.077360205297172,,,,1352,11.063774178205067
model_3,C(year)[T.2019],ordinary,0.7301140235337054,0.5555835858450645,0.1887994526543233,-0.3588097951242384,1.819037842191649,2.075317229187687,0.6985071981919654,6.1659230039596755,,,,1352,11.063774178205067
model_3,C(year)[T.2020],ordinary,-0.7532469347581238,0.6111035563552885,0.21772461474322402,-1.9509878960388325,0.44449402652258485,0.47083529665193735,0.1421335889972866,1.5597008288980159,,,,1352,11.063774178205067
model_3,C(year)[T.2021],ordinary,0.6302304041532165,0.5877807150820223,0.2836211026190367,-0.5217986282147462,1.7822594365211792,1.8780432383812435,0.5934521876179231,5.943269700271616,,,,1352,11.063774178205067
model_3,C(year)[T.2022],ordinary,1.3363177847326682,0.6871470902750614,0.051807093160316633,-0.010465764287945323,2.6831013337532816,3.8050068239654866,0.9895888112655603,14.630396752271551,,,,1352,11.063774178205067
model_3,C(year)[T.2023],ordinary,1.6282583871017144,0.6047187439662471,0.0070899838554501285,0.4430314281515719,2.813485346051857,5.09499348057987,1.5574212804446956,16.667910534610925,,,,1352,11.063774178205067
model_3,C(year)[T.2024],ordinary,1.4633939150346162,0.6164610024428422,0.01760308437177941,0.25515255237318724,2.671635277696045,4.32059841664676,1.2906584988723824,14.463601870084068,,,,1352,11.063774178205067
model_3,C(year)[T.2025],ordinary,1.9826349640921492,0.6300655500814488,0.0016511738954168415,0.7477291780330919,3.2175407501512066,7.261852518265838,2.1121981406371884,24.96664540246941,,,,1352,11.063774178205067
model_3,log_flood_area,ordinary,-0.14912048575257214,0.06059075165067,0.013850801399931412,-0.26787617678409614,-0.03036479472104811,0.861465314349126,0.7650025003082873,0.9700915847040651,,,,1352,11.063774178205067
model_3,urban_population_share,ordinary,2.4621243059582776,0.5017093533311735,9.22581003110833e-07,1.478792042722297,3.445456569194258,11.729702569596585,4.387642393929856,31.357597091674066,1.2791712797984889,1.1593728406180368,1.4113485375326185,1352,11.063774178205067
model_3,Intercept,state_clustered,-1.9848876236524586,0.641008796560926,0.004316097592993302,-3.295897815246676,-0.6738774320582412,0.13739605331607585,0.03703477972648224,0.5097283042117087,,,,1352,11.063774178205067
model_3,C(year)[T.2016],state_clustered,0.5452636451238501,0.6396684898793918,0.40096849400848594,-0.763005311515745,1.8535326017634453,1.7250631269099552,0.4662630535547521,6.382325962000991,,,,1352,11.063774178205067
model_3,C(year)[T.2017],state_clustered,0.49125433614462083,0.7030482552432489,0.49027509577877376,-0.9466407953285503,1.929149467617792,1.6343649778364313,0.388042350194855,6.883652981271155,,,,1352,11.063774178205067
model_3,C(year)[T.2018],state_clustered,1.8763801112792304,0.7848254580830465,0.023523060838832505,0.2712318205074067,3.481528402051054,6.529824789331154,1.3115790860739285,32.50937151414771,,,,1352,11.063774178205067
model_3,C(year)[T.2019],state_clustered,0.7301140235337054,0.36957049054499924,0.05778777695816127,-0.025742498586450946,1.4859705456538617,2.075317229187687,0.9745860145769746,4.4192524183026745,,,,1352,11.063774178205067
model_3,C(year)[T.2020],state_clustered,-0.7532469347581238,0.6731815241289604,0.2723504128509484,-2.130057742442745,0.6235638729264975,0.47083529665193735,0.11883043209488263,1.8655648445030324,,,,1352,11.063774178205067
model_3,C(year)[T.2021],state_clustered,0.6302304041532165,0.5416758381391442,0.25411776752600834,-0.47762107643603735,1.7380818847424704,1.8780432383812435,0.6202571825205775,5.686425735364211,,,,1352,11.063774178205067
model_3,C(year)[T.2022],state_clustered,1.3363177847326682,0.69523156189042,0.06446469240177165,-0.08559041379183574,2.758225983257172,3.8050068239654866,0.9179701421406589,15.771838609763268,,,,1352,11.063774178205067
model_3,C(year)[T.2023],state_clustered,1.6282583871017144,0.5878877801087924,0.009684231752552877,0.42589287297561973,2.830623901227809,5.09499348057987,1.5309567595060505,16.95603641707477,,,,1352,11.063774178205067
model_3,C(year)[T.2024],state_clustered,1.4633939150346162,0.4848886384725121,0.005257394774825124,0.4716852984972667,2.4551025315719657,4.32059841664676,1.6026929344803684,11.647627737238988,,,,1352,11.063774178205067
model_3,C(year)[T.2025],state_clustered,1.9826349640921492,0.44002520344437535,9.993953647987588e-05,1.0826823747222396,2.882587553462059,7.261852518265838,2.9525888882190285,17.860428252459087,,,,1352,11.063774178205067
model_3,log_flood_area,state_clustered,-0.14912048575257214,0.10829095663516873,0.17903885366735325,-0.37060036023772636,0.07235938873258205,0.861465314349126,0.6903197656670215,1.0750416324955765,,,,1352,11.063774178205067
model_3,urban_population_share,state_clustered,2.4621243059582776,0.75426835470154,0.002814539125411361,0.9194723088000243,4.004776303116531,11.729702569596585,2.507966608783895,54.859551115760524,1.2791712797984889,1.0963069694003904,1.492537408529149,1352,11.063774178205067
model_2_by_source_S1,Intercept,ordinary,-0.46820386931171076,0.11524118163652226,4.848397158933844e-05,-0.694072434855133,-0.2423353037682885,0.6261258627962396,0.49953758681029026,0.7847929893836363,,,,1352,2.1244446809734314e-09
model_2_by_source_S1,log_flood_area,ordinary,-0.22156624776168166,0.02403490776564622,3.012325889098141e-20,-0.2686738013540903,-0.174458694169273,0.8012628385200479,0.7643925588024375,0.8399115467568796,,,,1352,2.1244446809734314e-09
model_2_by_source_S1,urban_population_share,ordinary,1.820496562488699,0.1496447097129347,4.747698232691875e-34,1.5271983209743958,2.1137948040030023,6.174923924312142,4.605256281216234,8.27960120842016,1.1996737636998223,1.1649985380188561,1.2353810690244853,1352,2.1244446809734314e-09
model_2_by_source_S1,Intercept,state_clustered,-0.46820386931171076,0.9783457148777773,0.6358352398467939,-2.469145525633251,1.532737787009829,0.6261258627962396,0.0846571654830147,4.6308377303394535,,,,1352,2.1244446809734314e-09
model_2_by_source_S1,log_flood_area,state_clustered,-0.22156624776168166,0.1613863489675099,0.1803094449933588,-0.5516383925056054,0.10850589698224211,0.8012628385200479,0.5760053140741621,1.1146114813630736,,,,1352,2.1244446809734314e-09
model_2_by_source_S1,urban_population_share,state_clustered,1.820496562488699,1.1063222918543598,0.11065596159339829,-0.442186582564025,4.083179707541423,6.174923924312142,0.6426297207678646,59.3338344598848,1.1996737636998223,0.9567447344642509,1.5042854038968045,1352,2.1244446809734314e-09
