model,fold_id,event_district_id,source_record_id,observed,expected,alpha,absolute_error,negative_log_probability,predictive_low_90,predictive_high_90,interval_covered,interval_width,observed_zero,predicted_zero_probability
nb2,0,E001::anantnag,2015-0107-IND,46.0,41.9261531140004,4.0601841763260484,4.0738468859996,5.727623631834658,0.0,204.0,1.0,204.0,0.0,0.2817626629555243
nb2,0,E001::budgam,2015-0107-IND,114.0,30.696781828782154,4.0601841763260484,83.30321817121785,6.9757794678544345,0.0,150.0,1.0,150.0,0.0,0.30408953725158716
nb2,0,E001::shopian,2015-0107-IND,3.0,26.37144965520036,4.0601841763260484,23.37144965520036,3.344767927949622,0.0,129.0,1.0,129.0,0.0,0.31557835705941234
nb2,0,E001::srinagar,2015-0107-IND,222.0,39.45976287125486,4.0601841763260484,182.54023712874513,8.009443631398526,0.0,192.0,0.0,192.0,0.0,0.2859759204445379
nb2,0,E028::tawang,2016-0139-IND,18.0,14.188008155397885,4.0601841763260484,3.8119918446021153,4.799887809336231,0.0,69.0,1.0,69.0,0.0,0.3669155967963983
nb2,0,E029::barpeta,2016-0139-IND,1.0,30.221728640687605,4.0601841763260484,29.221728640687605,2.595967417809221,0.0,147.0,1.0,147.0,0.0,0.3052504978596159
nb2,0,E029::dhubri,2016-0139-IND,1.0,34.673074353231975,4.0601841763260484,33.673074353231975,2.6285147453595945,0.0,169.0,1.0,169.0,0.0,0.2951687092946687
nb2,0,E029::jorhat,2016-0139-IND,27.0,26.297059757287883,4.0601841763260484,0.702940242712117,5.195707091139203,0.0,128.0,1.0,128.0,0.0,0.31579595834844265
nb2,0,E029::lakhimpur,2016-0139-IND,15.0,29.855012686043835,4.0601841763260484,14.855012686043835,4.657980093427818,0.0,146.0,1.0,146.0,0.0,0.3061622373538587
nb2,0,E030::mon,2016-0139-IND,3.0,27.09695164083802,4.0601841763260484,24.09695164083802,3.350647826436757,0.0,132.0,1.0,132.0,0.0,0.31349511890477094
nb2,0,E032::barpeta,2016-0239-IND,11.0,25.12588970898648,4.0601841763260484,14.125889708986481,4.368461762918815,0.0,123.0,1.0,123.0,0.0,0.3193253738007504
nb2,0,E032::bongaigaon,2016-0239-IND,1.0,22.27585697715962,4.0601841763260484,21.27585697715962,2.5244219534841874,0.0,109.0,1.0,109.0,0.0,0.3288354718787394
nb2,0,E032::dhemaji,2016-0239-IND,38.0,23.33735602500196,4.0601841763260484,14.66264397499804,5.570403024082613,0.0,114.0,1.0,114.0,0.0,0.32512659045222353
nb2,0,E032::dhubri,2016-0239-IND,6.0,30.23095981755466,4.0601841763260484,24.23095981755466,3.9053220179606836,0.0,147.0,1.0,147.0,0.0,0.3052277237471339
nb2,0,E032::goalpara,2016-0239-IND,1.0,24.810639581451518,4.0601841763260484,23.810639581451518,2.549571680053974,0.0,121.0,1.0,121.0,0.0,0.32031021475358235
nb2,0,E032::jorhat,2016-0239-IND,37.0,41.76890105786804,4.0601841763260484,4.768901057868042,5.5111948000647395,0.0,204.0,1.0,204.0,0.0,0.28202203072356424
nb2,0,E032::lakhimpur,2016-0239-IND,42.0,35.2148195549399,4.0601841763260484,6.785180445060099,5.6398526117317855,0.0,172.0,1.0,172.0,0.0,0.2940516328632084
nb2,0,E032::morigaon,2016-0239-IND,23.0,23.115944976621684,4.0601841763260484,0.11594497662168379,5.036077771711496,0.0,113.0,1.0,113.0,0.0,0.3258828071532092
nb2,0,E032::sonitpur,2016-0239-IND,25.0,29.08382581701351,4.0601841763260484,4.083825817013508,5.121685061664618,0.0,142.0,1.0,142.0,0.0,0.30812556382928463
nb2,0,E033::chamoli,2016-0239-IND,105.0,25.670462956183165,4.0601841763260484,79.32953704381683,6.961800325277542,0.0,125.0,1.0,125.0,0.0,0.3176595413675979
nb2,0,E033::pithoragarh,2016-0239-IND,107.0,31.594203324435167,4.0601841763260484,75.40579667556483,6.854977907922209,0.0,154.0,1.0,154.0,0.0,0.30195581634178653
nb2,0,E060::dakshina%20kannada,2018-0216-IND,63.0,41.81331793123646,4.0601841763260484,21.186682068763538,6.064019819405424,0.0,204.0,1.0,204.0,0.0,0.2819486481511923
nb2,0,E060::udupi,2018-0216-IND,47.0,33.16331035094861,4.0601841763260484,13.836689649051387,5.764752315742301,0.0,162.0,1.0,162.0,0.0,0.29839940012642596
