event_district_id,event_id,source_record_id,state,district,start_date,candidate_article_count,heuristic_pass_count,final_article_count,count_source,collection_status,query_collection_status,missing_text_count,weak_text_count
E001::district_missing,E001,2015-0107-IND,Jammu and Kashmir,district_missing,2015-03-20,0,0,,heuristic,missing,missing,0,0
E002::virudhunagar,E002,2015-0207-IND,Tamil Nadu,Virudhunagar,2015-05-17,0,0,,heuristic,incomplete,incomplete,0,0
E002::virudunagar,E002,2015-0207-IND,Tamil Nadu,Virudunagar,2015-05-17,0,0,,heuristic,incomplete,incomplete,0,0
E003::amreli,E003,2015-0249-IND,Gujarat,Amreli,2015-06-19,6,6,,heuristic,incomplete,incomplete,0,0
E003::morbi,E003,2015-0249-IND,Gujarat,Morbi,2015-06-19,0,0,,heuristic,incomplete,incomplete,0,0
E003::rajkot,E003,2015-0249-IND,Gujarat,Rajkot,2015-06-19,0,0,,heuristic,incomplete,incomplete,0,0
E003::surat,E003,2015-0249-IND,Gujarat,Surat,2015-06-19,0,0,,heuristic,incomplete,incomplete,0,0
E003::tapi,E003,2015-0249-IND,Gujarat,Tapi,2015-06-19,0,0,,heuristic,incomplete,incomplete,0,0
E004::district_missing,E004,2015-0249-IND,Maharashtra,district_missing,2015-06-19,0,0,,heuristic,missing,missing,0,0
E005::darjiling,E005,2015-0253-IND,West Bengal,Darjiling,2015-06-23,0,0,,heuristic,incomplete,incomplete,0,0
E006::district_missing,E006,2015-0333-IND,Arunachal Pradesh,district_missing,2015-07-07,0,0,,heuristic,missing,missing,0,0
E007::district_missing,E007,2015-0333-IND,Haryana,district_missing,2015-07-07,0,0,,heuristic,missing,missing,0,0
E008::district_missing,E008,2015-0333-IND,Himachal Pradesh,district_missing,2015-07-07,0,0,,heuristic,missing,missing,0,0
E009::district_missing,E009,2015-0333-IND,Jammu and Kashmir,district_missing,2015-07-07,0,0,,heuristic,missing,missing,0,0
E010::district_missing,E010,2015-0333-IND,Punjab,district_missing,2015-07-07,0,0,,heuristic,missing,missing,0,0
E011::district_missing,E011,2015-0333-IND,Rajasthan,district_missing,2015-07-07,0,0,,heuristic,missing,missing,0,0
E012::district_missing,E012,2015-0333-IND,Uttar Pradesh,district_missing,2015-07-07,0,0,,heuristic,missing,missing,0,0
E013::district_missing,E013,2015-0333-IND,Uttarakhand,district_missing,2015-07-07,0,0,,heuristic,missing,missing,0,0
E014::district_missing,E014,2015-0413-IND,Arunachal Pradesh,district_missing,2015-07-14,0,0,,heuristic,missing,missing,0,0
E015::dhemaji,E015,2015-0413-IND,Assam,Dhemaji,2015-07-14,0,0,,heuristic,incomplete,incomplete,0,0
E015::kokrajhar,E015,2015-0413-IND,Assam,Kokrajhar,2015-07-14,0,0,,heuristic,incomplete,incomplete,0,0
E015::lakhimpur,E015,2015-0413-IND,Assam,Lakhimpur,2015-07-14,0,0,,heuristic,incomplete,incomplete,0,0
E015::sonitpur,E015,2015-0413-IND,Assam,Sonitpur,2015-07-14,0,0,,heuristic,incomplete,incomplete,0,0
E016::darrang,E016,2015-0317-IND,Assam,Darrang,2015-07-15,0,0,,heuristic,incomplete,incomplete,0,0
E016::dhemaji,E016,2015-0317-IND,Assam,Dhemaji,2015-07-15,0,0,,heuristic,incomplete,incomplete,0,0
E016::dhubri,E016,2015-0317-IND,Assam,Dhubri,2015-07-15,0,0,,heuristic,incomplete,incomplete,0,0
E016::goalpara,E016,2015-0317-IND,Assam,Goalpara,2015-07-15,0,0,,heuristic,incomplete,incomplete,0,0
E016::jorhat,E016,2015-0317-IND,Assam,Jorhat,2015-07-15,0,0,,heuristic,incomplete,incomplete,0,0
E016::karbi%20anglong,E016,2015-0317-IND,Assam,Karbi Anglong,2015-07-15,0,0,,heuristic,incomplete,incomplete,0,0
E016::lakhimpur,E016,2015-0317-IND,Assam,Lakhimpur,2015-07-15,0,0,,heuristic,incomplete,incomplete,0,0
E016::morigaon,E016,2015-0317-IND,Assam,Morigaon,2015-07-15,0,0,,heuristic,incomplete,incomplete,0,0
E016::udalguri,E016,2015-0317-IND,Assam,Udalguri,2015-07-15,0,0,,heuristic,incomplete,incomplete,0,0
E017::banas%20kantha,E017,2015-0317-IND,Gujarat,Banas Kantha,2015-07-15,0,0,,heuristic,incomplete,incomplete,0,0
E017::kachchh,E017,2015-0317-IND,Gujarat,Kachchh,2015-07-15,0,0,,heuristic,incomplete,incomplete,0,0
E017::patan,E017,2015-0317-IND,Gujarat,Patan,2015-07-15,0,0,,heuristic,incomplete,incomplete,0,0
E018::district_missing,E018,2015-0317-IND,Madhya Pradesh,district_missing,2015-07-15,0,0,,heuristic,missing,missing,0,0
E019::district_missing,E019,2015-0317-IND,Manipur,district_missing,2015-07-15,0,0,,heuristic,missing,missing,0,0
E020::district_missing,E020,2015-0317-IND,Odisha,district_missing,2015-07-15,0,0,,heuristic,missing,missing,0,0
E021::district_missing,E021,2015-0317-IND,Rajasthan,district_missing,2015-07-15,0,0,,heuristic,missing,missing,0,0
E022::alipurduar,E022,2015-0317-IND,West Bengal,Alipurduar,2015-07-15,0,0,,heuristic,incomplete,incomplete,0,0
E022::jalpaiguri,E022,2015-0317-IND,West Bengal,Jalpaiguri,2015-07-15,0,0,,heuristic,incomplete,incomplete,0,0
E022::maldah,E022,2015-0317-IND,West Bengal,Maldah,2015-07-15,0,0,,heuristic,incomplete,incomplete,0,0
E023::district_missing,E023,2015-0374-IND,Assam,district_missing,2015-08-13,0,0,,heuristic,missing,missing,0,0
E024::barpeta,E024,2015-0406-IND,Assam,Barpeta,2015-08-28,0,0,,heuristic,incomplete,incomplete,0,0
E024::bongaigaon,E024,2015-0406-IND,Assam,Bongaigaon,2015-08-28,0,0,,heuristic,incomplete,incomplete,0,0
E024::cachar,E024,2015-0406-IND,Assam,Cachar,2015-08-28,0,0,,heuristic,incomplete,incomplete,0,0
