event_id,source_record_id,state,district,start_date,end_date,candidate_count,body_available_count,primary_body_available_count,weak_body_available_count,no_body_count,heuristic_pass_count,weak_heuristic_pass_count,heuristic_no_count,weak_heuristic_no_count,unique_llm_request_count,llm_pending_count,llm_yes_count,llm_no_count,llm_ambiguous_no_count,llm_error_count,final_article_count,count_source
E001,2015-0107-IND,Jammu and Kashmir,Jammu and Kashmir,2015-03-20,2015-03-31,5912,1814,1740,74,4098,1658,9,82,65,1565,1565,0,0,0,0,1658,heuristic
E002,2015-0207-IND,Tamil Nadu,Virudunagar,2015-05-17,2015-05-21,1737,594,581,13,1143,511,5,70,8,460,460,0,0,0,0,511,heuristic
E003,2015-0249-IND,Gujarat,Morbi,2015-06-19,2015-06-20,2838,1004,976,28,1834,881,2,95,26,781,781,0,0,0,0,881,heuristic
E004,2015-0249-IND,Maharashtra,Maharashtra,2015-06-19,2015-06-20,5210,1850,1740,110,3360,1535,49,205,61,1295,1295,0,0,0,0,1535,heuristic
E005,2015-0253-IND,West Bengal,Darjiling,2015-06-23,2015-06-30,2792,794,773,21,1998,692,7,81,14,626,626,0,0,0,0,692,heuristic
E008,2015-0333-IND,Himachal Pradesh,Himachal Pradesh,2015-07-07,2015-07-13,644,210,202,8,434,176,0,26,8,158,158,0,0,0,0,176,heuristic
E009,2015-0333-IND,Jammu and Kashmir,Jammu and Kashmir,2015-07-07,2015-07-13,3951,1358,1302,56,2593,1250,4,52,52,1171,1171,0,0,0,0,1250,heuristic
E010,2015-0333-IND,Punjab,Punjab,2015-07-07,2015-07-13,365,139,135,4,226,124,0,11,4,110,110,0,0,0,0,124,heuristic
E012,2015-0333-IND,Uttar Pradesh,Uttar Pradesh,2015-07-07,2015-07-13,4020,1285,1227,58,2735,1127,8,100,50,994,994,0,0,0,0,1127,heuristic
E013,2015-0333-IND,Uttarakhand,Uttarakhand,2015-07-07,2015-07-13,1237,442,430,12,795,400,2,30,10,361,361,0,0,0,0,400,heuristic
E014,2015-0413-IND,Arunachal Pradesh,Arunachal Pradesh,2015-07-14,2015-07-16,129,42,42,0,87,42,0,0,0,39,39,0,0,0,0,42,heuristic
E015,2015-0413-IND,Assam,Kokrajhar,2015-07-14,2015-07-16,1470,450,444,6,1020,423,1,21,5,397,397,0,0,0,0,423,heuristic
E016,2015-0317-IND,Assam,Goalpara,2015-07-15,2015-08-19,1471,450,444,6,1021,423,1,21,5,397,397,0,0,0,0,423,heuristic
E017,2015-0317-IND,Gujarat,Kachchh,2015-07-15,2015-08-19,1792,705,687,18,1087,622,2,65,16,491,491,0,0,0,0,622,heuristic
E019,2015-0317-IND,Manipur,Manipur,2015-07-15,2015-08-19,1395,356,347,9,1039,328,1,19,8,296,296,0,0,0,0,328,heuristic
E020,2015-0317-IND,Odisha,Odisha,2015-07-15,2015-08-19,1668,571,546,25,1097,473,11,73,14,432,432,0,0,0,0,473,heuristic
E021,2015-0317-IND,Rajasthan,Rajasthan,2015-07-15,2015-08-19,1415,523,498,25,892,454,8,44,17,417,417,0,0,0,0,454,heuristic
E022,2015-0317-IND,West Bengal,Maldah,2015-07-15,2015-08-19,2498,726,704,22,1772,630,7,74,15,568,568,0,0,0,0,630,heuristic
E023,2015-0374-IND,Assam,Assam,2015-08-13,2015-08-19,1368,422,417,5,946,395,1,22,4,370,370,0,0,0,0,395,heuristic
E024,2015-0406-IND,Assam,Barpeta,2015-08-28,2015-08-30,840,267,262,5,573,243,1,19,4,230,230,0,0,0,0,243,heuristic
E025,2015-0504-IND,Andhra Pradesh,Y.S.R.,2015-11-08,2015-12-04,4156,1741,1710,31,2415,1554,3,156,28,1412,1412,0,0,0,0,1554,heuristic
E026,2015-0504-IND,Puducherry,Puducherry,2015-11-08,2015-12-04,2244,867,853,14,1377,788,2,65,12,734,734,0,0,0,0,788,heuristic
E027,2015-0504-IND,Tamil Nadu,Nagappattinam,2015-11-08,2015-12-04,29845,12406,11978,428,17439,10138,46,1840,382,9246,9246,0,0,0,0,10138,heuristic
E028,2016-0139-IND,Arunachal Pradesh,Arunachal Pradesh,2016-04-22,2016-04-25,285,105,103,2,180,95,0,8,2,90,90,0,0,0,0,95,heuristic
E029,2016-0139-IND,Assam,Assam,2016-04-22,2016-04-25,2362,681,661,20,1681,614,2,47,18,581,581,0,0,0,0,614,heuristic
E030,2016-0139-IND,Nagaland,Nagaland,2016-04-22,2016-04-25,296,94,92,2,202,74,0,18,2,68,68,0,0,0,0,74,heuristic
E031,2016-0239-IND,Arunachal Pradesh,Arunachal Pradesh,2016-06-25,2016-07-01,334,107,105,2,227,89,0,16,2,86,86,0,0,0,0,89,heuristic
E032,2016-0239-IND,Assam,Assam,2016-06-25,2016-07-01,5970,1450,1390,60,4520,1292,6,98,54,1225,1225,0,0,0,0,1292,heuristic
E033,2016-0239-IND,Uttarakhand,Chamoli,2016-06-25,2016-07-01,3957,1255,1224,31,2702,1065,4,159,27,958,958,0,0,0,0,1065,heuristic
E034,2016-0276-IND,Madhya Pradesh,Damoh,2016-07-09,2016-08-22,8700,1879,1814,65,6821,1606,7,208,58,1445,1445,0,0,0,0,1606,heuristic
E035,2016-0271-IND,Bihar,Bihar,2016-07-15,2016-09-12,9977,2790,2693,97,7187,2295,12,398,85,2109,2109,0,0,0,0,2295,heuristic
