event_id,state,AHP (primary),Entropy,Equal (0.25×4),Vol-heavy,Time-heavy,AHP γ=0.1,AHP γ=0.5,max_rank_shift
E01,Kerala,3,3,3,3,14,3,3,11
E02,Bihar,57,65,66,53,68,57,57,15
E03,Assam,134,125,126,135,123,134,134,12
E04,Telangana,136,139,138,136,140,136,136,4
E05,Maharashtra,71,84,82,68,89,71,71,21
E06,Uttarakhand,73,88,86,70,94,73,73,24
E07,Uttar Pradesh,97,97,94,98,95,97,97,4
E08,Assam,84,86,83,83,83,84,84,3
E09,Karnataka,110,123,115,108,122,110,110,15
E10,Odisha,156,150,156,157,155,157,156,7
E100,Manipur,84,69,68,87,63,84,84,24
E101,Manipur,140,147,144,140,145,140,140,7
E102,Meghalaya,140,75,100,142,78,140,140,67
E103,Meghalaya,153,112,146,153,133,153,153,41
E104,Meghalaya,163,164,162,164,162,164,163,2
E105,Meghalaya,162,161,161,162,161,162,161,1
E106,Mizoram,160,162,160,161,160,161,160,2
E107,Nagaland,152,151,152,151,151,152,152,1
E108,Nagaland,155,156,155,156,156,156,155,1
E109,Nagaland,128,126,124,129,124,128,128,5
E11,Himachal Pradesh,59,71,72,56,75,59,59,19
E110,Nagaland,80,41,44,93,32,80,80,61
E111,Nagaland,150,156,153,149,153,150,150,7
E112,Odisha,93,78,77,94,72,93,93,22
E113,Odisha,111,91,92,113,84,111,111,29
E114,Odisha,70,58,57,74,54,70,70,20
E115,Odisha,74,60,59,79,56,74,74,23
E116,Punjab,77,90,88,73,92,77,77,19
E117,Punjab,123,137,131,123,133,123,123,14
E118,Punjab,22,26,28,24,25,22,22,6
E119,Punjab,21,23,27,22,28,21,21,7
E12,Delhi,24,38,48,19,57,24,24,38
E120,Punjab,17,29,34,15,44,17,17,29
E121,Rajasthan,55,62,60,54,59,55,55,8
E122,Rajasthan,37,33,30,36,31,37,37,7
E123,Rajasthan,132,140,135,131,139,132,132,9
E124,Rajasthan,41,42,40,41,39,41,41,3
E126,Sikkim,167,167,167,167,167,167,167,0
E127,Sikkim,166,166,164,166,164,166,166,2
E128,Tamil Nadu,104,115,109,103,113,104,104,12
E129,Tamil Nadu,25,31,38,23,43,25,25,20
E13,Andhra Pradesh,10,12,15,10,17,10,10,7
E130,Tamil Nadu,64,74,74,62,76,64,64,14
E131,Tamil Nadu,94,103,101,90,101,94,94,13
E132,Tamil Nadu,113,124,119,112,121,113,113,12
E133,Tamil Nadu,90,105,102,86,104,90,90,19
E134,Tamil Nadu,82,100,98,81,99,82,82,19
E135,Telangana,131,135,134,131,136,131,131,5
E136,Tripura,149,153,150,148,150,149,149,5
E137,Tripura,146,113,140,147,128,146,146,34
E138,Tripura,116,119,117,115,116,116,116,4
E139,Tripura,143,149,147,143,147,143,143,6
E14,Andhra Pradesh,109,114,110,110,111,109,109,5
E140,Uttar Pradesh,79,95,91,77,97,79,79,20
E141,Uttar Pradesh,89,99,96,85,98,89,89,14
E142,Uttar Pradesh,117,128,122,117,125,117,117,11
E143,Uttar Pradesh,4,4,6,4,9,4,4,5
E144,Uttar Pradesh,8,13,17,8,19,8,8,11
E145,Uttar Pradesh,87,101,99,82,101,87,87,19
E146,Uttar Pradesh,19,21,24,18,26,19,19,8
E147,Uttar Pradesh,20,20,22,20,23,20,20,3
E148,Uttar Pradesh,12,15,14,12,16,12,12,4
E149,Uttar Pradesh,72,72,71,72,70,72,72,2
E15,Andhra Pradesh,91,85,85,89,81,91,91,10
E150,Uttar Pradesh,112,117,112,111,115,112,112,6
E151,Uttar Pradesh,69,80,79,66,86,69,69,20
E152,Uttarakhand,125,131,128,124,129,125,125,7
E153,Uttarakhand,154,155,154,154,154,155,154,1
E154,Uttarakhand,137,134,136,137,138,137,137,4
E155,Uttarakhand,66,56,55,69,52,66,66,17
E156,Uttarakhand,40,27,19,45,15,40,40,30
E157,Uttarakhand,124,108,120,126,108,124,124,18
E158,Uttarakhand,39,40,39,37,38,39,39,3
E159,Uttarakhand,151,154,151,150,152,151,151,4
E16,Andhra Pradesh,76,70,70,75,67,76,76,9
E160,Uttarakhand,164,158,166,163,166,163,164,8
E161,Uttarakhand,139,144,143,139,144,139,139,5
E162,West Bengal,106,110,107,107,108,106,106,4
E163,West Bengal,27,25,23,26,20,27,27,7
E164,West Bengal,100,98,95,99,96,100,100,5
E165,West Bengal,44,43,41,44,40,44,44,4
E166,West Bengal,46,47,45,47,45,46,46,2
E167,West Bengal,38,30,21,39,18,38,38,21
E168,West Bengal,108,118,113,109,117,108,108,10
E17,Andhra Pradesh,103,109,105,102,106,103,103,7
E18,Arunachal Pradesh,165,165,163,165,163,165,165,2
E19,Arunachal Pradesh,147,152,149,146,149,147,147,6
E20,Arunachal Pradesh,157,160,157,158,157,158,157,3
E21,Arunachal Pradesh,148,96,130,152,110,148,148,56
E22,Arunachal Pradesh,158,163,158,159,159,159,158,5
E23,Assam,118,106,108,118,105,118,118,13
E24,Assam,130,136,132,128,135,130,130,8
E25,Assam,51,61,61,51,62,51,51,11
E26,Assam,62,63,63,65,60,62,62,5
E27,Assam,75,64,64,77,61,75,75,16
E28,Assam,159,159,159,160,158,160,159,2
E29,Assam,30,16,12,35,7,30,30,28
E30,Assam,65,55,51,67,50,65,65,17
E31,Assam,58,53,50,58,51,58,58,8
E32,Assam,133,142,139,131,142,133,133,11
E33,Bihar,9,14,18,9,22,9,9,13
E34,Bihar,33,35,33,33,35,33,33,2
E35,Bihar,95,83,84,95,79,95,95,16
E36,Bihar,26,11,8,29,5,26,26,24
E37,Bihar,42,44,43,42,42,42,42,2
E38,Bihar,119,130,123,119,126,119,119,11
E39,Chhattisgarh,68,57,56,71,55,68,68,16
E40,Chhattisgarh,128,102,116,133,103,128,128,31
E41,Chhattisgarh,47,48,47,48,47,47,47,1
E42,Delhi,2,2,2,2,2,2,2,0
E43,Goa,138,143,142,138,143,138,138,5
E44,Goa,121,133,127,121,131,121,121,12
E45,Goa,92,81,81,91,77,92,92,15
E46,Goa,56,39,37,63,29,56,56,34
E47,Gujarat,107,122,114,106,120,107,107,16
E48,Gujarat,28,28,26,27,24,28,28,4
E49,Gujarat,101,104,103,100,100,101,101,4
E50,Gujarat,48,49,46,50,46,48,48,4
E51,Gujarat,115,94,97,116,90,115,115,26
E52,Gujarat,135,141,137,134,141,135,135,7
E53,Gujarat,16,9,5,21,4,16,16,17
E54,Gujarat,35,36,36,34,36,35,35,2
E55,Gujarat,98,111,106,96,111,98,98,15
E56,Haryana,126,132,129,125,130,126,126,7
E57,Haryana,142,146,145,141,146,142,142,5
E58,Haryana,54,66,67,52,69,54,54,17
E59,Himachal Pradesh,122,129,124,122,126,122,122,7
E60,Himachal Pradesh,114,120,117,114,118,114,114,6
E61,Himachal Pradesh,120,120,121,120,119,120,120,2
E62,Himachal Pradesh,53,50,49,55,49,53,53,6
E63,Himachal Pradesh,52,37,35,57,27,52,52,30
E64,Himachal Pradesh,34,17,11,38,6,34,34,32
E65,Himachal Pradesh,84,82,80,84,80,84,84,4
E66,Himachal Pradesh,161,145,165,155,165,154,162,20
E67,Jammu and Kashmir,61,73,73,61,74,61,61,13
E68,Jammu and Kashmir,67,79,78,64,88,67,67,24
E69,Jharkhand,144,148,148,144,147,144,144,4
E70,Jharkhand,86,51,54,97,48,86,86,49
E71,Jharkhand,145,126,141,145,132,145,145,19
E72,Karnataka,7,7,10,7,13,7,7,6
E73,Karnataka,31,32,31,31,33,31,31,2
E74,Karnataka,102,93,93,104,87,102,102,17
E75,Karnataka,23,18,16,25,12,23,23,13
E76,Karnataka,14,19,20,14,21,14,14,7
E77,Kerala,11,10,13,11,11,11,11,3
E78,Kerala,32,34,32,32,34,32,32,2
E79,Kerala,99,87,89,101,82,99,99,19
E80,Kerala,81,92,90,80,93,81,81,13
E81,Madhya Pradesh,18,22,25,16,30,18,18,14
E82,Madhya Pradesh,15,24,29,13,37,15,15,24
E83,Madhya Pradesh,49,54,52,49,53,49,49,5
E84,Madhya Pradesh,105,116,110,105,114,105,105,11
E85,Madhya Pradesh,43,45,42,43,41,43,43,4
E86,Madhya Pradesh,13,8,4,17,3,13,13,14
E87,Madhya Pradesh,78,89,87,76,91,78,78,15
E88,Madhya Pradesh,127,138,133,127,137,127,127,11
E89,Maharashtra,63,77,76,60,85,63,63,25
E90,Maharashtra,36,52,58,30,64,36,36,34
E91,Maharashtra,50,68,69,46,73,50,50,27
E92,Maharashtra,29,46,53,28,58,29,29,30
E93,Maharashtra,45,59,62,40,65,45,45,25
E94,Maharashtra,1,1,1,1,1,1,1,0
E95,Maharashtra,6,6,9,6,10,6,6,4
E96,Maharashtra,60,67,65,59,66,60,60,8
E97,Maharashtra,5,5,7,5,8,5,5,3
E98,Maharashtra,96,107,104,92,107,96,96,15
E99,Manipur,88,76,75,88,71,88,88,17
