event_id,state,income_group,total_articles,indic_articles,en_articles,indic_share,coverage_days,t_first_days,S_vol,S_sov,S_TTFR,S_CD,MSS,MSS_entropy
E01,Kerala,Middle,34918,8451,22730,0.24202417091471448,33,0,0.9875,0.8881,1.0,0.1739,0.8501,0.6714
E02,Bihar,Low,5794,1571,3546,0.2711425612702796,38,0,0.798,0.1473,1.0,0.2011,0.5046,0.2016
E03,Assam,Low,815,125,684,0.15337423312883436,34,0,0.5913,0.0207,1.0,0.1793,0.3769,0.1069
E04,Telangana,High,887,201,678,0.2266065388951522,22,0,0.6002,0.0225,1.0,0.1141,0.3728,0.0881
E05,Maharashtra,High,4504,1089,2532,0.24178507992895204,22,0,0.7715,0.1145,1.0,0.1141,0.4715,0.1527
E06,Uttarakhand,Low,4378,592,3454,0.13522156235724075,20,0,0.7685,0.1113,1.0,0.1033,0.4678,0.1472
E07,Uttar Pradesh,Low,2157,717,1321,0.33240611961057026,36,0,0.6939,0.0548,1.0,0.1902,0.4295,0.1357
E08,Assam,Low,2811,408,2326,0.14514407684098185,38,0,0.7218,0.0714,1.0,0.2011,0.4476,0.1506
E09,Karnataka,High,2110,567,1503,0.26872037914691943,20,0,0.6915,0.0536,1.0,0.1033,0.4173,0.1078
E10,Odisha,Low,173,13,154,0.07514450867052024,24,0,0.4283,0.0043,1.0,0.125,0.3028,0.0738
E100,Manipur,Low,1936,465,1430,0.24018595041322313,72,0,0.6825,0.0492,1.0,0.3859,0.4476,0.1926
E101,Manipur,Low,821,283,510,0.3447015834348356,18,0,0.5921,0.0208,1.0,0.0924,0.3664,0.08
E102,Meghalaya,Low,340,5,312,0.014705882352941176,76,0,0.4992,0.0086,1.0,0.4076,0.3664,0.167
E103,Meghalaya,Low,170,4,162,0.023529411764705882,48,0,0.4264,0.0043,1.0,0.2554,0.3184,0.1143
E104,Meghalaya,Low,81,8,70,0.09876543209876543,16,0,0.3489,0.002,1.0,0.0815,0.2668,0.056
E105,Meghalaya,Low,109,4,103,0.03669724770642202,16,0,0.3799,0.0027,1.0,0.0815,0.2787,0.0575
E106,Mizoram,Low,124,16,108,0.12903225806451613,15,0,0.3934,0.0031,1.0,0.0761,0.2832,0.0566
E107,Nagaland,Low,309,13,296,0.042071197411003236,21,0,0.4892,0.0078,1.0,0.1087,0.325,0.0731
E108,Nagaland,Low,225,25,200,0.1111111111111111,20,0,0.4559,0.0057,1.0,0.1033,0.311,0.0689
E109,Nagaland,Low,937,94,817,0.10032017075773746,31,0,0.606,0.0238,1.0,0.163,0.3816,0.1043
E11,Himachal Pradesh,Low,5696,1691,3984,0.296875,26,0,0.7962,0.1448,1.0,0.1359,0.4949,0.1797
E110,Nagaland,Low,777,270,504,0.3474903474903475,152,0,0.5862,0.0197,1.0,0.8207,0.4548,0.3056
E111,Nagaland,Low,339,84,251,0.24778761061946902,18,0,0.4989,0.0086,1.0,0.0924,0.3269,0.0689
E112,Odisha,Low,1999,25,1900,0.01250625312656328,53,0,0.6858,0.0508,1.0,0.2826,0.4366,0.1616
E113,Odisha,Low,1470,29,1433,0.019727891156462583,49,0,0.6534,0.0373,1.0,0.2609,0.4166,0.1451
E114,Odisha,Low,2241,67,2169,0.02989736724676484,96,0,0.6979,0.057,1.0,0.5163,0.4726,0.2387
E115,Odisha,Low,2108,47,2046,0.022296015180265655,94,0,0.6914,0.0536,1.0,0.5054,0.4676,0.2329
E116,Punjab,Middle,3925,707,3011,0.18012738853503185,24,0,0.757,0.0998,1.0,0.125,0.4619,0.1463
E117,Punjab,Middle,1241,305,821,0.24576954069298954,19,0,0.6356,0.0315,1.0,0.0978,0.3874,0.09
E118,Punjab,Middle,10302,1803,7216,0.17501456027955736,96,0,0.8587,0.262,1.0,0.5163,0.6098,0.3748
E119,Punjab,Middle,10934,2806,7256,0.25663069325041155,92,0,0.865,0.2781,1.0,0.4946,0.6155,0.3786
E12,Delhi,High,14168,4019,9315,0.28366741953698477,22,0,0.8923,0.3603,1.0,0.1141,0.609,0.3135
E120,Punjab,Middle,13938,3829,9642,0.2747166020949921,53,0,0.8906,0.3545,1.0,0.2826,0.6272,0.3621
