event_id,state,affected_area_km2,population_exposed,area_norm,pop_norm,PSS,income_group
E01,Kerala,28.86,26824.0,0.6185,0.7904,0.7044,Middle
E04,Telangana,1.61,553.0,0.1734,0.4677,0.3206,High
E05,Maharashtra,8.83,3692.0,0.4156,0.6255,0.5206,High
E06,Uttarakhand,4.08,909.0,0.295,0.509,0.402,Low
E07,Uttar Pradesh,55.21,55287.0,0.734,0.8505,0.7922,Low
E08,Assam,107.18,49865.0,0.8535,0.8419,0.8477,Low
E09,Karnataka,14.71,5268.0,0.5012,0.655,0.5781,High
E10,Odisha,11.47,3459.0,0.459,0.6201,0.5396,Low
E102,Meghalaya,1.56,238.0,0.1698,0.3978,0.2838,Low
E103,Meghalaya,1.91,291.0,0.1932,0.4145,0.3038,Low
E104,Meghalaya,1.42,216.0,0.1596,0.3898,0.2747,Low
E105,Meghalaya,4.43,675.0,0.3072,0.4843,0.3958,Low
E106,Mizoram,2.04,122.0,0.2012,0.3426,0.2719,Low
E109,Nagaland,0.42,58.0,0.0622,0.2815,0.1718,Low
E11,Himachal Pradesh,0.69,94.0,0.094,0.3211,0.2076,Low
E110,Nagaland,1.35,186.0,0.1542,0.3774,0.2658,Low
E112,Odisha,0.14,42.0,0.0221,0.2552,0.1386,Low
E113,Odisha,0.7,211.0,0.0951,0.3878,0.2414,Low
E114,Odisha,0.46,139.0,0.0673,0.3533,0.2103,Low
E115,Odisha,2.97,896.0,0.25,0.5078,0.3789,Low
E117,Punjab,1.24,768.0,0.1455,0.495,0.3202,Middle
E118,Punjab,3.69,2285.0,0.2804,0.5856,0.433,Middle
E119,Punjab,131.62,81509.0,0.8907,0.8828,0.8868,Middle
E12,Delhi,22.22,333555.0,0.5725,1.0,0.7862,High
E120,Punjab,4.24,2626.0,0.3007,0.5972,0.449,Middle
E122,Rajasthan,0.47,114.0,0.0685,0.337,0.2028,Low
E123,Rajasthan,233.85,56754.0,0.9951,0.8527,0.9239,Low
E124,Rajasthan,7.41,1798.0,0.3871,0.5657,0.4764,Low
E127,Sikkim,9.27,918.0,0.4235,0.5098,0.4666,Low
E129,Tamil Nadu,67.08,39917.0,0.769,0.8234,0.7962,Middle
E13,Andhra Pradesh,35.52,11679.0,0.6552,0.7212,0.6882,Middle
E130,Tamil Nadu,6.22,3701.0,0.3592,0.6257,0.4925,Middle
E131,Tamil Nadu,1.14,678.0,0.1371,0.4846,0.3108,Middle
E132,Tamil Nadu,5.58,3321.0,0.3422,0.6167,0.4794,Middle
