model,term,se_type,coefficient,standard_error,p_value,ci_low,ci_high,irr,irr_ci_low,irr_ci_high,irr_10pp,irr_10pp_ci_low,irr_10pp_ci_high,n,alpha
model_1,Intercept,ordinary,3.7467351494827996,0.1405538931844267,1.4875049184281628e-156,3.4712545809544335,4.022215718011166,42.38248339847406,32.17708589153023,55.824660600938756,,,,1074,4.1306310561268935
model_1,log_flood_area,ordinary,-0.07601016097957357,0.03060987746854555,0.013021138360724502,-0.13600441838910693,-0.016015903570040207,0.9268067892466836,0.8728387759388597,0.984111669041976,,,,1074,4.1306310561268935
model_1,Intercept,state_clustered,3.7467351494827996,0.5019093902610995,3.9451763935955825e-08,2.7186203699378666,4.774849929027733,42.38248339847406,15.159393456344468,118.49253099702067,,,,1074,4.1306310561268935
model_1,log_flood_area,state_clustered,-0.07601016097957357,0.11081925632263248,0.4984209489479381,-0.3030131170792918,0.15099279512014468,0.9268067892466836,0.7385894081711112,1.1629882788608124,,,,1074,4.1306310561268935
model_2,Intercept,ordinary,3.3986227455748894,0.1941812277780497,1.3754101578421276e-68,3.0180345326561433,3.7792109584936355,29.922860263368538,20.45105627320006,43.781482696051306,,,,1074,4.109083092786964
model_2,log_flood_area,ordinary,-0.03186054799584247,0.03505124519809871,0.3633656959232171,-0.10055972619739846,0.03683863020571353,0.9686416516807527,0.9043310985420598,1.0375255820389975,,,,1074,4.109083092786964
model_2,urban_population_share,ordinary,0.6827753062734854,0.28617919098744793,0.017040560307051835,0.12187439881327777,1.243676213733693,1.9793634562448672,1.129612212235365,3.4683404176063393,1.0706624088596493,1.0122620093558354,1.1324321007311329,1074,4.109083092786964
model_2,Intercept,state_clustered,3.3986227455748894,0.6281793059034869,9.044931228416619e-06,2.1118557690342072,4.685389722115572,29.922860263368538,8.2635623271505,108.35249144297678,,,,1074,4.109083092786964
model_2,log_flood_area,state_clustered,-0.03186054799584247,0.12644241478422827,0.8028994321788114,-0.2908660934656923,0.22714499747400735,0.9686416516807527,0.747615781954011,1.2550118282930165,,,,1074,4.109083092786964
model_2,urban_population_share,state_clustered,0.6827753062734854,0.38175708428440797,0.08452055621437403,-0.09921863160562516,1.464769244152596,1.9793634562448672,0.9055447056865832,4.3265447496013945,1.0706624088596493,0.9901271961364497,1.157748214793175,1074,4.109083092786964
model_3,Intercept,ordinary,3.1775168445452397,0.32301864629241966,7.804429130882035e-23,2.5444119314772147,3.810621757613265,23.9871158003608,12.735736397778368,45.17852022442055,,,,1074,3.760385847979231
model_3,C(year)[T.2016],ordinary,0.2649815107633217,0.3939003205794947,0.5011304699141061,-0.5070489310712694,1.037011952597913,1.3034068765573525,0.6022703000310866,2.8207757974605516,,,,1074,3.760385847979231
