model,fold_id,event_district_id,source_record_id,observed,expected,alpha,absolute_error,negative_log_probability,predictive_low_90,predictive_high_90,interval_covered,interval_width,observed_zero,predicted_zero_probability
nb2,0,E032::barpeta,2016-0239-IND,11.0,27.59268147694786,3.950391500647346,16.59268147694786,4.364720640554474,0.0,134.0,1.0,134.0,0.0,0.3042573300578626
nb2,0,E032::bongaigaon,2016-0239-IND,1.0,23.27199284022692,3.950391500647346,22.27199284022692,2.53183208505182,0.0,113.0,1.0,113.0,0.0,0.3175250071988157
nb2,0,E032::dhemaji,2016-0239-IND,38.0,24.332821698747114,3.950391500647346,13.667178301252886,5.545740747024709,0.0,118.0,1.0,118.0,0.0,0.31399954481794023
nb2,0,E032::dhubri,2016-0239-IND,6.0,33.7195801276341,3.950391500647346,27.719580127634103,3.9140850305476085,0.0,163.0,1.0,163.0,0.0,0.2893192436735176
nb2,0,E032::goalpara,2016-0239-IND,1.0,26.480933268496653,3.950391500647346,25.480933268496653,2.5628961345676617,0.0,128.0,1.0,128.0,0.0,0.3074116540439647
nb2,0,E032::jorhat,2016-0239-IND,37.0,45.79181108481049,3.950391500647346,8.79181108481049,5.49541604352548,0.0,221.0,1.0,221.0,0.0,0.2678858812709509
nb2,0,E032::lakhimpur,2016-0239-IND,42.0,38.226195524180895,3.950391500647346,3.773804475819105,5.617577446943726,0.0,185.0,1.0,185.0,0.0,0.28033877660814244
nb2,0,E032::morigaon,2016-0239-IND,23.0,24.5285325994655,3.950391500647346,1.5285325994654997,5.017255053760238,0.0,119.0,1.0,119.0,0.0,0.3133699544128741
nb2,0,E032::sonitpur,2016-0239-IND,25.0,32.3632876430759,3.950391500647346,7.3632876430759,5.107375065486567,0.0,157.0,1.0,157.0,0.0,0.29231853459128276
nb2,0,E033::chamoli,2016-0239-IND,105.0,26.0756479290089,3.950391500647346,78.9243520709911,6.94170780269543,0.0,126.0,1.0,126.0,0.0,0.30860270087397335
nb2,0,E033::pithoragarh,2016-0239-IND,107.0,32.75155708360966,3.950391500647346,74.24844291639033,6.8224091498879815,0.0,158.0,1.0,158.0,0.0,0.29144417414954404
nb2,0,E044::sabarkantha,2017-0294-IND,0.0,31.63262956138313,3.950391500647346,31.63262956138313,1.2241760052379562,0.0,153.0,1.0,153.0,1.0,0.29399985488325264
nb2,0,E044::surat,2017-0294-IND,0.0,52.991356735239734,3.950391500647346,52.991356735239734,1.353969379683381,0.0,256.0,1.0,256.0,1.0,0.2582132772141806
nb2,0,E044::valsad,2017-0294-IND,1.0,43.798785345559075,3.950391500647346,42.798785345559075,2.6855706728510595,0.0,212.0,1.0,212.0,0.0,0.2709033882995032
nb2,0,E045::barmer,2017-0294-IND,0.0,22.698451927866866,3.950391500647346,22.698451927866866,1.1409507040731657,0.0,110.0,1.0,110.0,1.0,0.3195151130561257
nb2,0,E045::pali,2017-0294-IND,0.0,24.5211734961683,3.950391500647346,24.5211734961683,1.1602956406037874,0.0,119.0,1.0,119.0,1.0,0.31339351533733395
nb2,0,E045::udaipur,2017-0294-IND,0.0,38.295742465597144,3.950391500647346,38.295742465597144,1.2722135980234675,0.0,185.0,1.0,185.0,1.0,0.28021066098783304
nb2,0,E046::kolkata,2017-0294-IND,0.0,79.47384469542459,3.950391500647346,79.47384469542459,1.4561652401586245,0.0,384.0,1.0,384.0,1.0,0.23312855481628145
nb2,0,E059::dhalai,2018-0213-IND,1.0,26.15567007294885,3.950391500647346,25.15567007294885,2.5599151386951804,0.0,127.0,1.0,127.0,0.0,0.30836572018624303
nb2,0,E059::north%20tripura,2018-0213-IND,1.0,31.59079953182403,3.950391500647346,30.59079953182403,2.605639530337911,0.0,153.0,1.0,153.0,0.0,0.2940975685789953
nb2,0,E059::west%20tripura,2018-0213-IND,12.0,38.483434435910155,3.950391500647346,26.483434435910155,4.490762325473129,0.0,186.0,1.0,186.0,0.0,0.2798663456849591
nb2,0,E079::amritsar,2018-0372-IND,14.0,36.4503723453591,3.950391500647346,22.4503723453591,4.60931979531668,0.0,176.0,1.0,176.0,0.0,0.28371191812411484
nb2,0,E079::faridkot,2018-0372-IND,0.0,23.887653194861628,3.950391500647346,23.887653194861628,1.1537382405056125,0.0,116.0,1.0,116.0,1.0,0.3154553146390237
nb2,0,E079::ferozepur,2018-0372-IND,1.0,28.004577772884318,3.950391500647346,27.004577772884318,2.576411774911049,0.0,136.0,1.0,136.0,0.0,0.3031284976878717
nb2,0,E079::hoshiarpur,2018-0372-IND,5.0,32.759156578891606,3.950391500647346,27.759156578891606,3.76750497902392,0.0,158.0,1.0,158.0,0.0,0.29142718930422745
nb2,0,E079::jalandhar,2018-0372-IND,3.0,34.65744354553139,3.950391500647346,31.657443545531393,3.3965482038807426,0.0,168.0,1.0,168.0,0.0,0.28733166834095414
nb2,0,E079::ludhiana,2018-0372-IND,3.0,38.56643578610467,3.950391500647346,35.56643578610467,3.421209401737925,0.0,186.0,1.0,186.0,0.0,0.27971474820923026
