event_district_id,event_id,source_record_id,state,district,start_date,end_date,date_precision,district_source,district_resolution_evidence,state_resolution_source,state_resolution_evidence,aoi_level,district_resolution_source_class,district_resolution_evidence_type,district_resolution_circularity_risk,district_resolution_source_url,flood_area_km2,flood_ratio,aoi_area_km2,satellite_source,satellite_status,aoi_match_status,geometry_id,route_reason,spec_version,sits_status,converter_decision,eligible_km2,flood_ratio_eligible,legacy_flood_area_km2,legacy_satellite_source,article_count,article_collection_status,count_source,query_collection_status,missing_text_count,candidate_article_count,heuristic_pass_count,classified_article_count,unresolved_article_count,article_count_is_lower_bound,coverage_scope,window_days,uncertain_count,urban_population_share,total_population,urban_population,rural_population,census_year,census_source,census_match_status,census_district_code,district_match_status,exclusion_reason,analysis_eligible
E002::virudhunagar,E002,2015-0207-IND,Tamil Nadu,Virudhunagar,2015-05-17,2015-05-21,start:day|end:day,admin_units|gadm,"[""admin_units:Virudhunagar"", ""gadm:IND.31.32_1"", ""recovery_alias:Virudunagar->Virudhunagar""]",gadm|location,"[""gadm:IND.31.32_1"", ""location:(?<![A-Za-z])Tamil\\ Nadu(?![A-Za-z])""]",district,,,,,,,4306.978436820998,NONE,missing,matched,17869.0,no_s1,fs1-3016a20fd3ad,unavailable,,3913.8888,,,NONE,9.0,partial,llm_qa_observed_lower_bound,complete,139,148,0,9,139,True,local_state_plus_targeted_bigquery,14,139,0.5046759285955533,1942288.0,980226.0,962062.0,2011,census_2011_official;file=census_2011_district_urban_rural.xlsx;sha256=acb01ddb965be41cf22a20f0e641fdbcc1f4a16e6b7bc9cf91478ce289f853e8;catalog=https://censusindia.gov.in/nada/index.php/catalog/42557,matched,625,resolved,satellite_missing_or_invalid,False
E003::amreli,E003,2015-0249-IND,Gujarat,Amreli,2015-06-19,2015-06-20,start:day|end:day,gadm,"[""gadm:IND.11.2_1""]",gadm|location,"[""gadm:IND.11.20_1"", ""gadm:IND.11.26_1"", ""gadm:IND.11.28_1"", ""gadm:IND.11.2_1"", ""gadm:IND.11.30_1"", ""location:(?<![A-Za-z])Gujarat(?![A-Za-z])""]",district,,,,,,,7335.055339616136,NONE,missing,matched,17636.0,no_s1,fs1-3016a20fd3ad,unavailable,,6520.1448,,,NONE,153.0,partial,llm_qa_observed_lower_bound,complete,656,811,0,153,658,True,local_state_plus_targeted_bigquery,14,658,0.2553411394871185,1514190.0,386635.0,1127555.0,2011,census_2011_official;file=census_2011_district_urban_rural.xlsx;sha256=acb01ddb965be41cf22a20f0e641fdbcc1f4a16e6b7bc9cf91478ce289f853e8;catalog=https://censusindia.gov.in/nada/index.php/catalog/42557,matched,480,resolved,satellite_missing_or_invalid,False
E003::morbi,E003,2015-0249-IND,Gujarat,Morbi,2015-06-19,2015-06-20,start:day|end:day,gadm,"[""gadm:IND.11.20_1""]",gadm|location,"[""gadm:IND.11.20_1"", ""gadm:IND.11.26_1"", ""gadm:IND.11.28_1"", ""gadm:IND.11.2_1"", ""gadm:IND.11.30_1"", ""location:(?<![A-Za-z])Gujarat(?![A-Za-z])""]",district,,,,,0.0028,0.0,4845.388822156085,S1,observed,matched,76128533B2080752988715,interim_s1_only,fs1-3016a20fd3ad,unavailable,,4598.5249,0.0,0.0028,S1,1.0,partial,llm_qa_observed_lower_bound,complete,656,663,0,1,662,True,local_state_plus_targeted_bigquery,14,662,,,,,2011,census_2011_official,unmatched,,resolved,census_unmatched;census_invalid;census_population_inconsistent,False
E003::rajkot,E003,2015-0249-IND,Gujarat,Rajkot,2015-06-19,2015-06-20,start:day|end:day,gadm,"[""gadm:IND.11.26_1""]",gadm|location,"[""gadm:IND.11.20_1"", ""gadm:IND.11.26_1"", ""gadm:IND.11.28_1"", ""gadm:IND.11.2_1"", ""gadm:IND.11.30_1"", ""location:(?<![A-Za-z])Gujarat(?![A-Za-z])""]",district,,,,,,,11175.751593133718,NONE,missing,matched,17647.0,no_s1,fs1-3016a20fd3ad,unavailable,,10594.8875,,,NONE,69.0,partial,llm_qa_observed_lower_bound,complete,656,762,0,73,689,True,local_state_plus_targeted_bigquery,14,689,0.5819467070813482,3804558.0,2214050.0,1590508.0,2011,census_2011_official;file=census_2011_district_urban_rural.xlsx;sha256=acb01ddb965be41cf22a20f0e641fdbcc1f4a16e6b7bc9cf91478ce289f853e8;catalog=https://censusindia.gov.in/nada/index.php/catalog/42557,matched,476,resolved,satellite_missing_or_invalid,False
E003::surat,E003,2015-0249-IND,Gujarat,Surat,2015-06-19,2015-06-20,start:day|end:day,gadm,"[""gadm:IND.11.28_1""]",gadm|location,"[""gadm:IND.11.20_1"", ""gadm:IND.11.26_1"", ""gadm:IND.11.28_1"", ""gadm:IND.11.2_1"", ""gadm:IND.11.30_1"", ""location:(?<![A-Za-z])Gujarat(?![A-Za-z])""]",district,,,,,,,7486.82173633887,NONE,missing,matched,17649.0,no_s1,fs1-3016a20fd3ad,unavailable,,5860.6038,,,NONE,21.0,partial,llm_qa_observed_lower_bound,complete,656,699,0,29,670,True,local_state_plus_targeted_bigquery,14,670,0.7973945467778223,6081322.0,4849213.0,1232109.0,2011,census_2011_official;file=census_2011_district_urban_rural.xlsx;sha256=acb01ddb965be41cf22a20f0e641fdbcc1f4a16e6b7bc9cf91478ce289f853e8;catalog=https://censusindia.gov.in/nada/index.php/catalog/42557,matched,492,resolved,satellite_missing_or_invalid,False
E003::tapi,E003,2015-0249-IND,Gujarat,Tapi,2015-06-19,2015-06-20,start:day|end:day,gadm,"[""gadm:IND.11.30_1""]",gadm|location,"[""gadm:IND.11.20_1"", ""gadm:IND.11.26_1"", ""gadm:IND.11.28_1"", ""gadm:IND.11.2_1"", ""gadm:IND.11.30_1"", ""location:(?<![A-Za-z])Gujarat(?![A-Za-z])""]",district,,,,,,,3222.2181213994645,NONE,missing,matched,76128533B12519626815499,no_s1,fs1-3016a20fd3ad,unavailable,,2093.7467,,,NONE,,incomplete,llm_qa,complete,656,657,0,0,657,False,local_state_plus_targeted_bigquery,14,657,0.098494217010193,807022.0,79487.0,727535.0,2011,census_2011_official;file=census_2011_district_urban_rural.xlsx;sha256=acb01ddb965be41cf22a20f0e641fdbcc1f4a16e6b7bc9cf91478ce289f853e8;catalog=https://censusindia.gov.in/nada/index.php/catalog/42557,matched,493,resolved,satellite_missing_or_invalid;article_collection_incomplete;article_count_missing_or_invalid,False
E005::darjeeling,E005,2015-0253-IND,West Bengal,Darjeeling,2015-06-23,2015-06-30,start:day|end:day,admin_units|gadm,"[""admin_units:Darjiling"", ""gadm:IND.36.6_1"", ""recovery_alias:Darjiling->Darjeeling""]",gadm|location,"[""gadm:IND.36.6_1"", ""location:(?<![A-Za-z])West\\ Bengal(?![A-Za-z])""]",district,,,,,2.4859,0.0012,2082.4452472301264,S1,observed,matched,76128533B17109302371020,interim_s1_only,fs1-3016a20fd3ad,unavailable,,826.6807,0.003,2.4859,S1,20.0,partial,llm_qa_observed_lower_bound,complete,239,272,0,26,246,True,local_state_plus_targeted_bigquery,14,246,,,,,2011,census_2011_official,unmatched,,resolved,census_unmatched;census_invalid;census_population_inconsistent,False
E015::dhemaji,E015,2015-0413-IND,Assam,Dhemaji,2015-07-14,2015-07-16,start:day|end:day,gadm,"[""gadm:IND.4.7_1""]",gadm|location,"[""gadm:IND.4.19_1"", ""gadm:IND.4.20_1"", ""gadm:IND.4.25_1"", ""gadm:IND.4.7_1"", ""location:(?<![A-Za-z])Assam(?![A-Za-z])""]",district,,,,,12.8685,0.0051,2503.3476339074205,S1,observed,matched,70087.0,interim_s1_only,fs1-3016a20fd3ad,unavailable,,2240.4877,0.0057,12.8685,S1,,incomplete,llm_qa,complete,1,1,0,0,1,False,local_state_plus_targeted_bigquery,14,1,0.0703726536983354,686133.0,48285.0,637848.0,2011,census_2011_official;file=census_2011_district_urban_rural.xlsx;sha256=acb01ddb965be41cf22a20f0e641fdbcc1f4a16e6b7bc9cf91478ce289f853e8;catalog=https://censusindia.gov.in/nada/index.php/catalog/42557,matched,308,resolved,article_collection_incomplete;article_count_missing_or_invalid,False
E015::kokrajhar,E015,2015-0413-IND,Assam,Kokrajhar,2015-07-14,2015-07-16,start:day|end:day,gadm,"[""gadm:IND.4.19_1""]",gadm|location,"[""gadm:IND.4.19_1"", ""gadm:IND.4.20_1"", ""gadm:IND.4.25_1"", ""gadm:IND.4.7_1"", ""location:(?<![A-Za-z])Assam(?![A-Za-z])""]",district,,,,,42.6868,0.0128,3329.2233881813268,S1,observed,matched,70090.0,interim_s1_only,fs1-3016a20fd3ad,unavailable,,3061.7037,0.0139,42.6868,S1,,incomplete,llm_qa,complete,1,1,0,0,1,False,local_state_plus_targeted_bigquery,14,1,0.0619303335880839,887142.0,54941.0,832201.0,2011,census_2011_official;file=census_2011_district_urban_rural.xlsx;sha256=acb01ddb965be41cf22a20f0e641fdbcc1f4a16e6b7bc9cf91478ce289f853e8;catalog=https://censusindia.gov.in/nada/index.php/catalog/42557,matched,300,resolved,article_collection_incomplete;article_count_missing_or_invalid,False
E015::lakhimpur,E015,2015-0413-IND,Assam,Lakhimpur,2015-07-14,2015-07-16,start:day|end:day,gadm,"[""gadm:IND.4.20_1""]",gadm|location,"[""gadm:IND.4.19_1"", ""gadm:IND.4.20_1"", ""gadm:IND.4.25_1"", ""gadm:IND.4.7_1"", ""location:(?<![A-Za-z])Assam(?![A-Za-z])""]",district,,,,,51.7313,0.0179,2886.5239581816727,S1,observed,matched,70091.0,interim_s1_only,fs1-3016a20fd3ad,unavailable,,2563.3875,0.0202,51.7313,S1,,incomplete,llm_qa,complete,1,1,0,0,1,False,local_state_plus_targeted_bigquery,14,1,0.0876401087381025,1042137.0,91333.0,950804.0,2011,census_2011_official;file=census_2011_district_urban_rural.xlsx;sha256=acb01ddb965be41cf22a20f0e641fdbcc1f4a16e6b7bc9cf91478ce289f853e8;catalog=https://censusindia.gov.in/nada/index.php/catalog/42557,matched,307,resolved,article_collection_incomplete;article_count_missing_or_invalid,False
