event_district_id,event_id,state,district,start_date,year,aoi_status,aoi_error,aoi_area_km2,eligible_km2,utm_epsg,grid_tiles,grid_blocks,s1_pre_images,s1_post_images,sr_pre_images,sr_post_images,sr_baseline_candidates,sr_baseline_months,sr_post_seen_frac,sr_pre_seen_frac,sr_optical_observed_frac,sr_status,sr_reason,sr_kept_tiles,sr_kept_km2,sr_usable_km2,sr_usable_frac,sr_new_water_c_km2,sr_fine_scale_m,sr_error,l1c_pre_images,l1c_post_images,l1c_baseline_candidates,l1c_baseline_months,l1c_post_seen_frac,l1c_pre_seen_frac,l1c_optical_observed_frac,l1c_status,l1c_reason,l1c_kept_tiles,l1c_kept_km2,l1c_usable_km2,l1c_usable_frac,l1c_new_water_c_km2,l1c_fine_scale_m,l1c_error,probe_version,spec_version,elapsed_s
E001::district_missing,E001,Jammu and Kashmir,district_missing,2015-03-20,2015,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,0.0
E002::virudhunagar,E002,Tamil Nadu,Virudhunagar,2015-05-17,2015,matched,,4306.978,4022.018,EPSG:32643,18870.0,84.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,9.8
E002::virudunagar,E002,Tamil Nadu,Virudunagar,2015-05-17,2015,failed,district AOI match failed for Tamil Nadu/Virudunagar: 0 exact candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,2.2
E003::amreli,E003,Gujarat,Amreli,2015-06-19,2015,matched,,7335.055,6967.256,EPSG:32642,31800.0,140.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,11.0
E003::morbi,E003,Gujarat,Morbi,2015-06-19,2015,failed,district AOI match failed for Gujarat/Morbi: 0 exact candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,5.9
E003::rajkot,E003,Gujarat,Rajkot,2015-06-19,2015,matched,,11175.752,10973.558,EPSG:32642,67782.0,270.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,15.9
E003::surat,E003,Gujarat,Surat,2015-06-19,2015,matched,,7486.822,6309.155,EPSG:32643,36942.0,162.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,10.4
E003::tapi,E003,Gujarat,Tapi,2015-06-19,2015,failed,district AOI match failed for Gujarat/Tapi: 0 exact candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,4.9
E004::district_missing,E004,Maharashtra,district_missing,2015-06-19,2015,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,0.0
E005::darjiling,E005,West Bengal,Darjiling,2015-06-23,2015,matched,,3142.007,930.273,EPSG:32645,18760.0,81.0,12.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,10.2
