state,income_group,mean_log_ratio,median_log_ratio,n_events,mean_observed,mean_expected
Sikkim,Low,-6.471475071864953,-6.471475071864953,1,2.0,1615.5914110727313
Arunachal Pradesh,Low,-2.681576986296585,-2.660630123697501,3,207.66666666666666,2792.5753037806176
Meghalaya,Low,-2.53731320969292,-2.553034778789896,4,175.0,1956.3421806538413
Mizoram,Low,-2.24146889925473,-2.24146889925473,1,124.0,1170.6888408038665
Jharkhand,Low,-1.7331611364511437,-1.8047450419673499,3,628.6666666666666,3741.50896446817
Telangana,High,-1.5719202365691871,-1.5719202365691871,2,944.5,4892.613884389162
Nagaland,Low,-1.1952433223068084,-1.1952433223068084,2,857.0,2831.8085771839437
Tripura,Low,-1.0852974426138762,-1.2143144945338085,4,740.5,1811.3233655458932
Assam,Low,-1.0060000665887332,-0.7938138852516231,6,2644.6666666666665,4928.416824530101
Chhattisgarh,Low,-0.964477493702876,-0.8866980993264443,3,2705.3333333333335,6486.25134233971
Uttarakhand,Low,-0.891626141452248,-1.047832492725394,11,2052.181818181818,4015.6738900797795
Odisha,Low,-0.779937458541115,-0.945349267870554,5,1598.2,3423.647890282328
Haryana,High,-0.7488222104988893,-0.7488222104988893,2,3436.0,4770.665610314977
Rajasthan,Low,-0.5810622108998279,-0.4650686924689904,3,4653.666666666667,6607.142842428514
Goa,High,-0.5140128797979584,-0.5140128797979584,2,2319.5,3895.302732366218
Bihar,Low,-0.3647990854981974,-0.49063886283882147,5,4644.8,5893.661995484219
Andhra Pradesh,Middle,-0.3623582341515365,-0.31019165971507867,5,4796.6,5272.136816285136
West Bengal,Middle,-0.343966263572768,-0.1893533439275772,6,4830.0,7561.850839844457
Gujarat,High,-0.3428703234448528,-0.36799964063777474,7,4064.5714285714284,4616.722999868154
Himachal Pradesh,Low,-0.08551830628303053,-0.0675661044020246,9,2758.4444444444443,3217.5374068155825
Tamil Nadu,Middle,-0.0458558843837459,0.11996977477967098,6,4688.5,4663.910935206027
Karnataka,High,0.20381580379182088,0.37861108841380786,6,8503.333333333334,6160.292523537709
Punjab,Middle,0.21646550638941298,-0.12953589419433292,4,9103.75,7368.917299022785
Madhya Pradesh,Low,0.28298362345952177,0.23998316714213935,6,4354.5,3244.465582188373
Kerala,Middle,0.3023856540219456,0.02608625702556326,5,12213.8,6563.706714980852
Uttar Pradesh,Low,0.31418732219858375,0.331344242631831,11,6667.545454545455,5064.940560410536
Jammu and Kashmir,Low,0.3370326506311246,0.3370326506311246,1,5095.0,3637.103721728035
Maharashtra,High,0.7871913286745288,0.8007670415291959,8,13889.375,5402.780282931538
Delhi,High,0.7872950361984928,0.7872950361984928,1,33940.0,15444.942181363036
