analysis,model,term,unit,irr,ci_low,ci_high,p_value,n,status
30-day primary,Model 2 state-clustered,Flood area,1-unit increase in log(1+km2),1.006,0.799,1.267,0.9565,1191,not_supported
30-day primary,Model 2 state-clustered,Urban population share,10 percentage-point increase,1.152,1.047,1.267,0.005061,1191,supported
30-day primary,Model 3 state-clustered,Flood area,1-unit increase in log(1+km2),1.009,0.861,1.181,0.9134,1191,not_supported
30-day primary,Model 3 state-clustered,Urban population share,10 percentage-point increase,1.151,1.046,1.266,0.005574,1191,supported
14-day sensitivity,Model 2 state-clustered,Flood area,1-unit increase in log(1+km2),0.978,0.745,1.284,0.8704,1069,not_supported
14-day sensitivity,Model 2 state-clustered,Urban population share,10 percentage-point increase,1.073,0.987,1.167,0.09422,1069,inconclusive
14-day sensitivity,Model 3 state-clustered,Flood area,1-unit increase in log(1+km2),1.009,0.833,1.221,0.9279,1069,not_supported
14-day sensitivity,Model 3 state-clustered,Urban population share,10 percentage-point increase,1.098,0.998,1.207,0.05444,1069,inconclusive
30-day secondary,Source-event fixed effects ordinary SE,Flood area,1-unit increase in log(1+km2),1.086,1.014,1.163,0.01837,1191,secondary_only
30-day secondary,Source-event fixed effects ordinary SE,Urban population share,10 percentage-point increase,1.098,1.039,1.162,0.00103,1191,secondary_only
