event_id,state,income_group,PSS,MSS,total_articles,observed,expected,log_ratio,under_flag
E45,Goa,High,0.2934,0.4392,2234,2234.0,4283.8815209126515,-0.6509587163979319,True
E49,Gujarat,High,0.3009,0.4261,2206,2206.0,3021.992861471186,-0.3146743919804232,True
E46,Goa,High,0.3058,0.5055,2405,2405.0,3506.7239438197853,-0.377067043197985,True
E04,Telangana,High,0.3206,0.3728,887,887.0,3073.954045818723,-1.242474097052665,True
E57,Haryana,High,0.3785,0.3626,746,746.0,3248.9742057838416,-1.4708528624205426,True
E96,Maharashtra,High,0.4114,0.4932,4766,4766.0,2547.389283885259,0.6263469983499926,False
E53,Gujarat,High,0.4336,0.6333,7654,7654.0,3664.300426196832,0.736519830304906,False
E94,Maharashtra,High,0.446,0.9504,39317,39317.0,9704.607568449304,1.3990174120056469,False
E91,Maharashtra,High,0.4686,0.5198,7701,7701.0,4314.363474817404,0.5793494307190461,False
E92,Maharashtra,High,0.4799,0.5838,11788,11788.0,3980.698583234647,1.0855415544663929,False
E74,Karnataka,High,0.4819,0.4239,1805,1805.0,3895.7958511595098,-0.769188758317765,True
E72,Karnataka,High,0.5064,0.7067,18118,18118.0,10348.241332502292,0.5600686138013222,False
E73,Karnataka,High,0.5182,0.5821,8391,8391.0,6077.272746873266,0.3225809844286648,False
E05,Maharashtra,High,0.5206,0.4715,4504,4504.0,1552.2928626327684,1.0650217406970464,False
E09,Karnataka,High,0.5781,0.4173,2110,2110.0,1332.444667213082,0.4595343558730879,False
E98,Maharashtra,High,0.5797,0.4336,2766,2766.0,2934.9582479001983,-0.0592805899002856,True
E58,Haryana,High,0.592,0.5073,6126,6126.0,6292.357014846113,-0.0267915585772359,True
E50,Gujarat,High,0.5983,0.5236,4680,4680.0,6762.080733200743,-0.3679996406377747,True
E75,Karnataka,High,0.6156,0.6096,8178,8178.0,5295.0538238197605,0.4346411923989509,False
E97,Maharashtra,High,0.6174,0.7361,20891,20891.0,10133.571456993905,0.723439219439888,False
E48,Gujarat,High,0.6175,0.5979,8983,8983.0,8196.441187494309,0.0916285026270841,False
E76,Karnataka,High,0.6213,0.6346,12418,12418.0,10012.946719658345,0.2152584345666646,False
E42,Delhi,High,0.647,0.8797,33940,33940.0,15444.942181363036,0.7872950361984928,False
E51,Gujarat,High,0.6546,0.4112,1362,1362.0,3454.1380091697943,-0.9303964311419488,True
E95,Maharashtra,High,0.7303,0.72,19382,19382.0,8054.3607855388145,0.8780948636185036,False
E12,Delhi,High,0.7862,0.609,14168,,,,
E52,Gujarat,High,0.8197,0.3762,979,979.0,3081.0165077590336,-1.146134890056423,True
E135,Telangana,High,0.8306,0.3787,1002,1002.0,6711.273722959601,-1.9013663760857091,True
E55,Gujarat,High,0.869,0.4293,2588,2588.0,4137.091273785181,-0.4690352432293901,True
E164,West Bengal,Middle,0.1042,0.4274,2080,2080.0,2669.5082437571987,-0.2494733105160453,True
E134,Tamil Nadu,Middle,0.199,0.4477,3361,3361.0,2472.8494107810725,0.3068140341211043,False
E78,Kerala,Middle,0.2364,0.5772,8045,8045.0,4181.990273954388,0.654206100455302,False
E131,Tamil Nadu,Middle,0.3108,0.436,2722,2722.0,2497.803381035682,0.085938721922063,False
E117,Punjab,Middle,0.3202,0.3874,1241,1241.0,2920.1903610573336,-0.8554996873897504,True
E118,Punjab,Middle,0.433,0.6098,10302,10302.0,9921.759435922322,0.0376059231507511,False
E120,Punjab,Middle,0.449,0.6272,13938,13938.0,1923.1439812469016,1.980433501336068,False
E132,Tamil Nadu,Middle,0.4794,0.4128,1909,1909.0,5433.856624228919,-1.0458997094758764,True
E130,Tamil Nadu,Middle,0.4925,0.487,5189,5189.0,4908.026528187492,0.0556635527467808,False
E167,West Bengal,Middle,0.4986,0.5619,5121,5121.0,5147.017513204221,-0.0050671972933356,True
E79,Kerala,Middle,0.5221,0.4291,1885,1885.0,3218.2661257243703,-0.5348050576348697,True
E133,Tamil Nadu,Middle,0.5701,0.4412,3065,3065.0,2627.465205407751,0.1540008276372788,False
E168,West Bengal,Middle,0.5766,0.4176,2070,2070.0,2253.2156966340376,-0.0847901508432645,True
E80,Kerala,Middle,0.604,0.4542,3445,3445.0,3356.28199272874,0.0260862570255632,False
E77,Kerala,Middle,0.655,0.6575,12776,12776.0,13845.856196479008,-0.0804145614853406,True
E166,West Bengal,Middle,0.6634,0.5276,4901,4901.0,8263.666866414069,-0.5223876428606912,True
E13,Andhra Pradesh,Middle,0.6882,0.665,14409,14409.0,8248.959324393447,0.5577400495213101,False
E01,Kerala,Middle,0.7044,0.8501,34918,34918.0,8216.138986017746,1.4468555317490732,False
E163,West Bengal,Middle,0.7099,0.6016,9104,9104.0,10360.017363320198,-0.129233377339109,True
E165,West Bengal,Middle,0.789,0.5426,5704,5704.0,16677.67935573702,-1.072845902584162,True
E16,Andhra Pradesh,Middle,0.7896,0.4641,2968,2968.0,4047.6032352684088,-0.3101916597150786,True
E129,Tamil Nadu,Middle,0.7962,0.6075,11885,11885.0,10043.464461595242,0.1683472667461738,False
E119,Punjab,Middle,0.8868,0.6155,10934,10934.0,14710.575417864582,-0.296677711539417,True
E14,Andhra Pradesh,Middle,0.9182,0.4174,2017,2017.0,4803.750920263452,-0.8676420132203634,True
E17,Andhra Pradesh,Middle,0.92,0.4233,2226,2226.0,2601.3574032866145,-0.1557947300751542,True
E15,Andhra Pradesh,Middle,0.9224,0.4399,2363,2363.0,6659.013198213759,-1.0359028172683964,True
E65,Himachal Pradesh,Low,0.0,0.4476,2726,2726.0,895.2858343728083,1.1130726540994986,False
E30,Assam,Low,0.0678,0.4861,2578,,,,
E137,Tripura,Low,0.0796,0.3399,299,299.0,1194.1921229708828,-1.3835293759345486,True
E112,Odisha,Low,0.1386,0.4366,1999,1999.0,805.0404387546098,0.9091390236343824,False
E138,Tripura,Low,0.158,0.4086,1690,1690.0,1436.796118247486,0.1622606903197296,False
E18,Arunachal Pradesh,Low,0.1701,0.2295,33,33.0,1214.3796859399272,-3.590854888122681,True
E109,Nagaland,Low,0.1718,0.3816,937,937.0,3083.1763830788673,-1.1906610371818598,True
E22,Arunachal Pradesh,Low,0.1968,0.2916,155,155.0,933.88791512311,-1.793245947069572,True
E122,Rajasthan,Low,0.2028,0.5682,6940,6940.0,4207.252016603326,0.5004452757497015,False
E11,Himachal Pradesh,Low,0.2076,0.4949,5696,5696.0,4986.395567173898,0.1330383658231651,False
E59,Himachal Pradesh,Low,0.2095,0.391,1247,1247.0,1529.2019753991322,-0.2039313804664646,True
E114,Odisha,Low,0.2103,0.4726,2241,2241.0,6343.317603307633,-1.0403354482509577,True
E60,Himachal Pradesh,Low,0.2224,0.4113,1815,1815.0,1730.364322966069,0.0477400194745076,False
E113,Odisha,Low,0.2414,0.4166,1470,1470.0,3784.143696845166,-0.945349267870554,True
E64,Himachal Pradesh,Low,0.2534,0.5725,3988,3988.0,2521.804042491706,0.4582424339896462,False
E110,Nagaland,Low,0.2658,0.4548,777,777.0,2580.44077128902,-1.1998256074317573,True
E106,Mizoram,Low,0.2719,0.2832,124,124.0,1170.6888408038665,-2.24146889925473,True
E104,Meghalaya,Low,0.2747,0.2668,81,81.0,1601.4906465159197,-2.978399268735179,True
E71,Jharkhand,Low,0.278,0.3475,399,399.0,1712.5386136796576,-1.455810274416365,True
E102,Meghalaya,Low,0.2838,0.3664,340,340.0,2683.8640823299247,-2.06478401245671,True
E103,Meghalaya,Low,0.3038,0.3184,170,170.0,2001.96391409665,-2.4633983616304307,True
E63,Himachal Pradesh,Low,0.3052,0.5132,2771,2771.0,3150.2482135765945,-0.1282512628740356,True
E62,Himachal Pradesh,Low,0.3218,0.5076,3765,3765.0,7255.768508175968,-0.6559850625545613,True
E19,Arunachal Pradesh,Low,0.3434,0.3383,435,435.0,6229.4583102788165,-2.660630123697501,True
E149,Uttar Pradesh,Low,0.3438,0.4684,3475,3475.0,2494.762941253469,0.331344242631831,False
E145,Uttar Pradesh,Low,0.3568,0.4454,3255,3255.0,1945.5055047248409,0.5145670611966113,False
E115,Odisha,Low,0.3789,0.4676,2108,2108.0,4940.091675040117,-0.8515083020985545,True
E88,Madhya Pradesh,Low,0.38,0.3819,1098,1098.0,865.7948098553264,0.2374756141097098,False
E66,Himachal Pradesh,Low,0.3803,0.281,1631,1631.0,1745.0434528263877,-0.0675661044020246,True
E136,Tripura,Low,0.3826,0.3308,360,360.0,2870.206450410706,-2.074821471707617,True
E105,Meghalaya,Low,0.3958,0.2787,109,109.0,1538.050079672871,-2.642671195949361,True
E34,Bihar,Low,0.3999,0.5751,7901,7901.0,5917.877024272704,0.2889903548627324,False
E153,Uttarakhand,Low,0.4,0.3124,233,233.0,1308.8642869483974,-1.7241149441625594,True
E154,Uttarakhand,Low,0.4011,0.3718,845,845.0,2410.412682111781,-1.047832492725394,True
E150,Uttar Pradesh,Low,0.4017,0.4149,1931,1931.0,1167.9163224904703,0.5026476417395669,False
E06,Uttarakhand,Low,0.402,0.4678,4378,4378.0,1240.3350693133011,1.260921604029576,False
E139,Tripura,Low,0.4146,0.3528,613,613.0,1744.0987705544983,-1.0450996131330683,True
E141,Uttar Pradesh,Low,0.4342,0.4426,3005,3005.0,2666.8997664835815,0.1193398158355086,False
E69,Jharkhand,Low,0.4344,0.3482,536,536.0,3728.870214335272,-1.938928092969716,True
E40,Chhattisgarh,Low,0.4463,0.3816,756,756.0,2512.358011399217,-1.2004735010870764,True
E86,Madhya Pradesh,Low,0.4519,0.6408,8173,8173.0,3655.81467084146,0.8044414941160122,False
E84,Madhya Pradesh,Low,0.4645,0.4201,2159,2159.0,2011.782784188004,0.0706069222559885,False
E148,Uttar Pradesh,Low,0.4648,0.6444,11906,11906.0,6300.743928152343,0.6363374066617745,False
E127,Sikkim,Low,0.4666,0.125,2,2.0,1615.5914110727313,-6.471475071864953,True
E124,Rajasthan,Low,0.4764,0.5474,5997,5997.0,9548.261003291364,-0.4650686924689904,True
E161,Uttarakhand,Low,0.485,0.3672,811,811.0,1691.7689341099228,-0.7349410850905932,True
E151,Uttar Pradesh,Low,0.4934,0.4731,4515,4515.0,3686.7176122293977,0.2026437837095563,False
E61,Himachal Pradesh,Low,0.4966,0.3932,1187,1187.0,5143.72474435768,-1.466024419637006,True
E37,Bihar,Low,0.4968,0.5452,6031,6031.0,9851.107096319773,-0.4906388628388214,True
E160,Uttarakhand,Low,0.5167,0.2383,694,694.0,2203.42244212456,-1.154801817860581,True
E140,Uttar Pradesh,Low,0.5252,0.4557,3681,3681.0,1812.775835069463,0.7081852147310203,False
E156,Uttarakhand,Low,0.5305,0.5505,3801,3801.0,4519.887696850943,-0.1732020381190264,True
E10,Odisha,Low,0.5396,0.3028,173,173.0,1245.646037464115,-1.9716332981198912,True
E39,Chhattisgarh,Low,0.543,0.4771,2464,2464.0,5981.093753933821,-0.8866980993264443,True
E144,Uttar Pradesh,Low,0.5514,0.6772,16660,16660.0,9190.222641608332,0.5948460815449301,False
E157,Uttarakhand,Low,0.5549,0.3856,911,911.0,2361.3161668654197,-0.9520945701708649,True
E87,Madhya Pradesh,Low,0.5568,0.4582,3638,3638.0,2854.5255395808604,0.2424907201745688,False
E83,Madhya Pradesh,Low,0.5723,0.5212,5242,5242.0,3101.447043389298,0.52476849094892,False
E26,Assam,Low,0.6212,0.4881,3739,3739.0,6850.031678319838,-0.605374353885453,True
E85,Madhya Pradesh,Low,0.6464,0.5431,5817,5817.0,6977.428645275289,-0.1818815008480688,True
E158,Uttarakhand,Low,0.6498,0.5588,6896,6896.0,9851.343740441893,-0.3566445829049885,True
E70,Jharkhand,Low,0.6557,0.4461,951,951.0,5783.118065389581,-1.80474504196735,True
E155,Uttarakhand,Low,0.6704,0.4814,2580,2580.0,12079.497638475776,-1.5435678184095891,True
E31,Assam,Low,0.6771,0.5041,3690,3690.0,3702.706251113149,-0.0034370485356511,True
E159,Uttarakhand,Low,0.6897,0.3267,327,327.0,3273.4875263108256,-2.302275892925127,True
E67,Jammu and Kashmir,Low,0.6986,0.489,5223,,,,
E152,Uttarakhand,Low,0.7074,0.3846,1098,1098.0,3232.076607324758,-1.0793339176355812,True
E36,Bihar,Low,0.7096,0.6046,5796,5796.0,6011.379165351875,-0.0364830856502226,True
E147,Uttar Pradesh,Low,0.712,0.6201,11080,11080.0,14977.366672939042,-0.3013867496064889,True
E41,Chhattisgarh,Low,0.7346,0.5261,4896,4896.0,10965.302261686093,-0.8062608806951078,True
E35,Bihar,Low,0.7516,0.4351,2089,2089.0,4490.284721702308,-0.7651026545581309,True
E146,Uttar Pradesh,Low,0.779,0.6238,11678,11678.0,9076.97152397278,0.2519538571840153,False
E28,Assam,Low,0.7824,0.2839,120,120.0,2175.4043782109875,-2.8935499102427027,True
E07,Uttar Pradesh,Low,0.7922,0.4295,2157,2157.0,2394.4634155921717,-0.1044178114439042,True
E38,Bihar,Low,0.8406,0.396,1407,1407.0,3197.661969774436,-0.8207611793065444,True
E08,Assam,Low,0.8477,0.4476,2811,,,,
E27,Assam,Low,0.8678,0.465,2444,2444.0,6527.456928349463,-0.9822534166177932,True
E29,Assam,Low,0.9126,0.5827,4831,4831.0,6829.2897716445805,-0.3461369145118685,True
E123,Rajasthan,Low,0.9239,0.3784,1024,1024.0,6065.9155073908505,-1.778563215980195,True
E68,Jammu and Kashmir,Low,0.9356,0.48,5095,5095.0,3637.103721728035,0.3370326506311246,False
E32,Assam,Low,0.9546,0.378,1044,1044.0,3485.6119395425853,-1.2052487557389306,True
