state,mean_log_ratio,n_events
Sikkim,-6.471475071864953,1
Arunachal Pradesh,-2.681576986296585,3
Meghalaya,-2.53731320969292,4
Mizoram,-2.24146889925473,1
Jharkhand,-1.7331611364511437,3
Telangana,-1.5719202365691871,2
Nagaland,-1.1952433223068084,2
Tripura,-1.0852974426138762,4
Assam,-1.0060000665887332,6
Chhattisgarh,-0.964477493702876,3
Uttarakhand,-0.891626141452248,11
Odisha,-0.779937458541115,5
Haryana,-0.7488222104988892,2
Rajasthan,-0.5810622108998279,3
Goa,-0.5140128797979584,2
Bihar,-0.3647990854981974,5
Andhra Pradesh,-0.3623582341515365,5
West Bengal,-0.3439662635727679,6
Gujarat,-0.3428703234448528,7
Himachal Pradesh,-0.08551830628303053,9
Tamil Nadu,-0.045855884383745944,6
Karnataka,0.20381580379182088,6
Punjab,0.21646550638941298,4
Madhya Pradesh,0.2829836234595217,6
Kerala,0.3023856540219456,5
Uttar Pradesh,0.31418732219858375,11
Jammu and Kashmir,0.3370326506311246,1
Maharashtra,0.7871913286745289,8
Delhi,0.7872950361984928,1 
